canonical_concept_id	display_label_en	language_label_zh_hans	top_level_descriptor_family	direct_professional_assertion_support	unique_effective_record_support	independent_source_family_support	governed_normalization_support	governed_semantic_relation_support	review_required_exploratory_relation_support	c0_compatibility	c1_compatibility	user_answer_compatibility	structured_contrast_evidence	structured_contrast_source_families	contradiction_evidence	public_research_simulation_rights_eligible	product_deployment_rights_status	review_status	redundancy_group	uncertainty_flags	abstention_flags	direct_evidence_score_component	effective_record_score_component	source_diversity_score_component	governed_normalization_score_component	governed_semantic_score_component	structured_contrast_score_component	base_decision_score	explanation_references	lineage_paths
sensory.jasmine	Jasmine	茉莉	floral	183	174	3	1	0	410	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	238	family.bollen-robusta-qgraders-2024|family.coffee-cuality-experts-2026|family.gorman-milk-consumers-2021|family.vezzulli-trainedpanel-2022	0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	white_floral	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.124880	1.765943	0.750000	0.500000	0.000000	0.500000	5.640823	candidate:sensory.jasmine|distribution:sensory.jasmine	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.rose	Rose	玫瑰	floral	59	57	2	1	0	175	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	rose_floral	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.668283	1.388346	0.500000	0.500000	0.000000	0.000000	4.056629	candidate:sensory.rose|distribution:sensory.rose	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.orange_blossom	Orange Blossom	橙花	floral	27	27	1	1	0	0	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	false	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	citrus_blossom	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC	RIGHTS_BLOCKED	1.357742	1.139347	0.250000	0.500000	0.000000	0.000000	3.247088	candidate:sensory.orange_blossom|distribution:sensory.orange_blossom	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.lemon	Lemon	柠檬	fruit	274	208	2	1	0	745	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	citrus	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.288612	1.826650	0.500000	0.500000	0.000000	0.000000	5.115262	candidate:sensory.lemon|distribution:sensory.lemon	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.orange	Orange	橙	fruit	315	263	3	1	0	1127	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	citrus	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.345237	1.906527	0.750000	0.500000	0.000000	0.000000	5.501765	candidate:sensory.orange|distribution:sensory.orange	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.blueberry	Blueberry	蓝莓	fruit	115	105	4	1	0	262	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	berry	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.936900	1.594522	1.000000	0.500000	0.000000	0.000000	5.031422	candidate:sensory.blueberry|distribution:sensory.blueberry	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.honey	Honey	蜂蜜	sweet	265	249	3	1	0	603	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	32	family.vezzulli-trainedpanel-2022	0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	honey	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.275054	1.887897	0.750000	0.500000	0.000000	0.500000	5.912951	candidate:sensory.honey|distribution:sensory.honey	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.caramel	Caramel	焦糖	sweet	461	346	3	1	0	847	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	338	family.bollen-robusta-qgraders-2024|family.condelli-consumer-cata-2022|family.gorman-milk-consumers-2021|family.heo-coldbrew-consumers-2019|family.nguyen-pbma-thai-2026|family.vezzulli-trainedpanel-2022	0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	browned_sweet	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		2.500000	2.000000	0.750000	0.500000	0.000000	0.500000	6.250000	candidate:sensory.caramel|distribution:sensory.caramel	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.brown_sugar	Brown Sugar	红糖	sweet	220	201	2	1	0	0	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	false	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	browned_sweet	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC	RIGHTS_BLOCKED	2.199538	1.815002	0.500000	0.500000	0.000000	0.000000	5.014540	candidate:sensory.brown_sugar|distribution:sensory.brown_sugar	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
sensory.almond	Almond	杏仁	nut_cocoa	81	79	2	1	0	265	resolved_per_case_weak_or_neutral	neutral_zero_reviewed_mapping	resolved_per_case	0		0	true	UNKNOWN_NOT_AUTHORIZED	GOVERNED_NORMALIZATION_NO_PRODUCT_OWNER_REVIEW	tree_nut	PRODUCT_DEPLOYMENT_RIGHTS_UNKNOWN|WEIGHTS_HEURISTIC		1.795564	1.498302	0.500000	0.500000	0.000000	0.000000	4.293865	candidate:sensory.almond|distribution:sensory.almond	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts
