policy_row_id	policy_type	policy_key	policy_value	interpretation	policy_version	lineage_paths
policy:001	OUTPUT_LIMIT	main_maximum	5	Return fewer when support is insufficient.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:002	OUTPUT_LIMIT	secondary_maximum	3	Return zero when support is insufficient.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:003	ELIGIBILITY	main	explicit_answer_support+direct_evidence+rights+governed_mapping	Review-required relations cannot independently promote main outputs.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:004	ELIGIBILITY	secondary	explicit_answer_support+direct_evidence+rights+governed_mapping	Secondary is not a slot-filling fallback.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:005	REDUNDANCY	one_per_redundancy_group	true	Exact aliases and unnecessary near duplicates are suppressed.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:006	STOPPING	question_budget	Q1_mandatory_Q2_Q4_conditional_Q5_exceptional	Offline cases may stop before Q4.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:007	RIGHTS	simulation_scope	PUBLIC_RESEARCH_ONLY	Product deployment rights remain unknown.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:008	SCORE_SEMANTICS	calibration	UNCALIBRATED_DECISION_SCORE	The value is not a probability or confidence percentage.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:009	WEIGHT	direct_evidence	2.500000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:010	WEIGHT	effective_record	2.000000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:011	WEIGHT	source_diversity	1.000000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:012	WEIGHT	governed_normalization	0.500000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:013	WEIGHT	governed_semantic	0.500000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:014	WEIGHT	structured_contrast	0.500000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:015	WEIGHT	answer_supports	3.000000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:016	WEIGHT	answer_weakly_supports	1.250000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:017	WEIGHT	answer_contradicts	-3.000000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:018	WEIGHT	answer_weakly_contradicts	-1.250000	Hand-declared sensitivity target; neither learned nor optimal.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:019	SENSITIVITY_VARIANT	without_c0_prior	REQUIRED	Compare rankings with C0 adjustment set to zero.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:020	SENSITIVITY_VARIANT	without_c1_prior	NO_EFFECT_CURRENTLY	All C1 adjustments are neutral because reviewed mappings are zero.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:021	SENSITIVITY_VARIANT	without_governed_semantic	REQUIRED	Remove only the governed semantic score component.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:022	SENSITIVITY_VARIANT	without_review_required_exploration	NO_PRIMARY_EFFECT_BY_CONTRACT	Exploration never independently contributes to main score.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:023	SENSITIVITY_VARIANT	without_redundancy	REQUIRED	Report duplicate-group pressure without changing accepted outputs.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
policy:024	SENSITIVITY_VARIANT	without_structured_contrast	REQUIRED	Remove the bounded structured component.	product-inference-policy-v0.1.0	docs/product/PRODUCT_CONTRACT_V0.md|docs/architecture/ADAPTIVE_CONTEXT_QUESTION_ARCHITECTURE.md
