language_expression_key	language_code	representative_source_phrase	normalized_expression	expression_role	source_authored	machine_translated	artificial_variant	review_state	counts_toward_governed_total	counts_as_zh_hans_sensory_expression	public_export_allowed	limitation
expression.round3i.en.sha256_00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	en	Stone fruit	stone fruit	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_058ce9bd95f5595d789494945ff8f29948c9e608550bee23198c81333d6ac756	en	Rubber	rubber	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_06f2cd50f23c0f032d94f9d5517913f22d0213e39e44b8a7af07e2bbc2bbe22d	en	Roasted	roasted	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_0d4268591d78dcf6d5d9d61f2f0b34bbd36adcfd633da75fd91835708725f7b6	en	Sour	sour	BASIC_TASTE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0	en	Floral	floral	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_1b35cfba043c1d10319eaf830c8b0e3ad846e6c2249b2c12a250eea00f281919	en	Spices	spices	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_20e34be0e82bcb374b04d71579123bf2e27033694a34a98c7c0a4c2c1c8ea39b	en	Sour/Fermented	sour/fermented	COMPOSITE_REFERENCE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_230d8358dc8e8890b4c58deeb62912ee2f20357ae92a5cc861b98e68fe31acb5	en	Body	body	TEXTURE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_38c09b54483898f2aea7e6c0939e3513a74aa80cf05098ecf92c493b4e34ffbf	en	Cereal	cereal	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_38f44036ae68efe76e87d7a71834a272485989cd33c0ddc2b832dc5521bc3cde	en	Vegetal	vegetal	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_3bbd81ca7735640cb5a7f837d52559d6ca22ec9b5892ef4c33da75ada9dad63c	en	Nutty	nutty	AROMA_REFERENCE	True	False	False	SOURCE_REVIEWED	False	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_3c30e73970f2fdbffb63f046072fc250cbda3032369c82a233b0612149eac50a	en	Positive aromas	positive aromas	SENSORY_ATTRIBUTE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
expression.round3i.en.sha256_57210c537068ce04fec4c146e4c214e47e1913591cc32ac904eac438f1d52b7a	en	Acidity	acidity	BASIC_TASTE	True	False	False	SOURCE_REVIEWED	True	False	True	Observed source label only; meanings and numeric scales remain source-local and are not pooled across families.
