language_document_key	language_source_key	language_source_family_key	source_revision	source_date	source_row_locator	language_code	document_type	source_content_sha256	content	raw_text_public_export_allowed	counts_as_new_contemporary_document	counts_as_zh_hans_document	source_authored	machine_translated	artificial_variant	privacy_state	public_export_state	frozen_snapshot
document.bollen-2024.profile-001	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:001	en	TRAINED_PANEL_PROFILE	08a84e53c16d584558a656e3f30b9d9c5ed1e905c2bd78786a20c366b8edefd1	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""3"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""8"",""Roasted"":""3"",""Sour/Fermented"":""1"",""Spices"":""0"",""Sweet"":""2""},""genetic_class"":""Lula"",""genotype"":""G0001"",""harvest"":""2022"",""source_local_panel_scores"":{""aftertaste"":""7.666666666666667"",""balance"":""7.916666666666667"",""bitter_sweet"":""7.75"",""clean_cup"":""10"",""flavor"":""7.666666666666667"",""fragrance_aroma"":""7.666666666666667"",""mean_total_score"":""81.75"",""mouthfeel"":""7.75"",""overall"":""7.833333333333333"",""salt_acid"":""7.5"",""sd_total_score"":""0.4330127018922193"",""spread_total_score"":""0.75"",""total_rounded"":""81.75"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-002	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:002	en	TRAINED_PANEL_PROFILE	92c34a78602db954113941c804792a33712fc836fb67084498bf5f4399b08fce	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""4"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""6"",""Roasted"":""4"",""Sour/Fermented"":""1"",""Spices"":""2"",""Sweet"":""3""},""genetic_class"":""Lula"",""genotype"":""G0001"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.833333333333333"",""balance"":""7.916666666666667"",""bitter_sweet"":""8.166666666666666"",""clean_cup"":""10"",""flavor"":""7.916666666666667"",""fragrance_aroma"":""7.833333333333333"",""mean_total_score"":""83.33333333333333"",""mouthfeel"":""7.916666666666667"",""overall"":""7.833333333333333"",""salt_acid"":""7.916666666666667"",""sd_total_score"":""0.8779711460710615"",""spread_total_score"":""1.75"",""total_rounded"":""83.25"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-003	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:003	en	TRAINED_PANEL_PROFILE	c6fdcf2170725fde4febd8634a491d6784728a00ee99b92e46ac6ee5cb5ec147	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""3"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""6"",""Roasted"":""1"",""Sour/Fermented"":""0"",""Spices"":""5"",""Sweet"":""3""},""genetic_class"":""Lula"",""genotype"":""G0002"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.833333333333333"",""balance"":""8.083333333333334"",""bitter_sweet"":""8.166666666666666"",""clean_cup"":""10"",""flavor"":""8"",""fragrance_aroma"":""7.833333333333333"",""mean_total_score"":""83.83333333333333"",""mouthfeel"":""8.083333333333334"",""overall"":""7.916666666666667"",""salt_acid"":""7.916666666666667"",""sd_total_score"":""1.233220715579062"",""spread_total_score"":""2.25"",""total_rounded"":""83.75"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-004	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:004	en	TRAINED_PANEL_PROFILE	7a80e3d77a619f4251a4ca2fe3e411f18adf615ce095c9c15da8be86e4bbf60b	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""2"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""8"",""Roasted"":""2"",""Sour/Fermented"":""2"",""Spices"":""2"",""Sweet"":""4""},""genetic_class"":""Lula"",""genotype"":""G0002"",""harvest"":""2022"",""source_local_panel_scores"":{""aftertaste"":""7.75"",""balance"":""7.75"",""bitter_sweet"":""7.916666666666667"",""clean_cup"":""10"",""flavor"":""7.916666666666667"",""fragrance_aroma"":""7.75"",""mean_total_score"":""82.66666666666667"",""mouthfeel"":""7.916666666666667"",""overall"":""7.833333333333333"",""salt_acid"":""7.833333333333333"",""sd_total_score"":""0.14433756729740646"",""spread_total_score"":""0.25"",""total_rounded"":""82.75"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-005	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:005	en	TRAINED_PANEL_PROFILE	cd7e95f0dfe2c9114d7b46f0dbeebfed4a40de37555e1a3185f6f7bfb3e04614	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""2"",""Green/Vegetative"":""3"",""Nutty/Cocoa"":null,""Roasted"":""4"",""Sour/Fermented"":""1"",""Spices"":""2"",""Sweet"":""1""},""genetic_class"":""Lula"",""genotype"":""G0002(br)"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.333333333333333"",""balance"":""7.583333333333333"",""bitter_sweet"":""7.5"",""clean_cup"":""10"",""flavor"":""7.583333333333333"",""fragrance_aroma"":""7.583333333333333"",""mean_total_score"":""80.33333333333333"",""mouthfeel"":""7.5"",""overall"":""7.416666666666667"",""salt_acid"":""7.833333333333333"",""sd_total_score"":""0.8779711460710616"",""spread_total_score"":""1.75"",""total_rounded"":""80.25"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-006	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:006	en	TRAINED_PANEL_PROFILE	6762284564ef09b011cba18ce948131e4095bec4a4df0cc6acd4fbb81dfbfa52	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""6"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""4"",""Roasted"":""5"",""Sour/Fermented"":""0"",""Spices"":""1"",""Sweet"":""2""},""genetic_class"":""Lula"",""genotype"":""G0003"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.75"",""balance"":""7.75"",""bitter_sweet"":""7.666666666666667"",""clean_cup"":""10"",""flavor"":""7.833333333333333"",""fragrance_aroma"":""7.75"",""mean_total_score"":""81.91666666666667"",""mouthfeel"":""7.75"",""overall"":""7.75"",""salt_acid"":""7.666666666666667"",""sd_total_score"":""0.38188130791298663"",""spread_total_score"":""0.75"",""total_rounded"":""82"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-007	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:007	en	TRAINED_PANEL_PROFILE	35700a1a124eb2c088c576c900b1e50be2ebe126cf98dda933bfa74235e172dd	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""1"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""8"",""Roasted"":""6"",""Sour/Fermented"":""1"",""Spices"":""3"",""Sweet"":""2""},""genetic_class"":""Lula"",""genotype"":""G0003(br)"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.75"",""balance"":""8"",""bitter_sweet"":""7.75"",""clean_cup"":""10"",""flavor"":""7.75"",""fragrance_aroma"":""7.666666666666667"",""mean_total_score"":""82.33333333333333"",""mouthfeel"":""7.833333333333333"",""overall"":""7.916666666666667"",""salt_acid"":""7.666666666666667"",""sd_total_score"":""1.7017148213885114"",""spread_total_score"":""3.25"",""total_rounded"":""82.25"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-008	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:008	en	TRAINED_PANEL_PROFILE	7ce303bace54a26e9c40899d57da0f5a5430bfba6c99160206398573bf05387d	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""2"",""Green/Vegetative"":""2"",""Nutty/Cocoa"":""5"",""Roasted"":""7"",""Sour/Fermented"":""1"",""Spices"":""4"",""Sweet"":""2""},""genetic_class"":""Lula"",""genotype"":""G0005"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""7.416666666666667"",""balance"":""7.833333333333333"",""bitter_sweet"":""7.75"",""clean_cup"":""10"",""flavor"":""7.75"",""fragrance_aroma"":""7.75"",""mean_total_score"":""81.75"",""mouthfeel"":""7.833333333333333"",""overall"":""7.666666666666667"",""salt_acid"":""7.75"",""sd_total_score"":""0.6614378277661477"",""spread_total_score"":""1.25"",""total_rounded"":""81.75"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-009	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:009	en	TRAINED_PANEL_PROFILE	c26516c30c28d602e2eef2c53aabaf227b84d764a19659c28038f8a0d6d415c1	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""5"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""9"",""Roasted"":""2"",""Sour/Fermented"":""1"",""Spices"":""2"",""Sweet"":""3""},""genetic_class"":""Lula"",""genotype"":""G0006"",""harvest"":""2022"",""source_local_panel_scores"":{""aftertaste"":""7.833333333333333"",""balance"":""7.833333333333333"",""bitter_sweet"":""7.833333333333333"",""clean_cup"":""10"",""flavor"":""7.75"",""fragrance_aroma"":""7.75"",""mean_total_score"":""82.25"",""mouthfeel"":""7.75"",""overall"":""7.75"",""salt_acid"":""7.75"",""sd_total_score"":""0.6614378277661477"",""spread_total_score"":""1.25"",""total_rounded"":""82.25"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
document.bollen-2024.profile-010	figshare.bollen-2024	family.bollen-robusta-qgraders-2024	Frontiers Figshare item 25735122 version 1	2024-05-02	bollen_2024_sensory_scores.tsv:data_row:010	en	TRAINED_PANEL_PROFILE	9bd3675bb9c143cbf2a019fb3b18e3ef4b229593fa92c18fa3c95defd308ab24	"{""descriptor_class_counts"":{""Floral"":""0"",""Fruity"":""6"",""Green/Vegetative"":""0"",""Nutty/Cocoa"":""4"",""Roasted"":""2"",""Sour/Fermented"":""1"",""Spices"":""3"",""Sweet"":""5""},""genetic_class"":""Lula"",""genotype"":""G0006"",""harvest"":""2021"",""source_local_panel_scores"":{""aftertaste"":""8.083333333333334"",""balance"":""8.083333333333334"",""bitter_sweet"":""8.166666666666666"",""clean_cup"":""10"",""flavor"":""8.166666666666666"",""fragrance_aroma"":""8"",""mean_total_score"":""84.66666666666667"",""mouthfeel"":""8"",""overall"":""8.083333333333334"",""salt_acid"":""8.083333333333334"",""sd_total_score"":""1.8427786989579984"",""spread_total_score"":""3.5"",""total_rounded"":""84.75"",""uniformity"":""10""},""source_local_scale_notice"":""Panel scores and descriptor-class counts retain source units; no cross-source normalization or pooling is applied.""}"	False	True	False	True	False	False	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	True
