candidate_key	lanes	title	canonical_origin	stable_url	exact_version	license	rights_status	access_result	independence_status	decision	coverage_role	next_action	limitation	reviewed_on
candidate.iswaldi-2026	A;B	Chemical antioxidant and sensory profiles of Indonesian single-origin Arabica coffee with different roast levels and brewing methods	doi.10.1590/1981-6723.1062025	https://doi.org/10.1590/1981-6723.1062025	BJFT version of record published 2026-03-23	CC BY 4.0	CLEARED_AGGREGATE	Article tables public; no participant rows	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_ONLY	Ordinary-consumer RATA; two origins by three roasts by two preparations; 12 observed crossed cells	Acquire immutable article metadata and transcribe attributable aggregate Table 3	Five constructs plus liking; naïve panel; aggregate means only	2026-08-25
candidate.vezzulli-2022	A;B;F	Metabolomics Combined with Sensory Analysis Reveals the Impact of Different Extraction Methods on Coffee Beverages	doi.10.3390/foods11060807	https://doi.org/10.3390/foods11060807	Foods 11(6) 807 version of record 2022-03-11	CC BY 4.0	CLEARED_AGGREGATE	Article Table 2 public; raw panel rows unavailable	INDEPENDENT_ORIGIN	ADMIT_AGGREGATE_ONLY	Six trained panelists; 20 descriptors across eight species by extraction cells	Acquire immutable article metadata and transcribe attributable Table 2 aggregates	Medians only; roast category not portable; WCR definitions excluded	2026-08-25
candidate.bollen-2024	A;B	Sensory profiles of Robusta coffee genetic resources from the Democratic Republic of the Congo	doi.10.3389/fsufs.2024.1382976	https://doi.org/10.3389/fsufs.2024.1382976.s002	Frontiers Figshare item 25735122 posted 2024-05-02	CC BY 4.0	CLEARED_PENDING_FILE_AUDIT	One 30.69 kB XLSX advertised; file not yet downloaded	INDEPENDENT_ORIGIN	ADMIT_PENDING_HASH_PRIVACY	Three trained Q-graders; 95 medium-roast immersion-cupping sample profiles	Acquire file after register freeze; verify hash schema and identifiers	Aggregate sample profiles; source descriptor classes are not project taxonomy	2026-08-25
candidate.liang-dryad-2024	A;B	Sensory analysis of the flavor profile of full immersion hot room temperature and cold brewed coffee over time	doi.10.1038/s41598-024-69867-6	https://doi.org/10.5061/dryad.v15dv423h	Scientific Reports version 2024-08-20; Dryad record unresolved	Article CC BY 4.0; Dryad expected CC0 pending exact record	PENDING_EXACT_FILES	Official Dryad DOI exists but exact version files and privacy unresolved	SHARED_UC_DAVIS_ECOSYSTEM_DISTINCT_STUDY	PENDING_FILE_AUDIT	Fourteen calibrated panelists; 30 immersion temperature by roast by time conditions	Recheck exact Dryad API record version files hashes and identifiers	One blend and immersion family; shared institutional ecosystem	2026-08-25
candidate.gloess-2013	A;B	Comparison of nine common coffee extraction methods instrumental and sensory analysis	doi.10.1007/s00217-013-1917-x	https://doi.org/10.1007/s00217-013-1917-x	Springer version of record 2013-01-30	Historical Creative Commons Attribution exact version pending	PENDING_EXACT_LICENSE_AND_SUPPLEMENT	Article plus DOCX supplement advertised	INDEPENDENT_ORIGIN	PENDING_RIGHTS_FILE_AUDIT	Seven trained panelists; nine preparation methods; two source-local roast settings	Verify exact historical CC instrument and supplement hash before aggregate use	Consensus aggregates; coffee and method confounding	2026-08-25
candidate.stanek-2021	A;B	Influence of coffee brewing methods on chromatographic spectroscopic antioxidant and sensory properties	doi.10.1038/s41598-021-01001-2	https://doi.org/10.1038/s41598-021-01001-2	Scientific Reports 11 21377 version of record 2021-11-01	CC BY 4.0	CLEARED_AGGREGATE	Article figures and aggregates public; no separate raw data	INDEPENDENT_ORIGIN	ADMIT_FOLLOWUP_AGGREGATE	Five certified judges; six lots by three preparations	Use only if additional expert-panel breadth is required	Small panel; figure-level outcomes; roast category unreported	2026-08-25
candidate.batali-foods-2440	A;B;F	Sensory Analysis of Full Immersion Coffee Cold Brew Is More Floral and Less Bitter Sour and Rubbery Than Hot Brew	doi.10.3390/foods11162440	https://doi.org/10.3390/foods11162440	Foods 11(16) 2440 version of record	CC BY 4.0 article; raw data permission requested	PENDING_AUTHOR_DATA	Article public; source rows data on request	SHARED_UC_DAVIS_ECOSYSTEM_DISTINCT_STUDY	PENDING_AUTHOR_REQUEST	Three origins by three roasts by three temperatures; trained panel	Keep finalized request ready; do not send without user authorization	No public raw snapshot	2026-08-25
candidate.frost-jfs-15326	B;F	Effects of brew strength brew yield and roast on the sensory quality of drip brewed coffee	doi.10.1111/1750-3841.15326	https://doi.org/10.1111/1750-3841.15326	JFS version of record 2020	Publisher copyright; permission requested	PENDING_AUTHOR_DATA	Abstract and supporting summary only	SHARED_UC_DAVIS_ECOSYSTEM_DISTINCT_STUDY	PENDING_AUTHOR_REQUEST	Three roasts by nine brew conditions; descriptive panel and 30 attributes	Keep finalized request ready; do not send without user authorization	No public raw dataset or reusable instrument	2026-08-25
candidate.soares-2026	A;B	Ranking descriptive analysis and preference of cold brew coffee impact of roasting degree	doi.10.1007/s11694-026-04500-w	https://doi.org/10.1007/s11694-026-04500-w	JFMC version of record published 2026-05-26	CC BY 4.0 article	PENDING_AUTHOR_DATA	Article public; underlying data on request	INDEPENDENT_ORIGIN	PENDING_AUTHOR_REQUEST	Thirty-two assessors; three roast cells; cold-brew product	Consider later request only after current stopping-rule result	Aggregate profiles and pasteurization/storage confounds	2026-08-25
candidate.pereira-2023	A;B	Impacts of brewing methods on sensory perception and organoleptic compounds of coffee	doi.10.1016/j.focha.2023.100185	https://doi.org/10.1016/j.focha.2023.100185	Food Chemistry Advances 2 100185	CC BY-NC-ND 4.0	REJECTED_RIGHTS	Article public; data on request	INDEPENDENT_ORIGIN	REJECT_RIGHTS	One hundred twenty-four untrained consumers; four methods	Citation-only gap record	NC and ND incompatible with commercial derivative baseline	2026-08-25
