section	readiness_key	minimum_required	preferred_required	observed	hard_gate	passed	evidence_path	limitation
BASELINE	checkpoint.source_sha	aa6a18ca5f4c289d5fa588e1996c7fa219f99eca	aa6a18ca5f4c289d5fa588e1996c7fa219f99eca	aa6a18ca5f4c289d5fa588e1996c7fa219f99eca	true	true	git rev-parse origin/main	Exact remote main verified before worktree creation.
BASELINE	canonical.concept_count	130	130	130	true	true	kb.concept	All lifecycle states; ontology frozen.
BASELINE	canonical.active_sensory_attribute_count	92	92	92	true	true	kb.concept	Active sensory attributes only; ontology frozen.
BASELINE	sensory.source_family_count	5	5	4	true	false	whole governed evidence inventory	Independent research origins; chemistry and marketing corpora excluded.
BASELINE	sensory.method_family_count	3	3	3	true	true	context raw payload plus relationship source annotations	CATA, JAR/liking, and RATA; unspecified score methods excluded.
BASELINE	sensory.source_local_observation_row_count	DESCRIPTIVE	DESCRIPTIVE	3689	false	true	source-local raw/aggregate inventories	Rows are never pooled across incompatible methods.
BASELINE	sensory.source_local_sample_count	DESCRIPTIVE	DESCRIPTIVE	101	false	true	source-local sample/configuration inventories	Counts coffee/sample/configuration identities, not independent people.
BASELINE	sensory.source_local_participant_or_panel_count	DESCRIPTIVE	DESCRIPTIVE	236	false	true	source-local participant/panel metadata	FT-NIR assessor count is unreported and excluded.
BASELINE	consumer.ordinary_user_source_count	2	2	2	true	true	Dryad Cotter plus Mendeley taste-sensitivity	General surveys without sensory variables excluded.
BASELINE	reference.panel_source_count	2	2	1	true	false	Mendeley Liberica RATA	FT-NIR assessor method is unreported and excluded.
BASELINE	context.preparation_sensory_coverage	3	3	1	true	false	audit.v_round3e_empirical_coverage	Only filter/percolation is normalized with sensory outcomes.
BASELINE	context.roast_sensory_coverage	4	4	4	true	true	Cotter medium plus source-defined Liberica L/M/D	Source-local labels are not silently harmonized.
BASELINE	context.crossed_cell_count	12	12	1	true	false	observed coffee/sample × preparation × roast inventory	Only cells with sensory outcomes and reported context count.
BASELINE	context.empirical_coverage_cell_count	120	180	52	true	false	audit.empirical_coverage_cell	Observed source-local cells only; no inferred or zero-filled cells.
BASELINE	milk.sensory_outcome_source_family_count	0	1	0	false	true	whole governed evidence inventory	Preferred only; black-coffee-only state must exclude milk.
BASELINE	language.contemporary_source_family_count	3	5	0	true	false	corpus source-family inventory excluding Firstbloom	Preparation dictionaries and USDA descriptions excluded.
BASELINE	language.new_contemporary_document_count	500	1500	0	true	false	corpus document inventory excluding Firstbloom	Documents must contain actual coffee tasting/sensory language.
BASELINE	language.unique_expression_count	2500	3500	1777	true	false	corpus.normalized_expression	Observed/sourced normalized forms only.
BASELINE	language.zh_hans_source_family_count	2	3	0	true	false	governed zh-Hans sensory-language inventory	Round 3G Wikimedia editions are one family and have no admitted coffee expression rows.
BASELINE	language.zh_hans_sensory_expression_count	0	200	0	false	true	governed zh-Hans sensory-language inventory	No synthetic or machine-translated expressions count.
