canonical_concept_id	PROFESSIONAL_CONCEPT_LABEL	QUESTION_LANGUAGE	RESULT_LABEL	RESULT_EXPLANATION	wording_status	evidence_lineage	editorial_note
sensory.jasmine	Jasmine	闻起来会让你想到茉莉花的香气吗？	茉莉花香	可试着用“茉莉花香”描述这份花香；不需要同时有水果香或酸味。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：茉莉。GPT 独立措辞建议，未经 owner 或真实用户审核。white_floral 是现有分组，不是新增概念；不要把所有白花香直接认定为茉莉。待 owner 检查茉莉参照的熟悉度。
sensory.rose	Rose	闻起来会让你想到玫瑰花的香气吗？	玫瑰花香	可试着用“玫瑰花香”描述这份花香，看看是否贴近你的感觉。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：玫瑰。GPT 独立措辞建议，未经 owner 或真实用户审核。待 owner 检查是否容易联想到香水或玫瑰食品；参照物差异不能视为用户答错。
sensory.orange_blossom	Orange Blossom	闻起来会让你想到橙树开花的香气吗？	橙花香	“橙花香”可作为花香参照；它不表示橙子果肉的味道或酸味。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：橙花。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：橙花可能不熟悉，不能用橙子酸味替代。待 owner 决定是否仅在用户熟悉时追问。 原有 RIGHTS_BLOCKED 保持；新增措辞不解除权利阻断。
sensory.lemon	Lemon	闻起来或喝起来，有让你想到柠檬的地方吗？	柠檬般的风味	可把“柠檬”作为参照；有酸味并不一定就像柠檬。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：柠檬。GPT 独立措辞建议，未经 owner 或真实用户审核。问题暂时同时容纳闻香与入口联想；待 owner 决定分开追问是否值得增加负担。不得仅凭酸味映射柠檬。
sensory.orange	Orange	闻起来或喝起来，有让你想到橙子的地方吗？	橙子般的风味	可把“橙子”作为参照，看看是否贴近你的感觉；它与橙花香分开描述。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：橙。GPT 独立措辞建议，未经 owner 或真实用户审核。保留原专业中文标签“橙”；日常结果用“橙子”。不要因同属柑橘而与柠檬合并，也不等同橙花。
sensory.blueberry	Blueberry	闻起来或喝起来，有让你想到蓝莓的地方吗？	蓝莓般的风味	可把“蓝莓”作为参照；如果你只感觉像某种莓果，也可以先保留宽泛说法。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：蓝莓。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：berry 是分组，当前概念是 Blueberry；宽泛莓果回答不足以直接确认蓝莓。待 owner 决定宽泛回答的停留方式。
sensory.honey	Honey	闻起来会让你想到蜂蜜的香气吗？	蜂蜜般的香气	可把“蜂蜜香”作为参照；闻着甜不代表含糖量高，也不一定喝着甜。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：蜂蜜。GPT 独立措辞建议，未经 owner 或真实用户审核。甜香、入口甜味与糖分必须分开。待 owner 检查用户会否把蜂蜜香理解成加了蜂蜜。
sensory.caramel	Caramel	闻起来会让你想到焦糖的香气吗？	焦糖般的香气	可把“焦糖香”作为参照；它不表示加了糖，也不等于烟熏味。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：焦糖。GPT 独立措辞建议，未经 owner 或真实用户审核。焦糖与红糖仍是独立概念；不要把焦糖香、焦苦感和烟熏合成一个答案。待 owner 检查参照熟悉度。
sensory.brown_sugar	Brown Sugar	闻起来会让你想到红糖的香气吗？	红糖般的香气	可把“红糖香”作为参照；闻着甜不等于喝着甜，也不能说明糖分多少。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：红糖。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：保留既有 Brown Sugar / 红糖 对应，不宣布跨文化等价；红糖、黄糖、黑糖联想差异待 owner 审核。 原有 RIGHTS_BLOCKED 保持；新增措辞不解除权利阻断。
sensory.almond	Almond	闻起来或喝起来，有让你想到杏仁的地方吗？	杏仁般的风味	可把“杏仁”作为参照，看看是否贴近你的感觉；这个名称不表示添加了杏仁。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：杏仁。GPT 独立措辞建议，未经 owner 或真实用户审核。“杏仁”在不同使用习惯中可能指不同食物；不能由此推定实际配料或过敏原状态。参照物待 owner 审核。
sensory.hazelnut	Hazelnut	闻起来或喝起来，有让你想到榛子的地方吗？	榛子般的风味	可把“榛子”作为参照，看看是否贴近你的感觉；也可以先记作坚果般的风味。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：榛子。GPT 独立措辞建议，未经 owner 或真实用户审核。宽泛坚果回答不能直接确认榛子。待 owner 检查是否容易把榛子巧克力的整体味道当成榛子本身。
sensory.dark_chocolate	Dark Chocolate	喝起来有没有让你想到黑巧克力的地方？	黑巧克力般的风味	可把“黑巧克力”作为参照；只有苦味，还不足以描述这种联想。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：黑巧克力。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：不要把黑巧克力简化为苦味或用可可百分比做未验证阈值；cocoa 分组不改变 Dark Chocolate 身份。
sensory.cinnamon	Cinnamon	闻起来会让你想到肉桂的香气吗？	肉桂般的香气	可把“肉桂香”作为参照，看看是否贴近你的感觉。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：肉桂。GPT 独立措辞建议，未经 owner 或真实用户审核。待 owner 检查肉桂参照的熟悉度；不以辛辣、温度或某一种甜点作为唯一判断条件。
sensory.tobacco	Tobacco	闻起来会让你想到烟草叶的气味吗？	烟草般的气味	可把“烟草”作为气味参照；它与烟熏感分开描述。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：烟草。GPT 独立措辞建议，未经 owner 或真实用户审核。“烟草叶”是待审核的提问措辞，不是对 Tobacco 的新定义。待 owner 检查是否过窄，以及是否被理解为燃烧的烟味。
sensory.smoky	Smoky	闻起来有没有像烟熏过的气味？	烟熏感	可试着用“烟熏感”描述这份气味；它本身不能说明烘焙深浅或制作方式。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：烟熏。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：不要把烟熏、焦苦和烟草视为同义词；不根据这一感受反推处理工艺。待 owner 检查是否需要更熟悉的参照。
sensory.green_tea	Green Tea	闻起来或喝起来，有让你想到绿茶的地方吗？	绿茶般的风味	可把“绿茶”作为参照；如果只感觉像茶，也可以先保留“茶感”。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：绿茶。GPT 独立措辞建议，未经 owner 或真实用户审核。优先复核：tea 是分组，当前概念是 Green Tea；宽泛茶感、清淡或涩感均不能单独确认绿茶。待 owner 检查茶类熟悉度差异。
sensory.cedar	Cedar	闻起来会让你想到雪松木的气味吗？	雪松般的气味	可把“雪松”作为气味参照；如果不熟悉这种木头，也可以先记下自己的联想。	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/current/CLEANED_DESCRIPTOR_DISTRIBUTION.tsv|db/data/current/ONTOLOGY_CONSOLIDATION_V2.tsv|db/data/round3h/batch5/relationship_evidence_claims.tsv|packages/flavor-data/src/descriptors.ts	原专业中文标签：雪松。GPT 独立措辞建议，未经 owner 或真实用户审核。“雪松木”是待审核的日常提示，不是新定义。参照物较陌生，普通木头气味不能直接确认雪松。 原有 RIGHTS_BLOCKED 保持；新增措辞不解除权利阻断。
