language_expression_key	language_code	representative_source_phrase	normalized_expression	expression_role	source_authored	machine_translated	artificial_variant	review_state	counts_toward_governed_total	counts_as_zh_hans_sensory_expression	public_export_allowed	limitation
language.expression.zh_hans.sha256_cfa84c9ec2d23a419fd2becc99c412b8e65eb23cae3376eb8eb29cb3ad4fb07b	zh-Hans	一些“雀巢”感	一些“雀巢”感	CONSUMER_METAPHOR	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_45f30a5498dcd7b353f93db6a2f6b12eebadf27e843cf185d846d799a32a337a	zh-Hans	一些花香	一些花香	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_13f196259e703ba3dd35523f593016e93df3cfcdbaf0bb6089e5df49e590ba20	zh-Hans	一定的中药感	一定的中药感	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_a1042980134bb970ef7c33569304575259539215d721463c1f90ed3189738057	zh-Hans	一定的花果芬芳	一定的花果芬芳	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_4b358cb3d048a240545c67626e92b51eddd1566091681c4024cf9a620e66c24f	zh-Hans	一定的茶感	一定的茶感	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_425aa1e24f5eecb557efaa9a56ec13ae86f1164847d4e1bec3b707f9949ef995	zh-Hans	一定酵酸	一定酵酸	SENSORY_ATTRIBUTE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_6732e0321334aeaf021016a088c9fcdfca3ae78354d8222786e682479e7c52ac	zh-Hans	一点点不令人厌烦的烟熏味道	一点点不令人厌烦的烟熏味道	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_fff5054b9f9183db0148a55c595dca320a0f9c311d2c849140c12ed009d8e0ea	zh-Hans	一点点不好的感受	一点点不好的感受	UNRESOLVED	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_40cb1526060ac1c580c0a1efe1d638e0337dc686f28559943857ef0712803351	zh-Hans	一点点烟熏感	一点点烟熏感	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_ef5af2c66d47e96a6acf6dceb4fc9a97ddc24137ec25132a2c5d06fe1a813f42	zh-Hans	一点烟熏感	一点烟熏感	AROMA_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
language.expression.zh_hans.sha256_f1d65daeb7c7bdd0747886f36117c67a5b992afa8386b3b2e0ed932d6ddda0ef	zh-Hans	一种米浆的感受	一种米浆的感受	COMPOSITE_REFERENCE	true	false	false	SOURCE_REVIEWED	true	true	true	Observed source-authored Simplified-Chinese sensory expression; no forced canonical mapping or translation equivalence.
