metric_key	baseline	observed_after_batch	absolute_delta	evidence_path	limitation
coffee_sensory_source_family_count	4	7	3	db/data/round3h/batch1/batch1_source_manifest.json	Independent canonical origins; chemistry-only sources excluded.
sensory_method_family_count	3	3	0	batch1 manifests plus prior governed inventory	RATA and descriptive/intensity remain different method families.
source_local_sensory_observation_row_count	3689	4016	327	three batch1 derived TSVs	Rows retain source-local semantics and are not a pooled training table.
source_local_sensory_sample_count	101	216	115	12 Iswaldi cells; 8 Vezzulli cells; 95 Bollen profiles	Source conditions and sample records are counted once.
source_local_participant_or_panel_count	236	295	59	50 consumers; 6 trained panelists; 3 Q-graders	Participant totals are descriptive and not independent row counts.
sensory_outcome_preparation_family_count	1	7	6	Iswaldi; Vezzulli; Bollen	Source-defined preparations are not silently standardized.
sensory_outcome_roast_category_or_scheme_count	4	8	4	Iswaldi three-level scheme and Bollen source-reported medium scheme	Vezzulli roast is not portable and is not counted.
crossed_preparation_roast_observed_cell_count	1	108	107	12 Iswaldi plus 95 Bollen observed sample cells	No zero-filled or inferred cells.
ordinary_user_sensory_source_family_count	2	3	1	family.iswaldi-rataconsumers-2026	Naive consumers count; trained panels do not.
reference_panel_source_family_count	1	3	2	Vezzulli and Bollen	Panels remain separate from ordinary consumers.
empirical_coverage_cell_count	52	167	115	audit.empirical_coverage_cell baseline plus source-local batch1 cells	Engineering coverage only; no statistical significance claim.
