source_row_key	coffee_species	preparation	source_descriptor	raw_value	parsed_value	normalized_value	normalization_rule	source_unit	project_feature_mapping	missingness_semantics
vezzulli.001	arabica	moka	Color intensity	7.0	7.0	7.0	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.002	arabica	neapolitan_pot	Color intensity	6.7	6.7	6.7	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.003	robusta	moka	Color intensity	6.9	6.9	6.9	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.004	robusta	neapolitan_pot	Color intensity	6.1	6.1	6.1	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.005	arabica	espresso	Color intensity	7.0	7.0	7.0	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.006	robusta	espresso	Color intensity	7.3	7.3	7.3	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.007	arabica	filter	Color intensity	7.0	7.0	7.0	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.008	robusta	filter	Color intensity	7.2	7.2	7.2	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.009	arabica	moka	Aroma intensity	5.4	5.4	5.4	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.010	arabica	neapolitan_pot	Aroma intensity	4.1	4.1	4.1	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.011	robusta	moka	Aroma intensity	5.6	5.6	5.6	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.012	robusta	neapolitan_pot	Aroma intensity	4.0	4.0	4.0	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.013	arabica	espresso	Aroma intensity	6.7	6.7	6.7	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.014	robusta	espresso	Aroma intensity	6.2	6.2	6.2	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.015	arabica	filter	Aroma intensity	4.8	4.8	4.8	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.016	robusta	filter	Aroma intensity	5.2	5.2	5.2	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.017	arabica	moka	Body	4.7	4.7	4.7	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.018	arabica	neapolitan_pot	Body	4.1	4.1	4.1	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.019	robusta	moka	Body	4.9	4.9	4.9	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.020	robusta	neapolitan_pot	Body	3.4	3.4	3.4	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.021	arabica	espresso	Body	6.0	6.0	6.0	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
vezzulli.022	robusta	espresso	Body	5.8	5.8	5.8	direct transcription from article Table 2	source panel median on source-defined scale	descriptor_intensity	NOT_APPLICABLE
