genotype	harvest	genetic_class	cluster_lula	cluster_wild	cluster_congolese_subgroup_a	fragrance_aroma	flavor	aftertaste	salt_acid	bitter_sweet	mouthfeel	balance	overall	uniformity	clean_cup	mean_total_score	sd_total_score	spread_total_score	total_rounded	green_vegetative	other_descriptor_class	roasted	spices	nutty_cocoa	sweet	floral	fruity	sour_fermented	planting_year	tree_age	inera_info	clones	weight_in_g	weight_out_g	weight_loss_ratio
G0001	2022	Lula	0.998679	0.000664	0.000657	7.666666666666667	7.666666666666667	7.666666666666667	7.5	7.75	7.75	7.916666666666667	7.833333333333333	10	10	81.75	0.4330127018922193	0.75	81.75	0	1	3	0	8	2	0	3	1	2016	6	Lula	3	50	43.2	0.8640000000000001
G0001	2021	Lula	0.998679	0.000664	0.000657	7.833333333333333	7.916666666666667	7.833333333333333	7.916666666666667	8.166666666666666	7.916666666666667	7.916666666666667	7.833333333333333	10	10	83.33333333333333	0.8779711460710615	1.75	83.25	0	2	4	2	6	3	0	4	1	2016	5	Lula	3	50	44.1	0.882
G0002	2021	Lula	0.998667	0.000677	0.000656	7.833333333333333	8	7.833333333333333	7.916666666666667	8.166666666666666	8.083333333333334	8.083333333333334	7.916666666666667	10	10	83.83333333333333	1.233220715579062	2.25	83.75	0	0	1	5	6	3	0	3	0	2016	5	Lula	3	50	42.4	0.848
G0002	2022	Lula	0.998667	0.000677	0.000656	7.75	7.916666666666667	7.75	7.833333333333333	7.916666666666667	7.916666666666667	7.75	7.833333333333333	10	10	82.66666666666667	0.14433756729740646	0.25	82.75	0	0	2	2	8	4	0	2	2	2016	6	Lula	3	50	43.2	0.8640000000000001
G0002(br)	2021	Lula	0.998667	0.000677	0.000656	7.583333333333333	7.583333333333333	7.333333333333333	7.833333333333333	7.5	7.5	7.583333333333333	7.416666666666667	10	10	80.33333333333333	0.8779711460710616	1.75	80.25	3	5	4	2	NOT_REPORTED	1	0	2	1	2016	5	Lula	3	50	44	0.88
G0003	2021	Lula	0.998683	0.000661	0.000656	7.75	7.833333333333333	7.75	7.666666666666667	7.666666666666667	7.75	7.75	7.75	10	10	81.91666666666667	0.38188130791298663	0.75	82	0	0	5	1	4	2	0	6	0	2016	5	Lula	3	50	43.8	0.8759999999999999
G0003(br)	2021	Lula	0.998683	0.000661	0.000656	7.666666666666667	7.75	7.75	7.666666666666667	7.75	7.833333333333333	8	7.916666666666667	10	10	82.33333333333333	1.7017148213885114	3.25	82.25	0	0	6	3	8	2	0	1	1	2016	5	Lula	3	50	43.3	0.866
G0005	2021	Lula	0.916094	0.083244	0.000662	7.75	7.75	7.416666666666667	7.75	7.75	7.833333333333333	7.833333333333333	7.666666666666667	10	10	81.75	0.6614378277661477	1.25	81.75	2	1	7	4	5	2	0	2	1	2016	5	Lula	3	50	43.1	0.862
G0006	2022	Lula	0.998656	0.000685	0.000659	7.75	7.75	7.833333333333333	7.75	7.833333333333333	7.75	7.833333333333333	7.75	10	10	82.25	0.6614378277661477	1.25	82.25	0	0	2	2	9	3	0	5	1	2007	15	Lula	3	50	43.900000000000006	0.8780000000000001
G0006	2021	Lula	0.998656	0.000685	0.000659	8	8.166666666666666	8.083333333333334	8.083333333333334	8.166666666666666	8	8.083333333333334	8.083333333333334	10	10	84.66666666666667	1.8427786989579984	3.5	84.75	0	0	2	3	4	5	0	6	1	2007	14	Lula	3	50	44.2	0.884
G0007	2021	Lula	0.998677	0.000668	0.000655	7.416666666666667	7.5	7.25	7.416666666666667	7.583333333333333	7.416666666666667	7.333333333333333	7.416666666666667	10	10	79.33333333333333	1.0408329997330665	2	79.25	3	1	2	0	7	1	0	1	0	2013	8	Lula	3	50	42.7	0.8540000000000001
G0007	2022	Lula	0.998677	0.000668	0.000655	7.5	7.5	7.416666666666667	7.5	7.5	7.416666666666667	7.416666666666667	7.5	10	10	79.75	1.8874586088176875	3.75	79.75	0	1	5	0	7	2	0	0	0	2013	9	Lula	3	50	43.4	0.868
G0008	2022	Lula	0.998676	0.000663	0.000661	7.416666666666667	7.5	7.333333333333333	7.583333333333333	7.583333333333333	7.5	7.5	7.416666666666667	10	10	79.83333333333333	0.6291528696058958	1.25	79.75	2	3	6	2	7	1	0	0	0	2007	15	Lula	3	50	43	0.86
G0008	2021	Lula	0.998676	0.000663	0.000661	7.25	7.5	7.166666666666667	7.583333333333333	7.583333333333333	7.583333333333333	7.416666666666667	7.416666666666667	10	10	79.5	0.8660254037844386	1.5	79.5	4	4	2	2	4	1	0	0	0	2007	14	Lula	3	50	43.4	0.868
G0008(br)	2022	Lula	0.998676	0.000663	0.000661	7	7.166666666666667	7	7.5	7.5	7.416666666666667	7.25	7.166666666666667	10	10	78	1.5206906325745548	2.75	78	9	0	3	0	3	2	0	1	0	2007	15	Lula	3	50	42	0.84
G0009	2021	Lula	0.998682	0.000666	0.000652	7.75	7.75	7.583333333333333	7.833333333333333	7.833333333333333	7.833333333333333	7.75	7.75	10	10	82.08333333333333	0.2886751345948129	0.5	82	1	0	3	7	4	1	0	4	0	2007	14	Lula	3	50	44.1	0.882
G0010	2022	Lula-Congolese Subgroup A	0.837036	0.000675	0.162289	7.75	7.916666666666667	7.75	7.916666666666667	7.833333333333333	7.833333333333333	7.916666666666667	7.75	10	10	82.66666666666667	1.0103629710818451	1.75	82.75	0	0	3	5	7	4	1	5	0	2016	6	Lula	3	50	44	0.88
G0013	2021	Lula-Wild	0.890122	0.109221	0.000657	7.75	7.666666666666667	7.416666666666667	7.583333333333333	7.666666666666667	7.75	7.666666666666667	7.666666666666667	10	10	81.16666666666667	1.0408329997330665	2	81.25	0	4	3	0	6	4	0	0	0	2007	14	Lula	3	50	43.8	0.8759999999999999
G0015	2021	Lula	0.998674	0.000668	0.000659	7.75	7.5	7.333333333333333	7.583333333333333	7.666666666666667	7.666666666666667	7.583333333333333	7.5	10	10	80.58333333333333	0.38188130791298663	0.75	80.5	1	1	3	4	5	2	0	0	0	2003	18	Lula	1	50	43.1	0.862
G0021	2021	Lula	0.950731	0.048611	0.000658	7.583333333333333	7.583333333333333	7.416666666666667	7.75	7.666666666666667	7.916666666666667	7.583333333333333	7.666666666666667	10	10	81.16666666666667	0.7637626158259733	1.5	81.25	0	2	3	3	5	0	0	3	0	2003	18	Lula	1	50	43.3	0.866
G0023	2021	Lula-Wild	0.622329	0.377012	0.000659	7.833333333333333	7.916666666666667	7.75	8.083333333333334	8.25	7.916666666666667	8	7.916666666666667	10	10	83.66666666666667	0.7637626158259733	1.5	83.75	2	0	1	3	5	3	0	7	2	2007	14	Lula	1	50	44.6	0.892
G0026	2021	Lula	0.925204	0.074127	0.000669	8	8.083333333333334	7.666666666666667	7.833333333333333	7.916666666666667	8	7.833333333333333	7.916666666666667	10	10	83.25	0.4330127018922193	0.75	83.25	1	0	0	1	4	0	0	8	0	2007	14	Lula	1	50	44.1	0.882
G0028	2021	Lula-Wild	0.267668	0.73168	0.000652	8	8	7.833333333333333	8.166666666666666	8.166666666666666	8	7.916666666666667	8	10	10	84.08333333333333	2.3228933107943925	4.25	84	0	0	6	6	3	3	0	4	1	2007	14	Yangambi	1	50	43.5	0.87
G0028	2022	Lula-Wild	0.267668	0.73168	0.000652	7.583333333333333	7.833333333333333	7.75	7.75	7.916666666666667	7.666666666666667	7.75	7.916666666666667	10	10	82.16666666666667	0.14433756729740646	0.25	82.25	0	1	2	0	9	2	0	3	1	2007	15	Yangambi	1	50	43.800000000000004	0.8760000000000001
G0029	2021	Lula	0.998667	0.000666	0.000667	7.583333333333333	7.583333333333333	7.416666666666667	7.5	7.75	7.583333333333333	7.75	7.666666666666667	10	10	80.83333333333333	1.0103629710818451	1.75	80.75	2	1	6	4	3	3	0	1	0	2016	5	Beni/Uganda	2	50	43.800000000000004	0.8760000000000001
G0035	2021	Lula-Wild	0.882877	0.116463	0.00066	7.833333333333333	7.916666666666667	7.833333333333333	8	7.916666666666667	7.75	7.916666666666667	8	10	10	83.16666666666667	1.233220715579062	2.25	83.25	2	0	0	5	7	3	0	1	1	2016	5	Beni/Uganda	3	50	43.7	0.8740000000000001
G0036	2021	Lula	0.914644	0.084714	0.000642	7.5	7.5	7.25	7.5	7.583333333333333	7.666666666666667	7.416666666666667	7.416666666666667	10	10	79.83333333333333	0.38188130791298663	0.75	79.75	4	2	2	0	4	1	0	0	0	2016	5	Beni/Uganda	1	50	43.1	0.862
G0039	2022	Lula-Congolese Subgroup A	0.859091	0.000671	0.140238	7.5	7.916666666666667	7.666666666666667	7.75	7.75	7.666666666666667	7.833333333333333	7.833333333333333	10	10	81.91666666666667	0.38188130791298663	0.75	82	4	1	4	3	3	3	0	0	0	2016	6	Beni/Uganda	1	50	42.8	0.856
G0039	2021	Lula-Congolese Subgroup A	0.859091	0.000671	0.140238	7.75	7.75	7.416666666666667	7.916666666666667	7.666666666666667	7.75	7.666666666666667	7.75	10	10	81.66666666666667	1.4433756729740645	2.5	81.75	3	0	3	4	0	3	0	6	1	2016	5	Beni/Uganda	1	50	43.4	0.868
G0041	2021	Lula-Wild	0.516466	0.482879	0.000654	7.333333333333333	7.333333333333333	7.25	7.5	7.5	7.666666666666667	7.416666666666667	7.333333333333333	10	10	79.33333333333333	1.0103629710818451	2	79.25	6	5	4	0	1	1	0	0	1	2016	5	Yangambi	3	50	42.8	0.856
G0042	2022	Lula-Wild	0.375899	0.607634	0.016468	7	6.916666666666667	6.75	7.25	7.25	7.416666666666667	7	6.916666666666667	10	10	76.5	0.25	0.5	76.5	9	1	2	0	3	0	0	0	0	2016	6	Coffea congensis	1	50	42.5	0.85
G0043	2021	Lula-Congolese Subgroup A	0.410397	0.00068	0.588923	7.583333333333333	7.583333333333333	7.416666666666667	7.666666666666667	7.416666666666667	7.583333333333333	7.583333333333333	7.5	10	10	80.33333333333333	1.6645820296198484	3	80.25	5	1	6	1	1	1	0	2	1	2016	5	Lula	3	50	41.8	0.836
G0043	2022	Lula-Congolese Subgroup A	0.410397	0.00068	0.588923	7.416666666666667	7.25	7.25	7.5	7.166666666666667	7.5	7.25	7	10	10	78.33333333333333	0.38188130791298663	0.75	78.25	6	0	5	1	6	3	0	1	0	2016	6	Lula	3	50	43.5	0.87
G0046	2022	Lula	0.998677	0.000657	0.000666	7.583333333333333	7.916666666666667	7.833333333333333	7.666666666666667	7.916666666666667	7.75	7.75	7.75	10	10	82.16666666666667	0.6291528696058958	1.25	82.25	0	3	4	9	3	4	0	5	0	2015	7	Yaboya	1	50	43.2	0.8640000000000001
G0046	2021	Lula	0.998677	0.000657	0.000666	7.833333333333333	7.916666666666667	7.666666666666667	8	7.916666666666667	7.833333333333333	7.916666666666667	7.916666666666667	10	10	83	1.14564392373896	2.25	83	2	2	6	3	4	1	0	2	0	2015	6	Yaboya	1	50	44.8	0.8959999999999999
G0047	2022	Lula	0.998685	0.00066	0.000655	7.5	7.833333333333333	7.5	7.666666666666667	7.5	7.666666666666667	7.666666666666667	7.666666666666667	10	10	81	0.6614378277661477	1.25	81	0	1	6	0	7	1	0	1	1	2015	7	Yaboya	1	50	43.6	0.872
G0048	2022	Wild	0.000658	0.998691	0.000651	7.583333333333333	7.25	7	7.25	7.166666666666667	7.5	7.333333333333333	7.166666666666667	10	10	78.25	1.25	2.5	78.25	0	2	5	3	4	0	0	1	0	2018	4	Yalungu	1	50	40.900000000000006	0.8180000000000001
G0048	2021	Wild	0.000658	0.998691	0.000651	7.333333333333333	7.5	7.25	7.5	7.333333333333333	7.583333333333333	7.5	7.416666666666667	10	10	79.41666666666667	1.3768926368215255	2.75	79.5	0	1	7	2	1	1	0	2	1	2018	3	Yalungu	1	50	43.6	0.872
G0050	2022	Wild	0.000671	0.99867	0.000659	7.5	7.333333333333333	7.083333333333333	7.416666666666667	7.166666666666667	7.5	7.083333333333333	7.083333333333333	10	10	78.16666666666667	0.8779711460710615	1.75	78.25	2	2	5	3	4	0	0	2	0	2018	4	Yalungu	1	50	43.5	0.87
G0054	2022	Wild	0.000695	0.998619	0.000687	7.5	7.25	6.833333333333333	7.166666666666667	7.25	7.333333333333333	7.083333333333333	7.166666666666667	10	10	77.58333333333333	1.6645820296198484	3.25	77.5	2	4	3	3	3	1	0	3	0	2017	5	Yalungu	1	50	44.400000000000006	0.8880000000000001
G0055	2021	Lula	0.998691	0.000664	0.000645	7.833333333333333	7.916666666666667	7.666666666666667	7.583333333333333	7.916666666666667	7.75	7.666666666666667	7.666666666666667	10	10	82	1	2	82	4	0	0	4	3	3	0	3	1	2012	9	Lokutu	2	50	43.8	0.8759999999999999
G0057	2021	Lula	0.925505	0.073839	0.000656	7.833333333333333	7.833333333333333	7.416666666666667	7.666666666666667	7.75	7.666666666666667	7.666666666666667	7.666666666666667	10	10	81.5	1	2	81.5	1	3	2	3	2	4	0	2	2	2012	9	Lokutu	1	50	43.5	0.87
G0058	2022	Lula-Wild	0.426343	0.57299	0.000667	7.75	7.916666666666667	7.833333333333333	7.75	7.916666666666667	7.75	7.833333333333333	7.75	10	10	82.5	1.75	3.5	82.5	1	2	3	5	4	3	3	3	2	2017	5	Yalungu	1	50	42.2	0.8440000000000001
G0062	2021	Lula-Wild	0.601941	0.397401	0.000658	7.416666666666667	7.583333333333333	7.25	7.833333333333333	7.75	7.666666666666667	7.5	7.583333333333333	10	10	80.58333333333333	0.2886751345948129	0.5	80.5	4	3	2	4	0	3	0	3	2	2017	4	Yalungu	1	50	44	0.88
G0064	2021	Lula-Wild	0.612485	0.386857	0.000658	8	8	7.833333333333333	7.916666666666667	8.166666666666666	8.083333333333334	7.916666666666667	7.916666666666667	10	10	83.83333333333333	0.8036375634160795	1.5	83.75	0	0	3	1	5	2	0	8	3	2017	4	Yalungu	1	50	43.5	0.87
