product_key	publisher_key	external_product_key	product_name	coffee_origin_country_codes	coffee_regions	producer_names	variety_names	process_names	notes
product.firstbloom.290	publisher.firstbloom.1	290	Guatemala San Jacinto	"[""GT""]"	"[""Ixban""]"	"[""Various smallholder producers""]"	"[""Bourbon""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Guatemala""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""290"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""266""],""source"":""Firstbloom Data""}"
product.firstbloom.291	publisher.firstbloom.1	291	Colombia, Jericó	"[""CO""]"	[]	"[""Various smallholder producers""]"	"[""Caturra"",""Tabi""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""291"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""267""],""source"":""Firstbloom Data""}"
product.firstbloom.297	publisher.firstbloom.1	297	Hartmann Blend	"[""PA""]"	[]	"[""Hartmann Family""]"	"[""Catuai"",""Caturra""]"	"[""Dry/Natural"",""Wet/Washed""]"	"{""cleaning_process_names"":[""Dry/Natural"",""Wet/Washed""],""coffee_origin_country_names"":[""Panama""],""drying_process_names"":[],""farm_names"":[""Finca Ojo de Agua"",""Finca Palo Verde""],""firstbloom_product_id"":""297"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""2129""],""source"":""Firstbloom Data""}"
product.firstbloom.519	publisher.firstbloom.1	519	Kenya Gatuyaini Espresso	"[""KE""]"	[]	"[""Philip Gachoka""]"	"[""SL28"",""SL34""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Kenya""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""519"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""526""],""source"":""Firstbloom Data""}"
product.firstbloom.634	publisher.firstbloom.1	634	Felipe Rodriguez	"[""CR""]"	[]	"[""Felipe Rodriguez""]"	"[""Caturra""]"	"[""White Honey""]"	"{""cleaning_process_names"":[""White Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[],""farm_names"":[""Rola""],""firstbloom_product_id"":""634"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""645""],""source"":""Firstbloom Data""}"
product.firstbloom.635	publisher.firstbloom.1	635	Nansebo Genene	"[""ET""]"	"[""Oromia""]"	"[""Various smallholder producers""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""firstbloom_product_id"":""635"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1146""],""source"":""Firstbloom Data""}"
product.firstbloom.637	publisher.firstbloom.1	637	Leo Rojas	"[""CR""]"	[]	"[""Leonardo \""Leo\"" Rojas""]"	"[""Caturra""]"	"[""Covered Raised Bed"",""White Honey""]"	"{""cleaning_process_names"":[""White Honey""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[""Covered Raised Bed""],""farm_names"":[],""firstbloom_product_id"":""637"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""648""],""source"":""Firstbloom Data""}"
product.firstbloom.941	publisher.firstbloom.1	941	Alfonso Matheus	"[""CO""]"	[]	"[""Alfonso Matheus""]"	"[""Caturra""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""drying_process_names"":[],""farm_names"":[""Finca La Esperanza""],""firstbloom_product_id"":""941"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""959""],""source"":""Firstbloom Data""}"
product.firstbloom.942	publisher.firstbloom.1	942	Pedro Moreno	"[""HN""]"	"[""Santa Barbara""]"	"[""Pedro Moreno""]"	"[""Pacas""]"	"[""Shade Dried Beds"",""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Honduras""],""drying_process_names"":[""Shade Dried Beds""],""farm_names"":[""Finca El Cielito""],""firstbloom_product_id"":""942"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""960""],""source"":""Firstbloom Data""}"
product.firstbloom.1119	publisher.firstbloom.1	1119	Macho & Gelbert	"[""CR""]"	"[""Tarrazu""]"	"[""Naranjo Vargas Family""]"	"[""Catuai""]"	"[""Raised Bed"",""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Costa Rica""],""drying_process_names"":[""Raised Bed""],""farm_names"":[""Finca Macho""],""firstbloom_product_id"":""1119"",""firstbloom_roaster_id"":""1"",""metadata_aggregation"":""stable union of explicit selected-release values; no missing value inferred"",""selected_release_count"":1,""selected_release_ids"":[""1140""],""source"":""Firstbloom Data""}"
