expression_key	language_tag_code	expression_text	basic_normalized_text	normalized_text	raw_variant_count	occurrence_count
expression.observed.en.sha256_0cdc83b3917fb39c273645ad67b73cf29935e9aeba543074e18ffa74c9ba9e40	en	70% Chocolate	70% chocolate	70% chocolate	1	1
expression.observed.en.sha256_958beca66289c3b4b75d75d48a6cfc1a199724d5e6c70e98412f0b9c073edb9f	en	70% dark chocolate	70% dark chocolate	70% dark chocolate	1	1
expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	en	a balanced acidity	a balanced acidity	a balanced acidity	1	1
expression.observed.en.sha256_c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	en	a beautiful bright acidity	a beautiful bright acidity	a beautiful bright acidity	1	1
expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	en	a bold body and a balanced sweetness	a bold body and a balanced sweetness	a bold body and a balanced sweetness	1	2
expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	en	a bold body and a light sweetness	a bold body and a light sweetness	a bold body and a light sweetness	1	1
expression.observed.en.sha256_14585b6061dcb4e34c75239ff7d405a7db893cfb346efae76c34815669b00cf4	en	A chocolatey base	a chocolatey base	a chocolatey base	1	1
expression.observed.en.sha256_0af6066bbbdcecb90e0f669f83f296edb26cfa7be904fd1e61e9001cabc631d9	en	A complex cup with notes of chocolate	a complex cup with notes of chocolate	a complex cup with notes of chocolate	1	1
expression.observed.en.sha256_381ba76dfe15e8bb13c188a3b8e454c6fe9d7fe1a130749f758db2a9e8aff8d1	en	A creamy coffee	a creamy coffee	a creamy coffee	1	1
expression.observed.en.sha256_a85388a573bbb628b2f3a31e01de427b7241baaa51b158f57a41650bfdd89e58	en	A dark chocolate backbone	a dark chocolate backbone	a dark chocolate backbone	1	1
expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	en	a mellow acidity	a mellow acidity	a mellow acidity	1	2
expression.observed.en.sha256_0e2819f8823e1085168c21d275287a6ce8e6cd6bc2d966dd7d55cb145145c44b	en	a mild acidity	a mild acidity	a mild acidity	1	3
expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	en	a muted acidity	a muted acidity	a muted acidity	1	1
expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	en	a silky body and a mild sweetness	a silky body and a mild sweetness	a silky body and a mild sweetness	1	1
expression.observed.en.sha256_65743dd48f64dd0165187a8fb99de8632f2c96ac344fb3d5949d562350e32ae5	en	a smooth body and a memorable sweetness	a smooth body and a memorable sweetness	a smooth body and a memorable sweetness	1	1
