pair_key	subject_expression_key	object_expression_key	subject_basic_normalized_text	object_basic_normalized_text	subject_normalized_text	object_normalized_text	document_cooccurrence_count	sample_count	npmi	subject_given_object_probability	object_given_subject_probability	subject_document_frequency	object_document_frequency	value_semantics
cooccurrence.firstbloom-a6cb002-pilot-v1.5356c106bf24fec851aff9051187b70b2441297c4de19d4860e70c5b1860b858	expression.observed.en.sha256_0cdc83b3917fb39c273645ad67b73cf29935e9aeba543074e18ffa74c9ba9e40	expression.observed.en.sha256_a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	70% chocolate	caramel	70% chocolate	caramel	1	2474	0.34346469480034486	0.005917159763313609	1.0	1	169	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.09a04266319397e27dfa1a6b0a899be14e33226abeebd43704ead545ffdc928f	expression.observed.en.sha256_0cdc83b3917fb39c273645ad67b73cf29935e9aeba543074e18ffa74c9ba9e40	expression.observed.en.sha256_9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe	70% chocolate	nuts	70% chocolate	nuts	1	2474	0.623164461667585	0.05263157894736842	1.0	1	19	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.4fded4d82defca623e3b5b56619233e569b1682e7066f9e478b4ec52100f57de	expression.observed.en.sha256_958beca66289c3b4b75d75d48a6cfc1a199724d5e6c70e98412f0b9c073edb9f	expression.observed.en.sha256_ab45e8474269b026f668d49860b36850122e18a50d5ea38f3fefdae08261865c	70% dark chocolate	blueberry	70% dark chocolate	blueberry	1	2474	0.623164461667585	0.05263157894736842	1.0	1	19	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.64e25d1cd46013c8ddf6747c0afa03be5b2b1e63796e51980453fe73fdbdd42a	expression.observed.en.sha256_958beca66289c3b4b75d75d48a6cfc1a199724d5e6c70e98412f0b9c073edb9f	expression.observed.en.sha256_83a1cbb2b2d02d342042c0042aac671146b9941c09820f430afa4a338ce8ebfe	70% dark chocolate	hazelnut	70% dark chocolate	hazelnut	1	2474	0.5486889094831563	0.029411764705882353	1.0	1	34	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c834b371330cda5c6259ee858520a04f065b0823e03eba8b95784991f209fa02	expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	expression.observed.en.sha256_d1c6b4fdb58f45f7b3130bdc4010f1754631b30ec63a079a8aad9ae511492db0	a balanced acidity	a silky body and a mild sweetness	a balanced acidity	a silky body and a mild sweetness	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.29d8720608554b037865ddc400aeb86ff8336328f34cd3d86e50add1669f1d25	expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	expression.observed.en.sha256_540e0c6bdd02447b08b62b6083fbf7e5cb76df27e66500905b91aed4a70c37a0	a balanced acidity	aftertastes of malt and chocolate	a balanced acidity	aftertastes of malt and chocolate	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.32d8cedcb8690a672635503d1459f70f4f8b604f057a88a07f8ebaa95a7406aa	expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	expression.observed.en.sha256_4d16796248960a7b8accc54f59e7c3e1b843278677722530ccfd1b704e792130	a balanced acidity	flavors of dried fruit and spice	a balanced acidity	flavors of dried fruit and spice	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.3b38562140a2c3d71edcb2fa8cffbe715ac38e71125bf9a357d7f7d514bb6f40	expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	expression.observed.en.sha256_c89cd66d2bbcab09b5bd400d2ca01618668dd985c8d62d869fa5fd8f0f6db88c	a balanced acidity	lemon aromas	a balanced acidity	lemon aromas	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.c52f11efe7fc2c13b6e64fc74e5774e22ebf6dfc544bcefc414b8cc33b85508b	expression.observed.en.sha256_c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	expression.observed.en.sha256_e676c67ba14337a056b0f1250eaf6618841ca4db01e2febefec852c274c2d15e	a beautiful bright acidity	creamy body	a beautiful bright acidity	creamy body	1	2474	0.8593972718918244	0.3333333333333333	1.0	1	3	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.9a72d0e10379c62aaad440dd2a949aeaac34fa7e3a431a68b7f50eb11e4ba8c1	expression.observed.en.sha256_c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	expression.observed.en.sha256_2cad78dfafbda4526b5ef12b5e7fb65ee189d6cfe0cd1a01eb59ff375a0f6bd4	a beautiful bright acidity	floral and tangerine notes	a beautiful bright acidity	floral and tangerine notes	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.f2fbd8b13aa8e7cf0b8af8dad17c18094ce5f2627e860dc46ec7d68c86e7d5fd	expression.observed.en.sha256_c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	expression.observed.en.sha256_7430fe1fb907edff075f5bf761ebd17c01e00bbefd82dd4ae186d3c9230ca172	a beautiful bright acidity	orange and plum aroma	a beautiful bright acidity	orange and plum aroma	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.df5e03c67095d3159ac8bb06d645734176a05f8cf69bfb584431560fe707e950	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	a bold body and a balanced sweetness	a mellow acidity	a bold body and a balanced sweetness	a mellow acidity	2	2474	1.0	1.0	1.0	2	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.049807e226cee07571ef2a6c41e556f8db2a59dca12c0339dd81af9c90f5a43c	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_6f5f19215f6f16e826b22ac2f8f7b43a6923a207ec7951660689cecf487e0931	a bold body and a balanced sweetness	aromas of brown sugar and walnut	a bold body and a balanced sweetness	aromas of brown sugar and walnut	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.307505ab1fcfec6615c0d239f9ece9d7f0e57c86b98d18d7a647ede4f7ccfef8	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_415d7c63bd667ef0aacbf9a1f8f3824a4ce7f9753f8182ece66aa46e41cf33e3	a bold body and a balanced sweetness	aromas of walnut	a bold body and a balanced sweetness	aromas of walnut	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.b0aaf446931a23863291142eb63a06446b1f24cc8ca8cc7bbbb85897cc0d7206	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_0e8b5e8193457fcea90efd2e7b69c3834affcdc3b6e116cc896edda1ef871806	a bold body and a balanced sweetness	cedar and walnut aftertastes	a bold body and a balanced sweetness	cedar and walnut aftertastes	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.513c3ac18ecd8809cf7959ac097babc1bbaaf92a441b36a2d143c1e14331117b	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_a2d2c8be1ac1d82472d45c9d0c5a05642743bcdb4198042dd3487173f88146a4	a bold body and a balanced sweetness	chocolate and spice flavors	a bold body and a balanced sweetness	chocolate and spice flavors	2	2474	1.0	1.0	1.0	2	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.99c380ca24f15c34efab2cab6ced5069a9d11a7ee4be087374962e25efcd5cb5	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_fbe22aba40763f73e9e784756c258a64a097c59ba76c7263ea21390e6e5e4c89	a bold body and a balanced sweetness	spice and cedar aftertastes	a bold body and a balanced sweetness	spice and cedar aftertastes	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.8576bbbf95ba2d2e96e6159f90f26d540c3c675f154a07ee31fd777595fd1bf5	expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	expression.observed.en.sha256_c27bb1c0a9fc09cbbaf75df6f7f300a3c7a983a96f847d83f9585e1b90f1df9d	a bold body and a light sweetness	a muted acidity	a bold body and a light sweetness	a muted acidity	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5d42c389408040e037806098f6d7431bd04f576ab82a8e5440f3782662eb321b	expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	expression.observed.en.sha256_135565cf83898502d3875a062e7ed5238c2476fd6e2431aca09f1eb72240cb0c	a bold body and a light sweetness	aromas of dried fruit and cherry	a bold body and a light sweetness	aromas of dried fruit and cherry	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.11e6d06755f69e7706e2403e49f47ab714d91fb3746b75542c53a7f69da30ea5	expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	expression.observed.en.sha256_ca69fd90ba95db0d7a33c89cd313397b2594e051d5e339e73d725a0a3d399307	a bold body and a light sweetness	cedar and clove aftertastes	a bold body and a light sweetness	cedar and clove aftertastes	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.20cf060c4d9b1184231d594b88fc4932bace538beb924d64463878e562ec63c4	expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	expression.observed.en.sha256_00111bc4ab7942585f4da1c5cd7b9d6702b0d8ee30167bd7396db77a436d2521	a bold body and a light sweetness	flavors of dark chocolate	a bold body and a light sweetness	flavors of dark chocolate	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.a2c66e07a5867b6982a11298e4c8035d4523812a8cffe74834ecbc5d02309737	expression.observed.en.sha256_14585b6061dcb4e34c75239ff7d405a7db893cfb346efae76c34815669b00cf4	expression.observed.en.sha256_eab9d253a7e558d5127fbf4c137647d90ebda43d21d2c2342f9930b70d4fd59e	a chocolatey base	stacked with notes of blackberry	a chocolatey base	stacked with notes of blackberry	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.0ac3c88a6aafa064601ff616327597d7d30a755d41c5de00cf03fa5fc1cdf055	expression.observed.en.sha256_0af6066bbbdcecb90e0f669f83f296edb26cfa7be904fd1e61e9001cabc631d9	expression.observed.en.sha256_694a62c9b134d56cb2917cc5af3f6a3c8c48fa99380839332ce95142667654b7	a complex cup with notes of chocolate	charred oak	a complex cup with notes of chocolate	charred oak	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.5d98849250e0851fbf189781266afe68cb0f3d06771aa384b1c922ab5ef9d453	expression.observed.en.sha256_0af6066bbbdcecb90e0f669f83f296edb26cfa7be904fd1e61e9001cabc631d9	expression.observed.en.sha256_6c78fd0c5b4d1f0c8e56865b4fad2a4fd3ee76d8249777b4092787f5005c8aab	a complex cup with notes of chocolate	oak tannins	a complex cup with notes of chocolate	oak tannins	1	2474	0.911289555403234	0.5	1.0	1	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.f5bef02e3d8188a0f2d5a024b08ffefa1bb9abccaee840e54778e1134151141b	expression.observed.en.sha256_381ba76dfe15e8bb13c188a3b8e454c6fe9d7fe1a130749f758db2a9e8aff8d1	expression.observed.en.sha256_958cfcee77e8755c53a786a8911105e5740770d6c0d8eff6ce679d2c9d59183c	a creamy coffee	with notes of marzipan	a creamy coffee	with notes of marzipan	1	2474	1.0	1.0	1.0	1	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.60928aa9ef290de2da1ca11ca21e5f092bc0b74aabb7498afd0974bfb7a798b3	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_6f5f19215f6f16e826b22ac2f8f7b43a6923a207ec7951660689cecf487e0931	a mellow acidity	aromas of brown sugar and walnut	a mellow acidity	aromas of brown sugar and walnut	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.f6e92cbdaa42bbb7cdf21827ec9fa9824a4bc1995c5fa6000df5ccbd1f929251	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_415d7c63bd667ef0aacbf9a1f8f3824a4ce7f9753f8182ece66aa46e41cf33e3	a mellow acidity	aromas of walnut	a mellow acidity	aromas of walnut	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.3edb231c86d1ce068066a0c62e87b19ca92611af5af0e1796ecc40df412cef65	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_0e8b5e8193457fcea90efd2e7b69c3834affcdc3b6e116cc896edda1ef871806	a mellow acidity	cedar and walnut aftertastes	a mellow acidity	cedar and walnut aftertastes	1	2474	0.911289555403234	1.0	0.5	2	1	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
cooccurrence.firstbloom-a6cb002-pilot-v1.265765a848076b203ef05bdd4cb18736ed035ca304c29add87debe3e035e8055	expression.observed.en.sha256_16fb987ed71e314a5e919c0dc253739d72415413d7274de84a4d45787af889ac	expression.observed.en.sha256_a2d2c8be1ac1d82472d45c9d0c5a05642743bcdb4198042dd3487173f88146a4	a mellow acidity	chocolate and spice flavors	a mellow acidity	chocolate and spice flavors	2	2474	1.0	1.0	1.0	2	2	Document-level co-occurrence and NPMI over retained normalized expressions; not perceptual similarity.
