observation_key	document_key	ordinal	observation_text	raw_phrase_sha256	unicode_character_count	source_character_start	source_character_end	retained	exclusion_reason	basic_normalized_text	normalized_text	expression_key
observation.firstbloom.release_4119.001	document.firstbloom.release_4119	1	Raisin	f8c7eb1abbebeaee7f20c7d8e8c4998ead39b330684102e0c29ad427274f026e	6	0	6	true		raisin	raisin	expression.observed.en.sha256_9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773
observation.firstbloom.release_4119.002	document.firstbloom.release_4119	2	Honeydew Melon and Floral	0ef0020a43d89481f3b7ed26870181521035385d05eab3aac36e151bc54822b2	25	8	33	true		honeydew melon and floral	honeydew melon and floral	expression.observed.en.sha256_5fcda69d12809e7bfe92151d310cddc0adfa682d9e10dfd0203cbacc4c75c6ac
observation.firstbloom.release_698.001	document.firstbloom.release_698	1	Pink grapefruit	6981eb9fe0d318c2a4dd85c89467efc9d05a78204984bbade12522120456c91a	15	0	15	true		pink grapefruit	pink grapefruit	expression.observed.en.sha256_bf3ee326facd455d7984a7b7b34e04f24335f0088063126c59685865085cca88
observation.firstbloom.release_698.002	document.firstbloom.release_698	2	melon and jasmine	31f3846047651d16594e91d43b3a5ef74db9f050c5b81b3279e74cee0d512a71	17	17	34	true		melon and jasmine	melon and jasmine	expression.observed.en.sha256_31f3846047651d16594e91d43b3a5ef74db9f050c5b81b3279e74cee0d512a71
observation.firstbloom.release_4169.001	document.firstbloom.release_4169	1	Black tea	ff49ce9a7851305fc5c537a3e2d798b6f0fea887f040042fd779d67d8638c6e5	9	0	9	true		black tea	black tea	expression.observed.en.sha256_099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed
observation.firstbloom.release_4169.002	document.firstbloom.release_4169	2	lemon grass	8d276e5af51d84afa71264b62d5385ddf21f1dc71348a5d3596f0989427021d8	11	11	22	true		lemon grass	lemon grass	expression.observed.en.sha256_8d276e5af51d84afa71264b62d5385ddf21f1dc71348a5d3596f0989427021d8
observation.firstbloom.release_4169.003	document.firstbloom.release_4169	3	wood	99f7855eb789dfecf9ea66df3221a743f4ab8be59ae6b9c503499c1940a90fd5	4	24	28	true		wood	wood	expression.observed.en.sha256_99f7855eb789dfecf9ea66df3221a743f4ab8be59ae6b9c503499c1940a90fd5
observation.firstbloom.release_435.001	document.firstbloom.release_435	1	Low acidity	3af3249ab10d8238f394f11b8016ce5b98d29aacb252f44aa81b1219f1e82c5e	11	0	11	true		low acidity	low acidity	expression.observed.en.sha256_44c0e33469d3f44dbb1bdde714e3b6658f297e438d85e35c091828d1ce4beb01
observation.firstbloom.release_435.002	document.firstbloom.release_435	2	bitter chocolate	97cb3863cc9ec33e35184532e59f8bb57c0506506757e3395cba1e5ab8b0c72a	16	13	29	true		bitter chocolate	bitter chocolate	expression.observed.en.sha256_97cb3863cc9ec33e35184532e59f8bb57c0506506757e3395cba1e5ab8b0c72a
observation.firstbloom.release_435.003	document.firstbloom.release_435	3	molasses	abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4	8	31	39	true		molasses	molasses	expression.observed.en.sha256_abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4
observation.firstbloom.release_4083.001	document.firstbloom.release_4083	1	Pear	bf70552eb765992c6222a8c28b69f8ae8750bbcd0ee4afed34f0ca6db091d1d0	4	0	4	true		pear	pear	expression.observed.en.sha256_97cfbe87531abe0c6bac7b21d616cb422faaa158a9f2ae7e8685c79eb85fc65e
observation.firstbloom.release_4083.002	document.firstbloom.release_4083	2	red apple	510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	9	6	15	true		red apple	red apple	expression.observed.en.sha256_510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b
observation.firstbloom.release_4083.003	document.firstbloom.release_4083	3	honey	a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	5	17	22	true		honey	honey	expression.observed.en.sha256_a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6
observation.firstbloom.release_3310.001	document.firstbloom.release_3310	1	Vanilla	05dcae2b47ae8627c7efc7039efad0130b750e598ada60408ca22bebd74d1e1f	7	0	7	true		vanilla	vanilla	expression.observed.en.sha256_5296c024e03e439ba3d72c8e432d4f890b3cd0d2c36d67d428aa1e401e675b69
observation.firstbloom.release_3310.002	document.firstbloom.release_3310	2	toffee	d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2	6	9	15	true		toffee	toffee	expression.observed.en.sha256_d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2
observation.firstbloom.release_3310.003	document.firstbloom.release_3310	3	lactose	818862e3963c69d580c4de40fba2f173858e72a4bad939e39e587e0144c8f8df	7	17	24	true		lactose	lactose	expression.observed.en.sha256_818862e3963c69d580c4de40fba2f173858e72a4bad939e39e587e0144c8f8df
observation.firstbloom.release_4738.001	document.firstbloom.release_4738	1	Red currant	660908d263ba1fb0ee68067484a6b5c4eefd1884086b29a18b6184962fb6075b	11	0	11	true		red currant	red currant	expression.observed.en.sha256_1bd3f74eb7f20d686c9c25a9e4d924b97c9a3e6ad251838b2f305d6a942cc7ed
observation.firstbloom.release_4738.002	document.firstbloom.release_4738	2	watermelon	31a2d5282683edb3a22c565f199aa96fb9ffb3107af35aad92ee1cd567cfc25d	10	13	23	true		watermelon	watermelon	expression.observed.en.sha256_31a2d5282683edb3a22c565f199aa96fb9ffb3107af35aad92ee1cd567cfc25d
observation.firstbloom.release_4738.003	document.firstbloom.release_4738	3		acaa1f6209492436160e8c89a31cba5d6d0177c3ed45801f41f9959f23cd0349	6	25	31	false	structural_gate_sentence_punctuation			
observation.firstbloom.release_4139.001	document.firstbloom.release_4139	1	Dark sugars	4ec10ba3cd04651e13c2f66c698b4cbcf4472373df10c00224f93da8b0d143a5	11	0	11	true		dark sugars	dark sugars	expression.observed.en.sha256_d523ae8882e68ccd67a9fc0763c34bfb955bf5abe73f33bd1f8799200a6eee17
