product_key	document_key	publisher_key	source_policy_key	batch_key	external_product_key	external_release_key	product_name	listing_date	roast_date	captured_at	canonical_url	content_sha256	raw_text_sha256	metadata_composite_sha256	selection_sha256	batch_number	raw_observation_count	retained_observation_count	redacted_observation_count	coffee_origin_country_codes	coffee_regions	producer_names	farm_names	variety_names	process_names	metadata
product.firstbloom.1121	document.firstbloom.release_4119	publisher.firstbloom.1	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	1121	4119	Rukira	2020-01-23		2026-08-24T00:00:00+00:00		c66badda21e525632d1beb312de4f77839e03fa65367c3de3441966789586f75	c66badda21e525632d1beb312de4f77839e03fa65367c3de3441966789586f75	36749c0bdfac1fa92dc8d46e4f4a64c5db6d933309f8ddba7fc1cf7bd1351a5f	00886e42d94b0111f16ebd4f975f2ffb07682fafa8d334e1866be7d421b3bd29	1	2	2	0	"[""KE""]"	[]	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""SL28""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Kenya""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2019-02-13 17:39:13.336"",""source_relation_row_count"":1,""source_release_created_at"":""2020-01-23 23:38:40.661""}"
product.firstbloom.687	document.firstbloom.release_698	publisher.firstbloom.2	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	687	698	Aleta Wondo	2018-11-10		2026-08-24T00:00:00+00:00		4aa168ed4f76ba8ec3c77c7c27d8485ec2230410bcb3af1b97117bc70c7b98c7	4aa168ed4f76ba8ec3c77c7c27d8485ec2230410bcb3af1b97117bc70c7b98c7	f603ca3853ee2cdf62eb10c1552b8058bfef1875f7ccca3740fe5c82cb3f30c7	07534671216f6babee5f809f11fb949c4a23219696219bb5921bacc6d2351d4c	1	2	2	0	"[""ET""]"	"[""Sidamo""]"	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""Regional Landraces/Heirloom""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2018-11-10 17:17:04.525"",""source_relation_row_count"":1,""source_release_created_at"":""2018-11-10 17:17:05.128""}"
product.firstbloom.3866	document.firstbloom.release_4169	publisher.firstbloom.3	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	3866	4169	Pt Toarco Jaya	2020-04-07		2026-08-24T00:00:00+00:00		8de139917e89cd54a2c932f42565b8d214f4ef8f9b304375b1495bc5299dfe9f	8de139917e89cd54a2c932f42565b8d214f4ef8f9b304375b1495bc5299dfe9f	480f175a9d6972e9e5b876e11c5a805713bc485158b5ce990d7c60065c98fb21	09b8c10e2e3f6b0516bf0a7ce71700fc10471caf6ecfb9efeecaf00e648e7aa7	1	3	3	0	"[""ID""]"	[]	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""S795""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Indonesia""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2020-04-07 01:41:49.105"",""source_relation_row_count"":1,""source_release_created_at"":""2020-04-07 01:41:49.704""}"
product.firstbloom.433	document.firstbloom.release_435	publisher.firstbloom.4	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	433	435	Blue Sky Espresso	2018-10-07		2026-08-24T00:00:00+00:00		b12a31b6e29e251119a481b6b4fb8d8cb1d290bfd593fcf660b7c5642f96a2c0	b12a31b6e29e251119a481b6b4fb8d8cb1d290bfd593fcf660b7c5642f96a2c0	f841d63196eeae02825b2e469da47b9303f5cd55b665e73a7210b3d9530ee1be	016fb990005769bf249d32ec69c000c68d3c1de71110fab314ba11ef3990d803	1	3	3	0	"[""NTA""]"	[]	[]	[]	[]	[]	"{""cleaning_process_names"":[],""coffee_origin_country_names"":[""Not Available""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2018-10-07 03:19:18.684"",""source_relation_row_count"":1,""source_release_created_at"":""2018-10-07 03:19:19.498""}"
product.firstbloom.3787	document.firstbloom.release_4083	publisher.firstbloom.5	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	3787	4083	Gahahe Honey	2020-01-17		2026-08-24T00:00:00+00:00		9ae8e7906494a91d61897dd551b1b8503820bd45c3eaa0badfa3b973d07e4335	9ae8e7906494a91d61897dd551b1b8503820bd45c3eaa0badfa3b973d07e4335	584cfc323978bd50364abcb5b4d69b331dcd745d1d6ebe78148a54cd9023d711	0e0014a8ea5a30b55fcbf575a8b50d806250110b0403c608f0be81eab7af250d	1	3	3	0	"[""BI""]"	[]	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""Red Bourbon""]"	"[""Honey""]"	"{""cleaning_process_names"":[""Honey""],""coffee_origin_country_names"":[""Burundi""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2020-01-17 20:37:59.246"",""source_relation_row_count"":1,""source_release_created_at"":""2020-01-17 20:37:59.696""}"
product.firstbloom.3095	document.firstbloom.release_3310	publisher.firstbloom.8	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	3095	3310	El Oasis	2019-11-15		2026-08-24T00:00:00+00:00		cdcdf4e5984e6e0ef1e62f925d406945512ccd5413f6600539a98613269790a7	cdcdf4e5984e6e0ef1e62f925d406945512ccd5413f6600539a98613269790a7	f42b45d4e70592835c2e6aa242f3b5ba0217d3d995ff8c3194ebcd3a5c700a1e	1f4aff4c1f8b130fb0b42fb3679403418a7449ef5332611d2b737d383387bd93	1	3	3	0	"[""CO""]"	[]	"[""Luis Enrique Polania""]"	"[""El Oasis""]"	"[""Castillo""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Colombia""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""El Oasis""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2019-11-15 21:12:11.580"",""source_relation_row_count"":1,""source_release_created_at"":""2019-11-15 21:12:12.089""}"
product.firstbloom.4345	document.firstbloom.release_4738	publisher.firstbloom.10	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	4345	4738	Suke Uraga	2020-12-03		2026-08-24T00:00:00+00:00		d2bba3afb865a2a9e83aabb471755226517bd60fd4f8985959d99ef04e5c3818	d2bba3afb865a2a9e83aabb471755226517bd60fd4f8985959d99ef04e5c3818	0f4eec73f22a3c774ad16d8e8691346bc52db09d0c92e5a4e8b1837eef9b54b8	08774a1110c24796920765a03703a1101ffbfd4040112c7b9f9ad83f40abaee0	1	3	2	1	"[""ET""]"	"[""Guji""]"	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""Wolisho""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2020-12-03 20:33:43.942"",""source_relation_row_count"":1,""source_release_created_at"":""2020-12-03 20:33:44.322""}"
product.firstbloom.3838	document.firstbloom.release_4139	publisher.firstbloom.12	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	3838	4139	El Diablo Dark Roast	2020-03-06		2026-08-24T00:00:00+00:00		6354d66f8e4c52f62c8d818e47efa1297eb15650760d3e847e40197458c4744f	6354d66f8e4c52f62c8d818e47efa1297eb15650760d3e847e40197458c4744f	ffac0e5645bc938cd86329d7e5e696a6842702071f960e15e092c496981a32a6	300508eb6284c9fb09c4b8281336b2c296ab2a46b89e4710722a8ebc3f0ea1f1	1	3	3	0	"[""NTA""]"	[]	[]	[]	[]	[]	"{""cleaning_process_names"":[],""coffee_origin_country_names"":[""Not Available""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2020-03-06 15:18:34.195"",""source_relation_row_count"":1,""source_release_created_at"":""2020-03-06 15:18:34.529""}"
product.firstbloom.1946	document.firstbloom.release_2033	publisher.firstbloom.13	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	1946	2033	ASUVIM	2019-07-29		2026-08-24T00:00:00+00:00		1db860cf0f579ecabbae7c3a7d2a389f41fbe09fe2abc880987889608b577f94	1db860cf0f579ecabbae7c3a7d2a389f41fbe09fe2abc880987889608b577f94	b50db392775e9e13a6b2093cb0e005b1da8a98c3d144e26f592e836904ee4d6f	00fa3c5cf9ed50ddf377d309c12855b92bb601dc38e6eaeefbe7283959845cb7	1	3	3	0	"[""GT""]"	[]	"[""Various smallholder producers""]"	"[""Various smallholder farms""]"	"[""Pache"",""Typica""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Guatemala""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Various smallholder farms""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2019-07-29 01:42:53.363"",""source_relation_row_count"":2,""source_release_created_at"":""2019-07-29 01:42:54.232""}"
product.firstbloom.699	document.firstbloom.release_3431	publisher.firstbloom.14	source_policy.firstbloom.a6cb002.derived_terms	batch.firstbloom_a6cb002_pilot_v1.1	699	3431	Girma Eshetu	2019-11-22		2026-08-24T00:00:00+00:00		86700900240e28321b955afbec5e71077b915e62097da696bec26e3f5cfee3e2	86700900240e28321b955afbec5e71077b915e62097da696bec26e3f5cfee3e2	5b89a31703235b13639a9450d5d5a1537a1f3d58a3c125b400a65850b53ebba0	012bc63b4d88ff70fe90d2b1ce4b4d0e09c342cee81a2748dfac25cb96add886	1	3	3	0	"[""ET""]"	"[""Keffa""]"	"[""Girma Eshetu""]"	"[""Girma Eshetu Estate""]"	"[""74110"",""74112""]"	"[""Wet/Washed""]"	"{""cleaning_process_names"":[""Wet/Washed""],""coffee_origin_country_names"":[""Ethiopia""],""complete_note_string_emitted"":false,""consumer_review_file_read"":false,""drying_process_names"":[],""farm_names"":[""Girma Eshetu Estate""],""raw_text_stored"":false,""roaster_description_emitted"":false,""source"":""Firstbloom Data"",""source_commit"":""a6cb0026d1af9642724793c799bbc48dc189ba35"",""source_product_created_at"":""2018-11-13 03:58:50.838"",""source_relation_row_count"":2,""source_release_created_at"":""2019-11-22 14:58:37.867""}"
