source_row_key	coffee_base	milk_alternative	preparation	roast_source_label	serving_mode	outcome	raw_value	parsed_value	normalized_value	normalization_rule	source_unit	participant_count	sample_evaluation_count	missingness_semantics
nguyen.consumer.01a	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	7.1 ± 1.2	7.1	7.1	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.01b	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	84%	84	0.84	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.02a	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	6.7 ± 1.4	6.7	6.7	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.02b	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	69%	69	0.69	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.03a	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	6.5 ± 1.5	6.5	6.5	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.03b	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	62%	62	0.62	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.04a	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	6.4 ± 1.7	6.4	6.4	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.04b	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	62%	62	0.62	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.05a	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.6 ± 1.7	5.6	5.6	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.05b	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	36%	36	0.36	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.06a	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.5 ± 1.8	5.5	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.06b	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	42%	42	0.42	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.07a	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.5 ± 1.7	5.5	5.5	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.07b	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	28%	28	0.28	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.08a	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.4 ± 1.9	5.4	5.4	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.08b	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	35%	35	0.35	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.09a	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.2 ± 1.9	5.2	5.2	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.09b	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	31%	31	0.31	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
nguyen.consumer.10a	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	overall_liking	5.0 ± 2.0	5.0	5.0	direct transcription from article Table 4	source 1-9 hedonic mean	100	100	NOT_APPLICABLE
nguyen.consumer.10b	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	top_two_box_purchase_intent	32%	32	0.32	source percentage divided by 100	proportion of source 4-5 responses on 5-point purchase scale	100	100	NOT_APPLICABLE
