source_row_key	aggregation_scope	consumer_group	milk_addition	outcome	raw_value	parsed_mean	parsed_sd	normalized_value	normalization_rule	source_unit	participant_count	sample_evaluation_count	missingness_semantics
gorman.001	all_consumers	all	milk	appearance_liking	6.9 ± 0.9	6.9	0.9	6.9	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.002	all_consumers	all	milk	flavour_liking	6.0 ± 1.0	6.0	1.0	6.0	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.003	all_consumers	all	milk	mouthfeel_liking	6.2 ± 1.0	6.2	1.0	6.2	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.004	all_consumers	all	milk	overall_liking	6.0 ± 1.0	6.0	1.0	6.0	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.005	all_consumers	all	soy	appearance_liking	6.4 ± 1.1	6.4	1.1	6.4	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.006	all_consumers	all	soy	flavour_liking	5.5 ± 0.7	5.5	0.7	5.5	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.007	all_consumers	all	soy	mouthfeel_liking	5.6 ± 1.0	5.6	1.0	5.6	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.008	all_consumers	all	soy	overall_liking	5.3 ± 0.9	5.3	0.9	5.3	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.009	all_consumers	all	almond	appearance_liking	6.2 ± 0.8	6.2	0.8	6.2	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.010	all_consumers	all	almond	flavour_liking	5.7 ± 0.8	5.7	0.8	5.7	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.011	all_consumers	all	almond	mouthfeel_liking	5.8 ± 0.9	5.8	0.9	5.8	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.012	all_consumers	all	almond	overall_liking	5.7 ± 0.7	5.7	0.7	5.7	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.013	all_consumers	all	oat	appearance_liking	6.1 ± 1.0	6.1	1.0	6.1	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
gorman.014	all_consumers	all	oat	flavour_liking	5.1 ± 0.9	5.1	0.9	5.1	direct transcription from article Table 3	source 1-9 hedonic mean	116	116	NOT_APPLICABLE
