source_row_key	coffee_base	milk_alternative	preparation	roast_source_label	serving_mode	sensory_attribute	raw_value	parsed_mean	parsed_sd	normalized_value	normalization_rule	source_unit	panel_count	replication_count	missingness_semantics
nguyen.sensory.001	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.18±0.60	6.18	0.60	6.18	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.002	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.36±0.59	6.36	0.59	6.36	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.003	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.11±0.11	6.11	0.11	6.11	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.004	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.40±0.03	6.40	0.03	6.40	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.005	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.57±0.30	6.57	0.30	6.57	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.006	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.25±0.12	6.25	0.12	6.25	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.007	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.44±0.16	6.44	0.16	6.44	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.008	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.24±0.18	6.24	0.18	6.24	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.009	arabica	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.33±0.31	6.33	0.31	6.33	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.010	arabica_robusta_70_30	white_sesame	espresso_with_pbma	medium_source_reported	chilled_sweetened	coffee_id	6.19±0.20	6.19	0.20	6.19	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.011	arabica	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	4.44±0.55	4.44	0.55	4.44	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.012	arabica_robusta_70_30	riceberry	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	4.50±0.39	4.50	0.39	4.50	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.013	arabica	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	3.89±0.31	3.89	0.31	3.89	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.014	arabica	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	4.03±0.12	4.03	0.12	4.03	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.015	arabica	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	4.03±0.35	4.03	0.35	4.03	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.016	arabica_robusta_70_30	almond	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	3.80±0.20	3.80	0.20	3.80	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.017	arabica_robusta_70_30	pistachio	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	4.21±0.49	4.21	0.49	4.21	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
nguyen.sensory.018	arabica_robusta_70_30	macadamia	espresso_with_pbma	medium_source_reported	chilled_sweetened	roasted	3.75±0.35	3.75	0.35	3.75	direct transcription from article Table 3	source 0-15 descriptive intensity mean	9	2	NOT_APPLICABLE
