evidence_id	kind	claim	actual_evidence	limitation	decision
C01	CANDIDATE	A0+MAP_BASE+I2_LIVE, no fit	211 original development records/187groups; TRAIN B coverage79records/77groups; 52fine generation versus56evaluation	Not B2 or R6ridge head; independent full-package effect unmeasured	PRIORITY_CONFIRMATION_CANDIDATE
R6_REPLAY	SOFTWARE_PARITY	Packaging preserves C00/C01 history	158 actual trajectory replays; questions, complete ranks, T and costs exact	Old outer experts; not performance of full-development package	PASS
COVERAGE_CHANNEL	OLD_DEVELOPMENT_DIAGNOSTIC	Patched TRAIN B coverage can change finite option content	11whole-exposure changes;3canonical selection changes; one evaluable regression; mean gap delta+0.013157894736842105 vsC01	One development case drives loss; not independent population evidence	DO_NOT_GENERALIZE
OBSERVATION_CHANNEL	OLD_DEVELOPMENT_DIAGNOSTIC	Patched source interpretation changes revealed support	26canonical selection changes; mean gap delta+0.004678362573099416 vsC01	Offline parser change is not real-user answer change	RETAIN_FULL_RESULTS
FIXED_EXPOSURE	MECHANISM_INTERVENTION	Freeze C01 complete actual question/options, replay patched source answers	26canonical selection changes; one improvement/one regression; mean gap delta+0.0020467836257309947	Not deployable acquisition policy; channel deltas not additive causal decomposition	MECHANISM_ONLY
EXPLICIT_SUPPORT	SUPPORT_AUDIT	No available selected fine descriptor lost from main5 in the three diagnoses	Direct retention1.0; source-supported words compete with inferred independent-T matches	T nonmention is not absence; do not remove correct explicit evidence to improve T score	PRESERVE
FIXED_T	POSTHOC_MEASUREMENT_AUDIT	Check new source/selected concepts against raw independent T spans	0 verified fine mapping-loss cases using existing reviewed whole-span rules; T unchanged	Not proof of complete semantic coverage or interpersonal disagreement	NO_TARGET_REWRITE
OUTPUT_PANEL	EVALUATION_SCOPE	Fine5 research metric differs from mixed main5 and final8	Each historical C00/C01:78of79 main panels differ;39of79 include fine-scored candidates outside final8	No inference from old gap0.46251 to live main/final exposure alignment	REPORT_BOUNDARY
BODY_TEA_SCOPE	SOURCE_ROLE_REVIEW	Body(description) tea does not establish green/vegetative flavour support	Original workbook distinct Body column; SCA tactile-body methodology: https://sca.coffee/sca-news/25-magazine/issue-5/modulating-perception-25-magazine-issue-5-dxzar ; Zenodo https://zenodo.org/records/20840464 ; 13 records/14 source traces scoped; 3 ranking changes; 0 main/fine5 set changes; 59 evaluable ties;20 empty T; gap0.48180520746310224	Actual tea meaning unresolved; root class3 interpretation concerns unsupported cross-measurement support, not mistranslation or trained scoring bug	ONE_SCOPE_CORRECTION_VERIFIED; GAP_UNCHANGED_VS_C11
NEW_CONFIRMATION	ACQUISITION	New cohort must pass identity/rights/observation-role and previous-use checks before fixed comparison	14 source routes retained; four original-file schemas parsed; 0 admitted new groups; fixed C00/C01 delta not estimable	No new scores or fit inferred from downloaded aggregate tables	NEW_CONFIRMATION_NOT_AVAILABLE
LOCAL_REPORTING_CORRECTION	SOFTWARE_REPORTING	Preserve original A for legacy R4 exclusion	Initial value0.5135294998502546 used a changed exclusion reference; sealed-output correction restores0.5110137765798143; no new policy runs or fits	Original invalid report retained with hashes; all primary metrics unchanged	CORRECTED_FIXED_REFERENCE; NOT_SCIENTIFIC_REVERSAL
EXPOSITION_SINGLE_MATERIAL	SOURCE_ADMISSION	TYPED_ONLY	https://cran.r-project.org/src/contrib/ExPosition_2.11.0.tar.gz ; Actual 1 coffee, 4 conditions, 10 participants, 200 recorded attribute cells; not multicoffee or fixed fine-mention targets.	GPL-2 package ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
YUNNAN_AGGREGATE_M	SOURCE_ADMISSION	TYPED_ONLY	https://doi.org/10.1016/j.crfs.2022.07.010 ; Actual 25 named products by 57 source-filtered aggregate M columns, no original grader observations; no independent A/B/T.	CC-BY-NC-ND-4.0 ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
NOVAK_REPOSITORY_CASE_EXAMPLES	SOURCE_ADMISSION	NO_VERIFIABLE_ORIGINAL_OBSERVATIONS	https://doi.org/10.5281/zenodo.17178120 ; Actual only 14-page framework PDF with illustrative A/B/C case tables; original coffee/panel/collection identities not documented. Dataset metadata label does not establish observations.	CC-BY-4.0 repository ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
MATAS_MINAS_19928981	SOURCE_ADMISSION	NO_ORIGINAL_PANEL_MATRIX	https://api.figshare.com/v2/articles/19928981 ; Actual deposit inventory has two JPG files, no original coffee-by-grader table. No image digitization or invented people.	CC-BY-4.0 metadata ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
ELECTROCHEMICAL_APPRAISAL_30811541	SOURCE_ADMISSION	CHEMISTRY_ONLY_NOT_SENSORY_CONFIRMATION	https://api.figshare.com/v2/articles/30811541 ; Actual file inventory describes electrochemical figures and chemistry workbooks, not independent human A/B/T. No chemical quality prediction branch added.	CC-BY-4.0 ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
FRUIT_INFUSION_30946856	SOURCE_ADMISSION	NO_FILES_IN_ACTUAL_DEPOSIT	https://api.figshare.com/v2/articles/30946856 ; Actual thesis metadata contains no downloadable data files or original rows.	CC-BY-4.0 metadata ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
AUSTRALIA_CROP_TO_CUP	SOURCE_ADMISSION	NO_ORIGINAL_MATRIX_OR_CONFIRMED_DATA_RIGHTS	https://doi.org/10.25918/thesis.535 ; Metadata describes multiple varieties but actual landing response is an application shell; no original grading matrix obtained. Thesis sample counts are not acquired observations.	Open access plus author copyright; dataset reuse not established ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
ONLINE_CONSUMER_2024	SOURCE_ADMISSION	DATA_ON_REQUEST_NOT_ACQUIRED	https://doi.org/10.1016/j.foodres.2024.114349 ; Published data-availability statement says on request; four coffee RATA products are study counts, not obtained participant observations. No request sent.	Article rights do not supply withheld response data ; 0 admitted confirmation groups	NO_FIXED_C00_C01_CONFIRMATION
