claim_id	public_claim	claim_category	allowed_surface	evidence_path	evidence_sha_or_version	status	qualification	last_reviewed_at
PRODUCT_INTERACTION_CONTRACT	One mandatory question, up to four additional questions, five primary and three secondary references	PRODUCT	README|PORTFOLIO|APP	docs/product/PRODUCT_CONTRACT_V0.md	PRODUCT_CONTRACT_V0	IMPLEMENTED	Interaction contract; adaptive policy and ranked result are not calibrated	2026-08-29
DATABASE_CANONICAL_CONCEPTS	130 canonical concepts	DATABASE	README|PORTFOLIO|PROJECT_STATUS|APP	db/data/freeze/coffee-sensory-research-db-v0/FREEZE_MANIFEST.json	coffee-sensory-research-db-v0.1.0	VALIDATED	Frozen canonical knowledge inventory	2026-08-29
DATABASE_ACTIVE_SENSORY	92 active sensory attributes	DATABASE	README|PORTFOLIO|PROJECT_STATUS|APP	db/data/freeze/coffee-sensory-research-db-v0/FREEZE_MANIFEST.json	coffee-sensory-research-db-v0.1.0	VALIDATED	Active canonical sensory concepts only	2026-08-29
DATABASE_MIGRATIONS	60 forward migrations	DATABASE	README|PORTFOLIO|PROJECT_STATUS|APP	docs/audits/coffee-sensory-kb-v0-round3m/00_EXECUTIVE_RECEIPT.md	13b56d2c1d4beec3754ce53edec8954d4e034bce	VALIDATED	Migration file count at Round 3M source SHA	2026-08-29
ACQUISITION_ARTIFACTS	848 acquired artifacts	CORPUS	README|PORTFOLIO|PROJECT_STATUS	db/data/round3m/BASELINE_RECONCILIATION.json	round3m-baseline-v1	VALIDATED	Acquisition scale; not labels or model-ready records	2026-08-29
ACQUISITION_STAGED_ROWS	26515 staged publication rows	CORPUS	README|PORTFOLIO|PROJECT_STATUS	db/data/round3m/BASELINE_RECONCILIATION.json	round3m-baseline-v1	VALIDATED	Publication-row universe; not coffees or labels	2026-08-29
PILOT_ADMITTED_ASSERTIONS	140 admitted hash-only descriptor assertions	CORPUS	README|PORTFOLIO|PROJECT_STATUS|APP	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	VALIDATED	Public-safe pilot; admitted does not mean reviewed	2026-08-29
PILOT_DEINFLATED_ASSERTIONS	139 de-inflated assertion observations	CORPUS	README|PORTFOLIO|PROJECT_STATUS	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	VALIDATED	Assertion-level duplicate loss applied	2026-08-29
PILOT_RECORD_UNIQUE	137 record-level unique descriptor observations	CORPUS	README|PORTFOLIO|PROJECT_STATUS	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	VALIDATED	Record-level unique observation universe	2026-08-29
PILOT_PAIR_EVENTS	508 within-record P2 co-assertion events	CORPUS	README|PORTFOLIO|PROJECT_STATUS	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	VALIDATED	Pair events are not independent coffee records	2026-08-29
REVIEWED_PROFESSIONAL_ASSERTIONS	0 reviewed P1/P2 strict assertions	CORPUS	README|PORTFOLIO|PROJECT_STATUS|APP	docs/audits/coffee-sensory-kb-v0-round3m/00_EXECUTIVE_RECEIPT.md	13b56d2c1d4beec3754ce53edec8954d4e034bce	BLOCKED	Requires governed review/provenance chain	2026-08-29
HUMAN_CONFIRMED_ASSERTIONS	0 human-confirmed assertions	EVALUATION	README|PORTFOLIO|PROJECT_STATUS|APP	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	BLOCKED	No acquired qualified reviewer decision evidence	2026-08-29
MODEL_ELIGIBLE_ASSERTIONS	0 rights-cleared model-eligible assertions	RIGHTS	README|PORTFOLIO|PROJECT_STATUS|APP	db/data/round3m/LIVE_ASSERTION_IMPORT_RECEIPT.json	round3m-live-assertion-pilot-v1	BLOCKED	Public access does not imply model rights	2026-08-29
MODEL_RUN_COUNT	0 model runs	ML	README|PORTFOLIO|PROJECT_STATUS|APP	docs/portfolio/PUBLIC_STATUS_SOURCE.json	portfolio-status-source-v1	NOT_STARTED	No statistical embedding ranking neural or policy run	2026-08-29
CORPUS_SOURCE_ASSERTIONS	83,031 descriptor assertions in the 83K checkpoint, 77,637 valid; 88,819 output atoms, 71,521 unique per record	DATA	README	db/data/current/CLEANED_83K_MANIFEST.json	CLEANED_83K	VALIDATED	Checkpoint manifest counts; parser v2; assertions are descriptor mentions, not labels	2026-09-13
VECTOR_LIBRARY_COFFEES	9,128 effective coffee records, 8,142 usable vectors (at least two mapped mentions)	DATA	README	db/data/product-vector-v1/PRODUCT_VECTOR_V1_MEASUREMENT.json	product-vector-v1.measurement.v2	VALIDATED	Coverage block of the measurement receipt; 920 empty and 66 thin records excluded from vectors	2026-09-13
CONCEPT_PROJECTION	94 canonical concepts projected onto 12 flavor dimensions; CoffeeReview structure scores weighted 0.6	METHOD	README	db/data/product-vector-v1/CONCEPT_DIMENSION_PROJECTION_DRAFT.tsv	product-vector-v1	IMPLEMENTED	Operator draft projection; owner_reviewed=false until the owner's line-by-line review	2026-09-13
PROFILE_LIBRARY	16 reference profiles from deterministic k-means over the usable vectors, owner-named	METHOD	README	db/data/product-vector-v1/FLAVOR_PROFILE_LIBRARY.tsv	product-vector-v1	IMPLEMENTED	Member counts as in the library; names are the owner's two sensory references	2026-09-13
LITERATURE_CLAIMS_LIVE	6 live literature claims (WCR sensory lexicon 3, Coffee Ad Astra 3) and 5 pending re-verification	DATA	README	db/data/product-vector-v1/LITERATURE_SOURCES.json	product-vector-v1	VALIDATED	Registry states from ingest-external-literature.py; UC Davis claims held because the cited DOI does not resolve to a coffee paper	2026-09-13
GACTT_AGGREGATE	Great American Coffee Taste Test aggregate term frequencies, 4,042 respondents, counts only	DATA	README	db/data/product-vector-v1/GACTT_CONSUMER_TERM_FREQUENCY.tsv	product-vector-v1	VALIDATED	Consumer wording check only; no respondent text retained	2026-09-13
Q6_TRIGGER_RATE	34.2% of 18,432 enumerated answer sequences open the second round with default picks, 63.3% with drinker-side picks, 0% on the coherent path	METHOD	README	docs/product/Q6_TRIGGER_TEST_SET.md	R3-D23	VALIDATED	Enumeration of the full question bank across six contexts; pinned by tests/product-vector-v1-q6-trigger.test.ts	2026-09-13
QUERY_HORIZON_TEST	324 simulated drinkers, mean top-1 cosine 0.934 (minimum 0.779), 281 with all top-3 above 0.85, 270 distinct coffees in top-3 lists	METHOD	README	db/data/product-vector-v1/PRODUCT_VECTOR_V1_MEASUREMENT.json	product-vector-v1.measurement.v2	VALIDATED	Owner sufficiency criterion; cosine is uncalibrated and not a probability	2026-09-13
PWA_LIVE	Installable PWA live at flavorwords.com with manifest, PNG and maskable icons, service worker and offline shell	PRODUCT	README|PROJECT_STATUS	docs/deploy/VERCEL_DEPLOYMENT.md	R3-D23	IMPLEMENTED	Vercel production from main; add-to-home-screen paths for iOS Safari, Android and HarmonyOS	2026-09-13
USER_RESEARCH_INTERVIEW_ROUNDS	Two rounds of expert interviews and one offline cupping study in Guangzhou with about ten professional baristas and coffee researchers across Guangzhou, Shanghai and Hefei, June 2026	USER_RESEARCH	README|PORTFOLIO|PROJECT_STATUS|APP	docs/user-research/FIRST_PARTY_RESEARCH_RECEIPT.md	2026-09-13	OWNER_REPORTED	Owner-reported; raw notes offline; no quotes or per-person findings published; validates the domain (vocabulary, problem definition, product logic), not ordinary-consumer demand	2026-09-13
USER_RESEARCH_CUPPING_TESTS	Two rounds of product questionnaires (August–September 2026) and two pre-launch tasting tests in real drinking sessions across V60 pour-over, milk coffee and moka pot preparations	USER_RESEARCH	README|PORTFOLIO|PROJECT_STATUS|APP	docs/user-research/FIRST_PARTY_RESEARCH_RECEIPT.md	2026-09-13	OWNER_REPORTED	Owner-reported; responses offline; findings revised question wording, flavor-word selection, matching behaviour and result presentation; no in-app interaction data collected	2026-09-13
