brew_condition	tasting_row_count	mean_acidity_jar_1_to_5	citrus_selection_count	citrus_selection_prevalence
87-1.0-16	118	2.991525423729	18	0.152542372881
87-1.0-20	118	2.813559322034	18	0.152542372881
87-1.0-24	118	2.864406779661	28	0.237288135593
87-1.25-16	118	3.313559322034	28	0.237288135593
87-1.25-20	118	3.169491525424	18	0.152542372881
87-1.25-24	118	3.059322033898	15	0.127118644068
87-1.5-16	118	3.500000000000	29	0.245762711864
87-1.5-20	118	3.254237288136	25	0.211864406780
87-1.5-24	118	3.220338983051	16	0.135593220339
90-1.0-16	118	2.906779661017	16	0.135593220339
90-1.0-20	118	2.898305084746	19	0.161016949153
90-1.0-24	118	2.661016949153	11	0.093220338983
90-1.25-16	118	3.381355932203	28	0.237288135593
90-1.25-20	118	3.169491525424	23	0.194915254237
90-1.25-24	118	3.127118644068	15	0.127118644068
90-1.5-16	118	3.525423728814	35	0.296610169492
90-1.5-20	118	3.355932203390	22	0.186440677966
90-1.5-24	118	3.152542372881	18	0.152542372881
93-1.0-16	118	2.847457627119	20	0.169491525424
93-1.0-20	118	2.855932203390	17	0.144067796610
93-1.0-24	118	2.898305084746	9	0.076271186441
93-1.25-16	118	3.313559322034	27	0.228813559322
93-1.25-20	118	3.186440677966	25	0.211864406780
93-1.25-24	118	3.110169491525	16	0.135593220339
93-1.5-16	118	3.618644067797	38	0.322033898305
93-1.5-20	118	3.457627118644	25	0.211864406780
93-1.5-24	118	3.177966101695	18	0.152542372881
