dataset_snapshot_key	source_document_key	source_revision	source_date	geography	language	raw_text	raw_text_public_export_allowed	capture_method	c0_candidate	c1_source_local	black_milk	sensory_method	participant_type
wikidata.coffee-preparation-entities.20260825	Q1054566	2531664390	2026-08-15	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""stovetop espresso maker""}]},""labels"":{""en"":{""language"":""en"",""value"":""moka pot""},""zh"":{""language"":""zh"",""value"":""摩卡壶""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh"",""value"":""摩卡壶""},""zh-hans"":{""language"":""zh-hans"",""source-language"":""zh"",""value"":""摩卡壶""}}}"	true	Wikidata Action API wbgetentities	stovetop_boiled	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q1147545	2523841711	2026-07-28	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""coffee press""},{""language"":""en"",""value"":""coffee plunger""},{""language"":""en"",""value"":""сafetière à piston""}]},""labels"":{""en"":{""language"":""en"",""value"":""French press pot""},""zh"":{""language"":""zh"",""value"":""法式濾壓壺""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""法式滤压壶""},""zh-hans"":{""language"":""zh-hans"",""value"":""法式滤压壶""}}}"	true	Wikidata Action API wbgetentities	immersion	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q1152551	2485418596	2026-04-28	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""Caffe Americano""},{""language"":""en"",""value"":""cafe americano""},{""language"":""en"",""value"":""americano""}]},""labels"":{""en"":{""language"":""en"",""value"":""caffè americano""},""zh"":{""language"":""zh"",""value"":""美式咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""美式咖啡""},""zh-hans"":{""language"":""zh-hans"",""value"":""美式咖啡""}}}"	true	Wikidata Action API wbgetentities	diluted_espresso	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q1155703	2532217386	2026-08-17	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""brewed coffee""},{""language"":""en"",""value"":""drip brewed coffee""},{""language"":""en"",""value"":""filtered coffee""},{""language"":""en"",""value"":""pour-over coffee""},{""language"":""en"",""value"":""immersion brewed coffee""}]},""labels"":{""en"":{""language"":""en"",""value"":""drip coffee""},""zh"":{""language"":""zh"",""value"":""滴漏式咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh"",""value"":""滴漏式咖啡""},""zh-hans"":{""language"":""zh-hans"",""source-language"":""zh"",""value"":""滴漏式咖啡""}}}"	true	Wikidata Action API wbgetentities	filter_percolation	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q159774	2528113227	2026-08-06	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""Kapuziner""}],""zh"":[{""language"":""zh"",""value"":""卡布奇諾""},{""language"":""zh"",""value"":""卡布奇诺咖啡""},{""language"":""zh"",""value"":""意大利泡沫咖啡""},{""language"":""zh"",""value"":""泡沫咖啡""}]},""labels"":{""en"":{""language"":""en"",""value"":""cappuccino""},""zh"":{""language"":""zh"",""value"":""卡布奇诺""},""zh-cn"":{""language"":""zh-cn"",""value"":""卡布奇诺""},""zh-hans"":{""language"":""zh-hans"",""value"":""卡布奇诺""}}}"	true	Wikidata Action API wbgetentities	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q180289	2496886557	2026-05-24	global_collaborative_source	multilingual	"{""aliases"":{""zh"":[{""language"":""zh"",""value"":""義式咖啡""},{""language"":""zh"",""value"":""浓缩咖啡""},{""language"":""zh"",""value"":""特濃咖啡""},{""language"":""zh"",""value"":""意式浓缩咖啡""},{""language"":""zh"",""value"":""意式浓咖啡""},{""language"":""zh"",""value"":""意式浓缩""},{""language"":""zh"",""value"":""義式濃縮咖啡""}]},""labels"":{""en"":{""language"":""en"",""value"":""espresso""},""zh"":{""language"":""zh"",""value"":""濃縮咖啡""},""zh-cn"":{""language"":""zh-cn"",""value"":""浓缩咖啡""},""zh-hans"":{""language"":""zh-hans"",""value"":""浓缩咖啡""}}}"	true	Wikidata Action API wbgetentities	espresso_pressure	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q381188	2526674724	2026-08-03	global_collaborative_source	multilingual	"{""aliases"":{},""labels"":{""en"":{""language"":""en"",""value"":""AeroPress""},""zh"":{""language"":""zh"",""value"":""愛樂壓""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh"",""value"":""爱乐压""},""zh-hans"":{""language"":""zh-hans"",""source-language"":""zh"",""value"":""爱乐压""}}}"	true	Wikidata Action API wbgetentities	hybrid	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q43022	2517091554	2026-07-13	global_collaborative_source	multilingual	"{""aliases"":{""zh"":[{""language"":""zh"",""value"":""土耳其式咖啡""}]},""labels"":{""en"":{""language"":""en"",""value"":""Turkish coffee""},""zh"":{""language"":""zh"",""value"":""土耳其咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh"",""value"":""土耳其咖啡""},""zh-hans"":{""language"":""zh-hans"",""source-language"":""zh"",""value"":""土耳其咖啡""}}}"	true	Wikidata Action API wbgetentities	stovetop_boiled	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q5142444	2529245491	2026-08-09	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""cold press coffee""},{""language"":""en"",""value"":""Kyoto style cold brew""},{""language"":""en"",""value"":""Dutch coffee""},{""language"":""en"",""value"":""cold drip""}],""zh"":[{""language"":""zh"",""value"":""冰滴咖啡""}]},""labels"":{""en"":{""language"":""en"",""value"":""cold brew coffee""},""zh"":{""language"":""zh"",""value"":""冷泡咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""冷泡咖啡""},""zh-hans"":{""language"":""zh-hans"",""value"":""冷泡咖啡""}}}"	true	Wikidata Action API wbgetentities	cold_extraction	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q62449	2528827648	2026-08-08	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""Flat white""}]},""labels"":{""en"":{""language"":""en"",""value"":""flat white""},""zh"":{""language"":""zh"",""value"":""馥芮白""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""flat white""},""zh-hans"":{""language"":""zh-hans"",""value"":""flat white""}}}"	true	Wikidata Action API wbgetentities	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q841774	2534619335	2026-08-22	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""caffè latte""},{""language"":""en"",""value"":""caffellate""},{""language"":""en"",""value"":""caffè e latte""},{""language"":""en"",""value"":""caffe latte""},{""language"":""en"",""value"":""caffe e latte""},{""language"":""en"",""value"":""cafe latte""},{""language"":""en"",""value"":""Lattes""}],""zh"":[{""language"":""zh"",""value"":""拿鐵""},{""language"":""zh"",""value"":""鮮奶咖啡""},{""language"":""zh"",""value"":""拿鐵咖啡""},{""language"":""zh"",""value"":""牛奶咖啡""},{""language"":""zh"",""value"":""咖啡拿铁""},{""language"":""zh"",""value"":""咖啡拿鐵""},{""language"":""zh"",""value"":""拿铁""}]},""labels"":{""en"":{""language"":""en"",""value"":""latte""},""zh"":{""language"":""zh"",""value"":""拿铁咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""拿铁咖啡""},""zh-hans"":{""language"":""zh-hans"",""value"":""拿铁咖啡""}}}"	true	Wikidata Action API wbgetentities	espresso_milk	not_applicable_lexical_source	milk	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q849290	2287672731	2024-12-15	global_collaborative_source	multilingual	"{""aliases"":{},""labels"":{""en"":{""language"":""en"",""value"":""long black""},""zh"":{""for-language"":""zh"",""language"":""en"",""value"":""long black""},""zh-cn"":{""for-language"":""zh-cn"",""language"":""en"",""value"":""long black""},""zh-hans"":{""for-language"":""zh-hans"",""language"":""en"",""value"":""long black""}}}"	true	Wikidata Action API wbgetentities	diluted_espresso	not_applicable_lexical_source	black	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q858049	2454127718	2026-01-12	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""soluble coffee""},{""language"":""en"",""value"":""coffee crystals""},{""language"":""en"",""value"":""coffee powder""}],""zh"":[{""language"":""zh"",""value"":""速溶咖啡""},{""language"":""zh"",""value"":""咖啡精""}]},""labels"":{""en"":{""language"":""en"",""value"":""instant coffee""},""zh"":{""language"":""zh"",""value"":""即溶咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh-hans"",""value"":""即溶咖啡""},""zh-hans"":{""language"":""zh-hans"",""value"":""即溶咖啡""}}}"	true	Wikidata Action API wbgetentities	unresolved_instant_product	not_applicable_lexical_source	not_reported	lexical_reference	not_applicable
wikidata.coffee-preparation-entities.20260825	Q968554	2502210106	2026-06-05	global_collaborative_source	multilingual	"{""aliases"":{""en"":[{""language"":""en"",""value"":""ice coffee""}]},""labels"":{""en"":{""language"":""en"",""value"":""iced coffee""},""zh"":{""language"":""zh"",""value"":""冰咖啡""},""zh-cn"":{""language"":""zh-cn"",""source-language"":""zh"",""value"":""冰咖啡""},""zh-hans"":{""language"":""zh-hans"",""source-language"":""zh"",""value"":""冰咖啡""}}}"	true	Wikidata Action API wbgetentities	unresolved_iced_preparation	not_applicable_lexical_source	not_reported	lexical_reference	not_applicable
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710373	2710373	2024-10-31	United States	en	"{""additionalDescriptions"":"""",""description"":""Coffee, NS as to type""}"	true	USDA FoodData Central API foods/search; Survey (FNDDS)	unresolved_preparation	not_reported	not_reported	consumer_food_description_lexical_reference	not_applicable_aggregate_reference
