dataset_snapshot_key	source_file	source_local_column_name	project_field_key	source_local_unit	normalization_rule
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Sample No	sample_no_sensory	not_applicable	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Type	type	not_applicable	trim_outer_whitespace_only
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Municipality (in Colombia)	municipality_colombia	not_applicable	trim_outer_whitespace_only
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Variety	variety	not_applicable	trim_outer_whitespace_only
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Water activity	water_activity	ratio	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Moisture content (% wet basis)	moisture_content_percent_wet_basis	percent wet basis	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Sensory score SCA	sensory_score_sca_source_label	not_applicable	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Sample No	sample_no_geography	not_applicable	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Latitude 	latitude	decimal degrees	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Longuitude	longitude	decimal degrees	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	Height (masl)	height_masl	metres above sea level	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	rainfall (mm)	rainfall_mm	millimetres	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	SensoryQuality_RoastedCoffee.xlsx	Sample	sample	not_applicable	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	SensoryQuality_RoastedCoffee.xlsx	Replicates	replicates	not_applicable	identity_no_unit_conversion
mendeley.ftnir-specialty-coffee.v4.selected	SensoryQuality_RoastedCoffee.xlsx	Cup quality (points)	cup_quality_points_source_label	source-local points	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	ID	id	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Tasting note (information treatment)	tasting_note_information_treatment	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Bitterness	bitterness	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Overall taste	overall_taste	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Preference level	preference_level	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Purchase likelihood	purchase_likelihood	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	PROP score	prop_score	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	frequency of buying coffee	frequency_of_buying_coffee	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	cups of coffee per week on average	cups_of_coffee_per_week_on_average	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	experience with coffee	experience_with_coffee	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	years of being drinking coffee	years_of_being_drinking_coffee	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Age	age	source-local response scale	identity_no_unit_conversion
mendeley.coffee-taste-sensitivity.v1	Coffee_sensory_information_data.xlsx	Gender	gender	source-local response scale	identity_no_unit_conversion
