dataset_snapshot_key	source_file	source_row_identity	record_type	raw_value_json	parsed_value_json	normalized_value_json	normalization_rule	exclusion_reason
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!3	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":138,""sample_no_geography"":1,""sample_no_sensory"":1,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CENICAFE"",""water_activity"":0.625}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":138,""sample_no_geography"":1,""sample_no_sensory"":1,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CENICAFE"",""water_activity"":0.625}"	"{""derived_sample_no"":1,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":138,""sample_no_geography"":1,""sample_no_sensory"":1,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CENICAFE"",""water_activity"":0.625}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!4	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":136,""sample_no_geography"":2,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CENICAFE"",""water_activity"":0.625}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":136,""sample_no_geography"":2,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CENICAFE"",""water_activity"":0.625}"	"{""derived_sample_no"":1,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.7,""municipality_colombia"":""GUADALUPE"",""rainfall_mm"":136,""sample_no_geography"":2,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CENICAFE"",""water_activity"":0.625}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!5	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":3,""sample_no_sensory"":2,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""GEISHA"",""water_activity"":0.545}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":3,""sample_no_sensory"":2,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""GEISHA"",""water_activity"":0.545}"	"{""derived_sample_no"":2,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":136,""sample_no_geography"":3,""sample_no_sensory"":2,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""GEISHA"",""water_activity"":0.545}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!6	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":4,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""GEISHA"",""water_activity"":0.545}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":4,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""GEISHA"",""water_activity"":0.545}"	"{""derived_sample_no"":2,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":135,""sample_no_geography"":4,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""GEISHA"",""water_activity"":0.545}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!7	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":5,""sample_no_sensory"":3,""sensory_score_sca_source_label"":85.5,""type"":""Green"",""variety"":""CENICAFE "",""water_activity"":0.558}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":5,""sample_no_sensory"":3,""sensory_score_sca_source_label"":85.5,""type"":""Green"",""variety"":""CENICAFE "",""water_activity"":0.558}"	"{""derived_sample_no"":3,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":136,""sample_no_geography"":5,""sample_no_sensory"":3,""sensory_score_sca_source_label"":85.5,""type"":""Green"",""variety"":""CENICAFE"",""water_activity"":0.558}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!8	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":6,""sample_no_sensory"":null,""sensory_score_sca_source_label"":85.5,""type"":""Roasted"",""variety"":""CENICAFE "",""water_activity"":0.558}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":6,""sample_no_sensory"":null,""sensory_score_sca_source_label"":85.5,""type"":""Roasted"",""variety"":""CENICAFE "",""water_activity"":0.558}"	"{""derived_sample_no"":3,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":136,""sample_no_geography"":6,""sample_no_sensory"":null,""sensory_score_sca_source_label"":85.5,""type"":""Roasted"",""variety"":""CENICAFE"",""water_activity"":0.558}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!9	sample_origin_and_score	"{""height_masl"":1300,""latitude"":1.8836,""longitude"":-75.6213,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":132,""sample_no_geography"":7,""sample_no_sensory"":4,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.557}"	"{""height_masl"":1300,""latitude"":1.8836,""longitude"":-75.6213,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":132,""sample_no_geography"":7,""sample_no_sensory"":4,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.557}"	"{""derived_sample_no"":4,""height_masl"":1300,""latitude"":1.8836,""longitude"":-75.6213,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":132,""sample_no_geography"":7,""sample_no_sensory"":4,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.557}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!10	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":8,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.557}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":8,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.557}"	"{""derived_sample_no"":4,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":8,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.557}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!11	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":9,""sample_no_sensory"":5,""sensory_score_sca_source_label"":86.5,""type"":""Green"",""variety"":""TABI"",""water_activity"":0.594}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":9,""sample_no_sensory"":5,""sensory_score_sca_source_label"":86.5,""type"":""Green"",""variety"":""TABI"",""water_activity"":0.594}"	"{""derived_sample_no"":5,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":135,""sample_no_geography"":9,""sample_no_sensory"":5,""sensory_score_sca_source_label"":86.5,""type"":""Green"",""variety"":""TABI"",""water_activity"":0.594}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!12	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":10,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86.5,""type"":""Roasted"",""variety"":""TABI"",""water_activity"":0.594}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":10,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86.5,""type"":""Roasted"",""variety"":""TABI"",""water_activity"":0.594}"	"{""derived_sample_no"":5,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":10.9,""municipality_colombia"":""GARZON"",""rainfall_mm"":135,""sample_no_geography"":10,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86.5,""type"":""Roasted"",""variety"":""TABI"",""water_activity"":0.594}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!13	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":11,""sample_no_sensory"":6,""sensory_score_sca_source_label"":84,""type"":""Green"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON "",""rainfall_mm"":135,""sample_no_geography"":11,""sample_no_sensory"":6,""sensory_score_sca_source_label"":84,""type"":""Green"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	"{""derived_sample_no"":6,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON"",""rainfall_mm"":135,""sample_no_geography"":11,""sample_no_sensory"":6,""sensory_score_sca_source_label"":84,""type"":""Green"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!14	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":12,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84,""type"":""Roasted"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON "",""rainfall_mm"":136,""sample_no_geography"":12,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84,""type"":""Roasted"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	"{""derived_sample_no"":6,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":11.2,""municipality_colombia"":""GARZON"",""rainfall_mm"":136,""sample_no_geography"":12,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84,""type"":""Roasted"",""variety"":""CASTILLA (TAMBO)"",""water_activity"":0.563}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!15	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL "",""rainfall_mm"":138,""sample_no_geography"":13,""sample_no_sensory"":7,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.558}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL "",""rainfall_mm"":138,""sample_no_geography"":13,""sample_no_sensory"":7,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.558}"	"{""derived_sample_no"":7,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL"",""rainfall_mm"":138,""sample_no_geography"":13,""sample_no_sensory"":7,""sensory_score_sca_source_label"":87,""type"":""Green"",""variety"":""CASTILLA"",""water_activity"":0.558}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!16	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL "",""rainfall_mm"":138,""sample_no_geography"":14,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.558}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL "",""rainfall_mm"":138,""sample_no_geography"":14,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.558}"	"{""derived_sample_no"":7,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""PITAL"",""rainfall_mm"":138,""sample_no_geography"":14,""sample_no_sensory"":null,""sensory_score_sca_source_label"":87,""type"":""Roasted"",""variety"":""CASTILLA"",""water_activity"":0.558}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!17	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":15,""sample_no_sensory"":8,""sensory_score_sca_source_label"":86,""type"":""Green"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":15,""sample_no_sensory"":8,""sensory_score_sca_source_label"":86,""type"":""Green"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	"{""derived_sample_no"":8,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":15,""sample_no_sensory"":8,""sensory_score_sca_source_label"":86,""type"":""Green"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!18	sample_origin_and_score	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":16,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86,""type"":""Roasted"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	"{""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":16,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86,""type"":""Roasted"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	"{""derived_sample_no"":8,""height_masl"":827,""latitude"":2.1959,""longitude"":-75.6271,""moisture_content_percent_wet_basis"":10.3,""municipality_colombia"":""TARQUI"",""rainfall_mm"":136,""sample_no_geography"":16,""sample_no_sensory"":null,""sensory_score_sca_source_label"":86,""type"":""Roasted"",""variety"":""COLOMBIA"",""water_activity"":0.522}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!19	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":17,""sample_no_sensory"":9,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":17,""sample_no_sensory"":9,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	"{""derived_sample_no"":9,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":17,""sample_no_sensory"":9,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!20	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":18,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":18,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	"{""derived_sample_no"":9,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":10,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":18,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""CASTILLA TAMBO"",""water_activity"":0.534}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!21	sample_origin_and_score	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":19,""sample_no_sensory"":10,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	"{""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":19,""sample_no_sensory"":10,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	"{""derived_sample_no"":10,""height_masl"":1200,""latitude"":2.0211,""longitude"":-75.7589,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":138,""sample_no_geography"":19,""sample_no_sensory"":10,""sensory_score_sca_source_label"":84.5,""type"":""Green"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!22	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":20,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	"{""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":20,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	"{""derived_sample_no"":10,""height_masl"":1100,""latitude"":2.1178,""longitude"":-75.8284,""moisture_content_percent_wet_basis"":9.2,""municipality_colombia"":""TARQUI"",""rainfall_mm"":135,""sample_no_geography"":20,""sample_no_sensory"":null,""sensory_score_sca_source_label"":84.5,""type"":""Roasted"",""variety"":""BORBOUM ROSADO"",""water_activity"":0.564}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
mendeley.ftnir-specialty-coffee.v4.selected	mendeley_ftnir_v4/Sample_origin_and_sensory_score_Specialty_Coffee.xlsx	data!23	sample_origin_and_score	"{""height_masl"":1100,""latitude"":2.4492,""longitude"":-75.7663,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":130,""sample_no_geography"":21,""sample_no_sensory"":11,""sensory_score_sca_source_label"":87.5,""type"":""Green"",""variety"":""COLOMBIA "",""water_activity"":0.6}"	"{""height_masl"":1100,""latitude"":2.4492,""longitude"":-75.7663,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":130,""sample_no_geography"":21,""sample_no_sensory"":11,""sensory_score_sca_source_label"":87.5,""type"":""Green"",""variety"":""COLOMBIA "",""water_activity"":0.6}"	"{""derived_sample_no"":11,""height_masl"":1100,""latitude"":2.4492,""longitude"":-75.7663,""moisture_content_percent_wet_basis"":10.4,""municipality_colombia"":""TARQUI"",""rainfall_mm"":130,""sample_no_geography"":21,""sample_no_sensory"":11,""sensory_score_sca_source_label"":87.5,""type"":""Green"",""variety"":""COLOMBIA"",""water_activity"":0.6}"	outer whitespace trimmed; sample number forward-filled only into derived_sample_no; no unit conversion	
