mapping_key	raw_source_phrase	normalized_expression	candidate_mapping	evidence_key	lifecycle_status	mapping_scope	ambiguity_note
mapping.wikidata.Q1054566.label.en.0001	moka pot	moka pot	stovetop_boiled	wikidata:Q1054566:2531664390	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1054566.label.zh.0002	摩卡壶	摩卡壶	stovetop_boiled	wikidata:Q1054566:2531664390	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1054566.label.zh-hans.0003	摩卡壶	摩卡壶	stovetop_boiled	wikidata:Q1054566:2531664390	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1054566.label.zh-cn.0004	摩卡壶	摩卡壶	stovetop_boiled	wikidata:Q1054566:2531664390	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1054566.alias.en.0005	stovetop espresso maker	stovetop espresso maker	stovetop_boiled	wikidata:Q1054566:2531664390	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.label.en.0006	French press pot	french press pot	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.label.zh.0007	法式濾壓壺	法式濾壓壺	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.label.zh-hans.0008	法式滤压壶	法式滤压壶	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.label.zh-cn.0009	法式滤压壶	法式滤压壶	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.alias.en.0010	coffee press	coffee press	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.alias.en.0011	coffee plunger	coffee plunger	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1147545.alias.en.0012	сafetière à piston	сafetière à piston	immersion	wikidata:Q1147545:2523841711	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.label.en.0013	caffè americano	caffè americano	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.label.zh.0014	美式咖啡	美式咖啡	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.label.zh-hans.0015	美式咖啡	美式咖啡	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.label.zh-cn.0016	美式咖啡	美式咖啡	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.alias.en.0017	Caffe Americano	caffe americano	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.alias.en.0018	cafe americano	cafe americano	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1152551.alias.en.0019	americano	americano	diluted_espresso	wikidata:Q1152551:2485418596	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.label.en.0020	drip coffee	drip coffee	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.label.zh.0021	滴漏式咖啡	滴漏式咖啡	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.label.zh-hans.0022	滴漏式咖啡	滴漏式咖啡	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.label.zh-cn.0023	滴漏式咖啡	滴漏式咖啡	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.alias.en.0024	brewed coffee	brewed coffee	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.alias.en.0025	drip brewed coffee	drip brewed coffee	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
mapping.wikidata.Q1155703.alias.en.0026	filtered coffee	filtered coffee	filter_percolation	wikidata:Q1155703:2532217386	RESEARCH_REVIEWED	preparation_candidate_only	No automatic canonical promotion; entity membership is lexical evidence, not sensory truth.
