source	coffee_identity	c0_preparation	c1_roast	black_milk	sensory_method	participant_type	language	observed_record_count	cell_status	interpretation_limit
dryad.cotter-black-coffee.v4	one Honduras coffee source lot	filter_percolation	medium	black	consumer_CATA_JAR_liking_and_physical_measurements	ordinary_user_consumer	en	3186	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
dryad.yeager-acids-meta-analysis.v5	heterogeneous literature coffee records	multiple_source_local_preparations	multiple_source_local_roasts	black_and_three_milk_context_records	chemical_meta_analysis_no_sensory_outcome	not_applicable	en	1631	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
mendeley.coffee-taste-sensitivity.v1	study coffee not identified in workbook	not_reported	not_reported	not_reported	bitterness_taste_preference_purchase_response	ordinary_user_or_consumer_as_source_described	en	93	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
mendeley.ftnir-specialty-coffee.v4.selected	64 source samples	not_reported	green_and_roasted_source_rows_no_level	not_reported	source_local_sample_score_and_metadata	assessor_details_not_reported	not_applicable	128	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
mendeley.ftnir-specialty-coffee.v4.selected	64 source samples	not_reported	roasted_source_local_no_level	not_reported	source_local_cup_quality_score	assessor_details_not_reported	not_applicable	192	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
round2b.firstbloom.pinned-a6cb0026	2383 source product identities	not_systematically_coded	not_systematically_coded	not_systematically_coded	commercial_tasting_note_corpus_not_controlled_sensory_observations	not_applicable	en	2474	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710373	unresolved_preparation	not_reported	not_reported	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710374	filter_percolation_candidate	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710375	filter_percolation_candidate	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710376	filter_percolation_candidate	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710377	stovetop_boiled	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710378	espresso_pressure	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710379	espresso_pressure	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710380	filter_percolation_candidate	not_reported	black	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710381	unresolved_cuban_preparation	not_reported	not_reported	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710382	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710383	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710384	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710385	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710386	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710387	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710388	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710389	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710390	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710391	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710392	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710393	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710394	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710395	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710396	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710397	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710398	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710399	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
usda.fdc-coffee-search.fndds-2021-2023.20260825	2710400	espresso_milk_or_mixed_coffee_candidate	not_reported	milk	consumer_food_description_lexical_reference	not_applicable_aggregate_reference	en	1	OBSERVED_SOURCE_LOCAL_EVIDENCE	Presence only; omitted combinations are not inferred empty and sources are not pooled.
