expression_occurrence_key	dataset_snapshot_key	source_document_key	language	raw_source_phrase	normalized_expression	expression_role	candidate_canonical_mappings	model_or_lexical_candidates	review_state	automatic_promotion_allowed	regional_or_register_note
wikidata.Q1054566.label.en.0001	wikidata.coffee-preparation-entities.20260825	Q1054566	en	moka pot	moka pot	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q1054566"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1054566.label.zh.0002	wikidata.coffee-preparation-entities.20260825	Q1054566	zh	摩卡壶	摩卡壶	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q1054566"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1054566.label.zh-hans.0003	wikidata.coffee-preparation-entities.20260825	Q1054566	zh-hans	摩卡壶	摩卡壶	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q1054566"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1054566.label.zh-cn.0004	wikidata.coffee-preparation-entities.20260825	Q1054566	zh-cn	摩卡壶	摩卡壶	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q1054566"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1054566.alias.en.0005	wikidata.coffee-preparation-entities.20260825	Q1054566	en	stovetop espresso maker	stovetop espresso maker	preparation_expression	"[""stovetop_boiled""]"	"[{""source_entity"":""Q1054566"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.label.en.0006	wikidata.coffee-preparation-entities.20260825	Q1147545	en	French press pot	french press pot	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.label.zh.0007	wikidata.coffee-preparation-entities.20260825	Q1147545	zh	法式濾壓壺	法式濾壓壺	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.label.zh-hans.0008	wikidata.coffee-preparation-entities.20260825	Q1147545	zh-hans	法式滤压壶	法式滤压壶	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.label.zh-cn.0009	wikidata.coffee-preparation-entities.20260825	Q1147545	zh-cn	法式滤压壶	法式滤压壶	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""label""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.alias.en.0010	wikidata.coffee-preparation-entities.20260825	Q1147545	en	coffee press	coffee press	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
wikidata.Q1147545.alias.en.0011	wikidata.coffee-preparation-entities.20260825	Q1147545	en	coffee plunger	coffee plunger	preparation_expression	"[""immersion""]"	"[{""source_entity"":""Q1147545"",""source_role"":""alias""}]"	RESEARCH_REVIEWED	false	Wikidata language tag retained; fallback, regional usage, and sensory equivalence require independent review.
