propagation_layer	propagation_entity_id	parent_entity_id	rights_partition_id	PUBLIC_DISCOVERY	INTERNAL_RESEARCH_ANALYSIS	NONCOMMERCIAL_MODEL_RESEARCH	COMMERCIAL_MODEL_TRAINING	DERIVED_DATA_RELEASE	RAW_TEXT_REDISTRIBUTION	MODEL_WEIGHT_RELEASE	PRODUCT_DEPLOYMENT	propagation_rule
SOURCE_ASSERTION	assertion-b2:00027c1605fb6305bf2c86b0	artifact-b2:15aba371a8f3a49736e2e55b	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:00034a1df3120a9fcc6a2bf6	artifact-b2:6639e64cd80a11e6cb47181f	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:0003d39d95eb41d207f4e8a9	artifact-b2:1cfb92ab3f340c75a5ae5c41	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:000417b681f08d9c0a925254	artifact-b2:f2c40647d1c7f1384a42bd9f	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:000467bc304734688ddb4946	artifact-b2:566f86ca17b2d52b760c47a7	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:0006dfde570ee97fad329164	source-artifact:b528c8124b4fc1749429bcce	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:00071e1faee1d91f1f6045af	artifact-b2:701ed290f8c2b16ff4404ffa	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:0008b23298aad41e184dea36	artifact-b2:e7f580f2cc213201d68c2c22	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:000953e5e639232de557ebf6	artifact-b2:8937f5173cc3a911fa817e30	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
SOURCE_ASSERTION	assertion-b2:000a4351bca711cdefc4e745	artifact-b2:92c31c0137d8b517d3185ef6	rights-partition:280139710269852aa171b265	AFFIRMATIVE	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	OWNER_POLICY_REQUIRED	UNKNOWN	SOURCE_ARTIFACT_PURPOSE_STATUS_INHERITED_WITHOUT_SCALAR_COLLAPSE
