dataset_id	source_round_or_batch	source_branch	source_commit_sha	data_role	overlap_expected_with	current_disposition	repository_path_or_restricted_locator	file_sha256
round3m-live-assertions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_PRIMARY	round4a-professional-reference|round4a-pair-edge	CANONICAL_ROW_LEVEL_INPUT	db/data/round3m/DESCRIPTOR_ASSERTION_LEDGER.tsv	a54e81b1a5359fc00ccc5bdbbb45ea6dd105ab7a91d7be27973beb52a10df03a
round3m-effective-records	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions	IDENTITY_BRIDGE	db/adapters/round3m/generated/PUBLIC_SAFE_EFFECTIVE_RECORDS.tsv	df06019e5c9b659b21b9279f344f8f0c076b6d4497049d3015ca257aad94c32c
round3m-review-queue	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions|round3m-legacy-376	REVIEW_LINEAGE	db/data/round3m/DESCRIPTOR_REVIEW_QUEUE.tsv	4fd07e78f515ef66d390ddc55bed60e25bc13bed7ac8fabb658b65eded1a5499
round3m-provisional-decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-review-queue	REVIEW_LINEAGE	db/data/round3m/DESCRIPTOR_PROVISIONAL_DECISIONS.tsv	9b7e83f202fa4ae4633e3900f53b02b72feaa50736af17dc4c22b39122206863
round3m-normalization	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions	NORMALIZATION_LINEAGE	db/data/round3m/DESCRIPTOR_NORMALIZATION_DECISION.tsv	3e183d3fb5f25d28d9fa14c165715e4a36105dedabc7ab3f629f0a04fcf0f761
round3m-provenance	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions	PROVENANCE_LINEAGE	db/data/round3m/DESCRIPTOR_PROVENANCE_DECISION.tsv	3710109e1db546df35f43b4a0bee5dd8cbc5b51ee6cb430acb6a185807cbf18a
round3m-rights	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions	RIGHTS_LINEAGE	db/data/round3m/DESCRIPTOR_RIGHTS_DECISION.tsv	fa460cb74ea5f63e81c7f8a2dc7f1c680a6bda49b8348431e322421673856a3e
round3m-duplicate	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions	DEINFLATION_LINEAGE	db/data/round3m/DUPLICATE_REPEAT_DECISION.tsv	808b906fd551f32d9c18a359349e9bb8be80db0e6c401739baf3fda7ac521453
round3m-pairs	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-live-assertions|round4a-pair-edge	PAIR_EVENT_DERIVATION	db/data/round3m/COASSERTION_EVENT.tsv	a69b1550a73632cc9383fa138e29d66230c903590c87a3aed39d84ffc2c7daa7
round3l-restricted-receipt	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	AGGREGATE_RECEIPT_ONLY	round3m-review-queue	RESTRICTED_DATA_NOT_IMPORTED	db/data/round3l/public/RESTRICTED_LEDGER_RECEIPT.json	895817cb590d77176e32cda75a4e75008d2c220ed7137f48ccc588b460ab475c
round3l-public-checkpoint	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	AGGREGATE_RECEIPT_ONLY	round3m-legacy-376	AGGREGATE_LINEAGE_ONLY	db/data/round3l/public/PUBLIC_CHECKPOINT.json	7c3c1f9e625bf3fa1636dd16536e6e402ea39506eabdf1fe9f98df8dc3e1a982
round3l-source-attempts	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	ROW_LEVEL_DERIVED	round3m-source-census	ACQUISITION_LINEAGE	db/data/round3l/public/SOURCE_ATTEMPTS_PUBLIC.tsv	e4c39091f2a23692143cbcb0d75d48eb6381e9abdb5701ed28dc7c90fb4e067a
round3m-normalized-language-reference	ROUND3I	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	REFERENCE_ONLY	round3m-normalization	NO_OBSERVATION_MERGE	db/data/round3i/evaluation/language_expressions.tsv	4bd7b824ee461ca6043c5546e8f3a242a0983bbbc38d3c01b6fbb5d83e51a174
round3m-c0-c1-receipt	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	AGGREGATE_RECEIPT_ONLY	round3l-restricted-receipt	CONTEXT_RECEIPT_ONLY	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json	aae32da71da7dcba575a82d3ceff1bde9a1105a67da19ef812afc2cb07f07242
round3-external-descriptor-receipt	ROUND3_EXTERNAL_DESCRIPTOR_RECEIPT	NA_EXTERNAL_REPORT_NOT_GIT_VERSIONED	NA_EXTERNAL_REPORT_NOT_GIT_VERSIONED	AGGREGATE_RECEIPT_ONLY	round3m-live-assertions|round3l-restricted-receipt	COUNTS_ONLY_NO_ROW_LEVEL_IMPORT	missing-input://Descriptor-First-Census-of-Open-Professional-Coffee-Sensory-Evidence.pdf	d319236311f2abc5e15baaf70923b32e0a2bdbb5dc010723feea3e4aec8069e0
round3-descriptor-census-machine-bundle	ROUND3_EXTERNAL_DESCRIPTOR_RECEIPT	NA_NOT_FOUND	NA_NOT_FOUND	AGGREGATE_RECEIPT_ONLY	round3-external-descriptor-receipt	MISSING_LINEAGE_LIMITATION	missing-input://nine-file-machine-readable-descriptor-census-bundle	NA_NINE_REQUIRED_FILES_NOT_FOUND
current-targeted-acquisition-hash-ledger	descriptor-data-integration-batch-1-20260829	research/coffee-sensory-data-ml-readiness	NA_EXTERNAL_CAPTURE_NOT_FROM_GIT	ROW_LEVEL_PRIMARY	round3m-live-assertions	RESEARCH_STAGED_HASH_ONLY	https://farmdirectory.cupofexcellence.org/listing/2009-brazil-pulped-naturals-84-96/	0716d43dedbfcb99393e7f81e8d89f919ab8358e717fcb0a0f633ab091447839
round4a-dataset-compatibility-matrix-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	REDUNDANT_STATIC_MATRIX_NOT_CURRENT_MERGED_DATA	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DATASET_COMPATIBILITY_MATRIX.tsv	62d56d6c075b6607c59a7625219e1ff000ee4d688358b2c42d1c3f492d9b59e7
round4a-descriptor-corpus-health-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_CORPUS_HEALTH.tsv	8f75ba9605baf1bd1b5245f2aa34a33de395426cf88ef042d5408152b059d430
round4a-descriptor-graph-components-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	HASH_COMPONENTS_NOT_NORMALIZED_DESCRIPTOR_IDENTITIES	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_GRAPH_COMPONENTS.tsv	81b8f46870462b2b2ec405f3ebf1e664185d9eecbf9ab0461cadb71e078abb3b
round4a-descriptor-pair-edge-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_PAIR_EDGE.tsv	3377ec03c7b4c14495a2f8aaa0f8acc84ca12e8679396e28a22e2a5ff8c67a97
round4a-descriptor-pair-support-distribution-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/DESCRIPTOR_PAIR_SUPPORT_DISTRIBUTION.tsv	a1d0be619093ae61c6b4e6a0738008d2cc14207a3ed6ca0efdeaa2204fdc37a4
round4a-label-support-distribution-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	REDUNDANT_ZERO_LABEL_RECEIPT_REGENERATED_AS_SUPPORT_BANDS	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LABEL_SUPPORT_DISTRIBUTION.tsv	ec7c4d7055f2d7e0bd715edddadf7947203eb5d60bb5d681abb391c47c90608c
round4a-longitudinal-archive-completeness-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	ROW_LEVEL_DERIVED	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LONGITUDINAL_ARCHIVE_COMPLETENESS.tsv	e5777fa7bb3e2b3d1f035f17a1cc44da2c369b149b86e3b7246cf9d44638b27e
round4a-longitudinal-archive-expectation-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	ROW_LEVEL_DERIVED	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/LONGITUDINAL_ARCHIVE_EXPECTATION.tsv	e5777fa7bb3e2b3d1f035f17a1cc44da2c369b149b86e3b7246cf9d44638b27e
round4a-professional-reference-manifest-json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	AGGREGATE_RECEIPT_ONLY	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/PROFESSIONAL_REFERENCE_MANIFEST.json	181714e67513345dd363962fe7d72e14387bb89fe531ae3786edcdb1205a9d26
round4a-round4a-manifest-json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	AGGREGATE_RECEIPT_ONLY	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/ROUND4A_MANIFEST.json	46266b03303a2232ce71d38b1a52272c2caab221362b80422e6d1753c1716052
round4a-sha256sums	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	AGGREGATE_RECEIPT_ONLY	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SHA256SUMS	NA_SELF_CHECKSUM_FILE_NOT_LISTED_IN_ITSELF
round4a-source-family-concentration-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SOURCE_FAMILY_CONCENTRATION.tsv	0d55045ea95581db30a142b14f4d452e63f3955b19ace37c49a6021360a27039
round4a-split-feasibility-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/SPLIT_FEASIBILITY.tsv	361878faf78ece8a77d16eca3836c83535a2cf6ad4eeee82b4e6fb3198a528bc
round4a-task-data-health-tsv	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	DUPLICATE_DERIVATION	round3m-live-assertions|round3m-pairs	REDUNDANT_TASK_REPORT_REPLACED_BY_CURRENT_GATE_STATUS	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/TASK_DATA_HEALTH.tsv	7347fb33473f4b3a93b8458b758cab30317cdd0112dfd7bb020dce363e5127dc
round4a-training-feasibility-decision-json	ROUND4A_DATA_HEALTH	origin/codex/coffee-flavor-round4a-prototype-training-readiness-20260829	48ff0a921db4da98b2802c60bc23ee031687175b	AGGREGATE_RECEIPT_ONLY	round3m-live-assertions|round3m-pairs	ACCEPTED_SEMANTICS_REGENERATE_OR_LINEAGE_ONLY	git:48ff0a921db4da98b2802c60bc23ee031687175b:db/data/round4a/TRAINING_FEASIBILITY_DECISION.json	bbba01ebef5ebf6788162865e7ac3a1a9915ab90a18dcd0d8593d74c1ad22587
