corpus_view	source_family_id	assertion_count	effective_record_count	share
ALL_PROFESSIONAL_CANDIDATES	family.ace_cup_of_excellence	14829	620	0.741339
ALL_PROFESSIONAL_CANDIDATES	family.coffee_board_of_india_fine_cup	59	18	0.002950
ALL_PROFESSIONAL_CANDIDATES	family.project_origin	302	33	0.015098
ALL_PROFESSIONAL_CANDIDATES	family.sheba_coffee_yemen_auction	28	9	0.001400
ALL_PROFESSIONAL_CANDIDATES	family.zenodo_golovinsky_q_grader_dataset	4785	112	0.239214
SOURCE_AUDITED_CANDIDATES	family.ace_cup_of_excellence	14829	620	0.741339
SOURCE_AUDITED_CANDIDATES	family.coffee_board_of_india_fine_cup	59	18	0.002950
SOURCE_AUDITED_CANDIDATES	family.project_origin	302	33	0.015098
SOURCE_AUDITED_CANDIDATES	family.sheba_coffee_yemen_auction	28	9	0.001400
SOURCE_AUDITED_CANDIDATES	family.zenodo_golovinsky_q_grader_dataset	4785	112	0.239214
GOLD_CANDIDATES	family.ace_cup_of_excellence	270	19	0.053412
GOLD_CANDIDATES	family.zenodo_golovinsky_q_grader_dataset	4785	112	0.946588
SILVER_CANDIDATES	family.ace_cup_of_excellence	14559	601	0.995964
SILVER_CANDIDATES	family.coffee_board_of_india_fine_cup	59	18	0.004036
BRONZE_CANDIDATES	family.project_origin	302	33	0.915152
BRONZE_CANDIDATES	family.sheba_coffee_yemen_auction	28	9	0.084848
P3_P4_AUXILIARY	family.project_origin	302	33	0.915152
P3_P4_AUXILIARY	family.sheba_coffee_yemen_auction	28	9	0.084848
PROVENANCE_UNRESOLVED	family.ace_cup_of_excellence	14559	601	0.995964
PROVENANCE_UNRESOLVED	family.coffee_board_of_india_fine_cup	59	18	0.004036
RIGHTS_BLOCKED	family.ace_cup_of_excellence	14829	620	0.974438
RIGHTS_BLOCKED	family.coffee_board_of_india_fine_cup	59	18	0.003877
RIGHTS_BLOCKED	family.project_origin	302	33	0.019845
RIGHTS_BLOCKED	family.sheba_coffee_yemen_auction	28	9	0.001840
