semantic_relation_candidate_id	semantic_relation_id	relation_type	candidate_reason	review_required
semantic-candidate:00012c7424e0c8fc5a5cd330	semantic-relation:d17d054b7b2ece34c5370cbe	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00261591290fea48e31b8765	semantic-relation:3906933c9c80b9a9112a139b	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00269d14a1832b24c5d9a0a9	semantic-relation:e8799cb947679aa534bc414f	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:004733d1bd10f159ae94f0be	semantic-relation:4090b65a1854907c0f39f51c	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:004fafbceb7a3f2b0dd8c12f	semantic-relation:98201eda59b008ee924e5723	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:0060339f46a12dcddd066d9d	semantic-relation:12172c61c0183400ae618d9e	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0069fedd9794e5e7159226fa	semantic-relation:ac538b7e323658e543678e26	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00702e3cb65e821e09d9ca80	semantic-relation:5967c31d231f28d38fe855fb	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:007f3a185576c47be7f1d1c0	semantic-relation:953333bef8a818fa3db38b37	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:009478318768aabae6f0e66b	semantic-relation:8716482953598fdcf52ab8c8	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00986c2fa2ba285ebb6de5f1	semantic-relation:36a502df97992798d5591406	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00a0afd8bc05c64e9ff66a37	semantic-relation:f5a4aa6a1f0a4aab21ae7141	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00a3f7d0fd2939ebac34fa62	semantic-relation:595a5a5746eefa8017c28a5c	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00a69196f619240acfea4a50	semantic-relation:f73d8793f430c8a9afb1f0ab	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00a7dde08592078111fa2e31	semantic-relation:946b0c9f3b207a1047d99fbf	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:00bc4e605c03887a9353a948	semantic-relation:767f04de0ca2ab7bddc88412	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:00c609795f2c0b8c88c743a4	semantic-relation:2685d667918e33e7fcc62174	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:00cc7ae04cce7603312ca761	semantic-relation:44d5c963d38f3037c6207400	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:00dd51b892d817cc624d9336	semantic-relation:5dd399143f5910d0afc30eb0	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:00e27dd7312221deb77a01ac	semantic-relation:bcec48111fa7218a84527202	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
semantic-candidate:01098e14d90f7949e9d2c7de	semantic-relation:0ad4c28277c2999306591d27	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:010f93c07083b05d5ac52632	semantic-relation:aa469250a092a771ab800bda	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:011502846796ef255e26df1b	semantic-relation:53abedd22c0e793916f57c86	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:0135c142f22966431976cba4	semantic-relation:36a49bc5a6aa8e39daeed69f	INSTANCE_OR_SPECIFIC_FORM_OF	V2_CONTAINMENT_CANDIDATE_NOT_EQUIVALENCE	true
semantic-candidate:01366fdf95e453a60426a127	semantic-relation:3337df3ff5542cda260d2e69	MODIFIES	MODIFIER_PARSE_REQUIRES_REVIEW	true
semantic-candidate:015da053f461eb4ebdbab9a3	semantic-relation:4b06013eca02232ff819a2d3	COMPONENT_OF	COMPOUND_COMPONENT_PARSE_REQUIRES_REVIEW	true
