metric	value
approved_alias_of_edge_count	12
coasserted_with_edge_count	99187
component_of_edge_count	931
exact_equivalent_edge_count	158
instance_or_specific_form_of_edge_count	880
modifies_edge_count	212
morphological_variant_of_edge_count	44
observed_under_preparation_edge_count	2812
s0_relation_count	44
s1_relation_count	170
s2_relation_count	0
s3_relation_candidate_count	18974
s4_project_owner_reviewed_relation_count	0
s5_sensory_expert_adjudicated_relation_count	0
semantic_concept_node_count	2943
semantic_form_node_count	3581
semantic_relation_edge_count	104236
