cleaned_output_atom_id	descriptor_assertion_id	source_native_form_id	cleaned_form_id	cleaned_lexical_form_sha256	concept_cluster_id	mapping_state	canonical_concept_id	base_form_sha256	modifier_form_sha256s	component_concept_ids	normalization_authority	mapping_confidence	reversible_source_pointer	project_owner_reviewed	sensory_expert_adjudicated
cleaned-output-atom:f629662557e2fea8ab92eff7	assertion-b2:00027c1605fb6305bf2c86b0	source-form:c8b2fae9f5dc3c52c4e22332	cleaned-form:0467255695084cc12ffe0c55	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	concept-cluster:5faaae2d03369d3ceaca9e6d	EXISTING_CANONICAL_EXACT	sensory.plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99		sensory.plum	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:b1b601efe9dfb24fca650df3e48362ec275beae6494aca8ba96d7d2e0d2c4c92	false	false
cleaned-output-atom:c69c159bc2a46479c66572b5	assertion-b2:000417b681f08d9c0a925254	source-form:c8b2fae9f5dc3c52c4e22332	cleaned-form:0467255695084cc12ffe0c55	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	concept-cluster:5faaae2d03369d3ceaca9e6d	EXISTING_CANONICAL_EXACT	sensory.plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99		sensory.plum	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:5e33d733b8a44d7c29f53a9e25ec4a7c0cef895a03fdc858f55b0147218f2719	false	false
cleaned-output-atom:3dc85bbb50ae4a8fa4ba8384	assertion-b2:00071e1faee1d91f1f6045af	source-form:dce34e094109d0c0e096b1c3	cleaned-form:dce34e094109d0c0e096b1c3	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	concept-cluster:d2f7359bb44630f029238163	EXISTING_CANONICAL_EXACT	sensory.dark_chocolate	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8		MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:ca702dc9441e70c59b8c72619213e6e92bf49b1a3c585671df1bc8ebda440dbb	false	false
cleaned-output-atom:7223e7a4a2c1ef07bae98df0	assertion-b2:0008b23298aad41e184dea36	source-form:0237742265ea9ac1dba0afa9	cleaned-form:0237742265ea9ac1dba0afa9	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	concept-cluster:5bc504363d2cdbeeb3e0f34d	EXISTING_CANONICAL_EXACT	sensory.salty	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84		sensory.salty	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:f423106fd36c6cc8a749099941bc4513db7377154e15155e6df12615f1d78ead	false	false
cleaned-output-atom:db76a48f5eb373bb5a82deca	assertion-b2:000953e5e639232de557ebf6	source-form:90e62b92a956add6e1c3871b	cleaned-form:90e62b92a956add6e1c3871b	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	concept-cluster:dac57ccd680e685c77c774ec	EXISTING_CANONICAL_EXACT	sensory.almond	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc		sensory.almond	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:8cbadabdc7f8858521748aacc91471082a3bcbe56d052059196812a973e98d8c	false	false
cleaned-output-atom:2e842f57f3a90e3cb58f4493	assertion-b2:000a4351bca711cdefc4e745	source-form:2901721ac6fc0e2056f6cc77	cleaned-form:c6de72fbfb89efcf82e78393	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c	concept-cluster:08f3a3dfb648c5f643d502b8	EXISTING_CANONICAL_MORPHOLOGICAL_VARIANT	sensory.cherry	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c		sensory.cherry	MACHINE_GOVERNED_HIGH_CONFIDENCE	0.980000	hash:sha256:4651a54a4facc5ddc6aaedb513da39c3e3fd86101d4414975b7a07ca291c6391	false	false
cleaned-output-atom:e8ad69e027e090786029d6d9	assertion-b2:000ebf34597937fcfb4332f5	source-form:dca40757d00d1d85634daa89	cleaned-form:a40010d6046616915d64e2b0	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	concept-cluster:021a37d5fcdab9f7756708ae	EXISTING_CANONICAL_EXACT	sensory.caramel	a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a		sensory.caramel	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	restricted://post20k_extension/assertions/assertion-b2:000ebf34597937fcfb4332f5	false	false
cleaned-output-atom:d6634f2484d215021111bb0b	assertion-b2:000f080b4c62c3acebf908c8	source-form:550b8ce3d164393f314eb1ba	cleaned-form:550b8ce3d164393f314eb1ba	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1	concept-cluster:8464da777f6c3ac9263b67e7	EXISTING_CANONICAL_MORPHOLOGICAL_VARIANT	sensory.blueberry	550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1		sensory.blueberry	MACHINE_GOVERNED_HIGH_CONFIDENCE	0.980000	hash:sha256:b84ac2c1cdf42763b318c0ffbf9aa64614a72027406e98fa11a392b79112781a	false	false
cleaned-output-atom:ea8b30dc2e3d5a38a81db28a	assertion-b2:0018963e588e7d39fad8dc2f	source-form:9fc0acf02304c58ef11763d6	cleaned-form:9fc0acf02304c58ef11763d6	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469	concept-cluster:46ff81d17b64b5d4be5390d2	EXISTING_CANONICAL_EXACT	sensory.creamy_mouthfeel	9fc0acf02304c58ef11763d6ed9229a99bc2da63b083950b7744f67161602469			MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:bcb7cf46070181fe691c9705b839eca59a5ec0941b6b3ce7766eb759fc73e644	false	false
cleaned-output-atom:fba921b372f259d864535d69	assertion-b2:001a9af15aa4c940fbe9a5a8	source-form:5e737f891db1175442a39fde	cleaned-form:5e737f891db1175442a39fde	5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a	concept-cluster:c77d3443b248de8dd00b0810	EXISTING_CANONICAL_EXACT	sensory.strawberry	5e737f891db1175442a39fde73e51d781a545506d71c95477a6deb5988bd7f9a		sensory.strawberry	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	restricted://post20k_extension/assertions/assertion-b2:001a9af15aa4c940fbe9a5a8	false	false
