descriptor_assertion_id	v1_disposition	v2_disposition	v1_cleaned_lexical_form_sha256s	v2_cleaned_lexical_form_sha256s	v1_semantic_classes	v2_semantic_classes	v1_canonical_concept_ids	v2_canonical_concept_ids	split_or_merge_changed	classification_changed	normalized_output_changed	mapping_changed	change_reason_code	reversible_provenance_pointer	cleaner_v1_version	cleaner_v2_version
assertion-b2:00027c1605fb6305bf2c86b0	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	STRICT_FLAVOR	STRICT_FLAVOR	sensory.plum	sensory.plum	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:b1b601efe9dfb24fca650df3e48362ec275beae6494aca8ba96d7d2e0d2c4c92	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:00034a1df3120a9fcc6a2bf6	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	STRICT_FLAVOR	STRICT_FLAVOR		sensory.butter	false	false	false	true	V2_SEMANTIC_OR_MAPPING_CHANGE	hash:sha256:a600abfd7df3cc51f5d8d7d9302e6efd4fa4b0729aed696a88c8979e8214c3be	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:0003d39d95eb41d207f4e8a9	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	STRICT_FLAVOR	STRICT_FLAVOR			false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:68458d8913c539d9ec2c0e5c5f085f534c3a5d241c2355998fddffa5d5eebf68	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:000417b681f08d9c0a925254	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	STRICT_FLAVOR	STRICT_FLAVOR	sensory.plum	sensory.plum	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:5e33d733b8a44d7c29f53a9e25ec4a7c0cef895a03fdc858f55b0147218f2719	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:000467bc304734688ddb4946	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14	206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14	STRICT_FLAVOR	STRICT_FLAVOR			false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:aca579ef32b078865bf518c21e038fba5dcb7bd056153005ecdb451b2fa5fee9	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:00071e1faee1d91f1f6045af	SEMANTICALLY_VALID	VALID_COMPOUND_PRESERVED	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	STRICT_FLAVOR	STRICT_FLAVOR	sensory.dark_chocolate	sensory.dark_chocolate	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:ca702dc9441e70c59b8c72619213e6e92bf49b1a3c585671df1bc8ebda440dbb	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:0008b23298aad41e184dea36	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	STRICT_FLAVOR	STRICT_FLAVOR	sensory.salty	sensory.salty	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:f423106fd36c6cc8a749099941bc4513db7377154e15155e6df12615f1d78ead	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:000953e5e639232de557ebf6	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	STRICT_FLAVOR	STRICT_FLAVOR	sensory.almond	sensory.almond	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:8cbadabdc7f8858521748aacc91471082a3bcbe56d052059196812a973e98d8c	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:000a4351bca711cdefc4e745	SEMANTICALLY_VALID	VALID_COMPOUND_SPLIT	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c|e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c|e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	STRICT_FLAVOR|INTENSITY_OR_QUALITY_MODIFIER	STRICT_FLAVOR|INTENSITY_OR_QUALITY_MODIFIER	sensory.cherry	sensory.cherry	false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:4651a54a4facc5ddc6aaedb513da39c3e3fd86101d4414975b7a07ca291c6391	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
assertion-b2:000d61c86d98f7f3d5f6e65b	SEMANTICALLY_VALID	VALID_STRICT_FLAVOR	2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	STRICT_FLAVOR	STRICT_FLAVOR			false	false	false	false	V2_DISPOSITION_TAXONOMY_REFINEMENT	hash:sha256:13e5a9731341678d6c3bee79a52284b2f99f32774eac5abbac3748c7eab97a14	batch3.restricted-semantic-cleaner.v1	batch4.semantic-cleaner.v2
