review_item_id	semantic_relation_id	allowed_decisions	project_owner_decision	decision_reason	reviewer_id	reviewed_at
semantic-owner-review:51ce05bae51f36202eed034c	semantic-relation:008708d660fb3f5078d3be45	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:da632b754019a423799491a4	semantic-relation:01b58f0509a0cdc1ca464756	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:868c795bad7f52e33e345a34	semantic-relation:0219c2523baedbad724f0b46	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:77c9f84bd61df1c1da201071	semantic-relation:04c293a37f154de39e061dc8	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:def93e942b9cfdfe8a7a5e4c	semantic-relation:05bbaa1f75ff00fdb64b2dc9	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:8aca719351a8cd724cf68ec1	semantic-relation:070b7d760c00e8ef8c7de967	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:729bbbe0979e7251a307ab87	semantic-relation:0935d9e8548076a89dd92489	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:926ab2c8f1d7132a1560e6db	semantic-relation:0ad1f33433378711998619f1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:9d411e22aa6470ecf8f9e2f6	semantic-relation:0c1ebba1ac81db0b073dd0c3	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2505b48f73acc21e2f471c1a	semantic-relation:0cb9b11b2838facf58874cf0	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5ead38b9a7aa47e57b4b4ec4	semantic-relation:0de90656e9655c6483d21805	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:2aff5d17c202e76b8e767ebf	semantic-relation:1246f4a50040ac8dc51f7a38	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:5ee973e491b2ba7b4f13f76c	semantic-relation:13cd9abf61ed9f3a75eee4a7	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:426eb70b44303b187a6a738e	semantic-relation:13ce5a83ea47e76a964d062b	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:df9b21b16d07b2887b3365a7	semantic-relation:1619b5a663f09d105243baf3	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:a7c0a25501000708e7b78f25	semantic-relation:170221d580704015be10a2c1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:3e63c86e460a008f96eea07c	semantic-relation:171b72df3b3461cd3977387e	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:e6dfa00c6d45d2d80db1a5d6	semantic-relation:191f56fce40e8d79efe483b9	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:960dc08b6fa2f8c56188e56b	semantic-relation:192af97be3309d72dad490cd	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:255ab3e4516fc38b69deecf0	semantic-relation:1e536fc00e812cf842c41327	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:75489aa0ce6746b2642e7cc9	semantic-relation:2aa51fd21346c6c9bc325e4e	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:589076044ec2a0a85189b362	semantic-relation:2b959b948cde31631a3183c5	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:6a63d3a0983a621e5cf11cfc	semantic-relation:3115556fb8e8cf29b0aaa1fb	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:d7d5e03f48bead6492a149e2	semantic-relation:336c7df551166ad0986db1a1	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:4a4c5475cb72c96e071a447e	semantic-relation:36300eabdfb577f2e4ac9c0b	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:1f20917b8d2bb5b6e5dfc304	semantic-relation:39669f74eaaf1b2634010174	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:14317af227679050cf93933d	semantic-relation:39a2bf390809d7acc1c724cf	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
semantic-owner-review:43d34d2fde7e18979e8ba407	semantic-relation:3c2c39437b9cbab2c3e329a2	ACCEPT|REJECT|DEFER|REQUEST_EXPERT_REVIEW				
