cleaned_output_atom_id	descriptor_assertion_id	source_native_form_id	cleaned_form_id	cleaned_lexical_form_sha256	concept_cluster_id	mapping_state	canonical_concept_id	base_form_sha256	modifier_form_sha256s	component_concept_ids	normalization_authority	mapping_confidence	reversible_source_pointer	project_owner_reviewed	sensory_expert_adjudicated
cleaned-output-atom:f629662557e2fea8ab92eff7	assertion-b2:00027c1605fb6305bf2c86b0	source-form:c8b2fae9f5dc3c52c4e22332	cleaned-form:0467255695084cc12ffe0c55	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	concept-cluster:5faaae2d03369d3ceaca9e6d	EXISTING_CANONICAL_EXACT	sensory.plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99		sensory.plum	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:b1b601efe9dfb24fca650df3e48362ec275beae6494aca8ba96d7d2e0d2c4c92	false	false
cleaned-output-atom:d118d0a1e43779822dcc272a	assertion-b2:00034a1df3120a9fcc6a2bf6	source-form:f6c544f14cf432eb80745e96	cleaned-form:f6c544f14cf432eb80745e96	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	concept-cluster:6970ef28230d2f692599c38d	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	sensory.butter	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a			NO_GOVERNED_AUTHORITY	0.700000	hash:sha256:a600abfd7df3cc51f5d8d7d9302e6efd4fa4b0729aed696a88c8979e8214c3be	false	false
cleaned-output-atom:eb531e58209e8f47b29d0ac3	assertion-b2:0003d39d95eb41d207f4e8a9	source-form:aac7e89fcd0eec2dcec67332	cleaned-form:10e9f5602d2492b386b4dc75	10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	concept-cluster:7b24cfa797174a40bcf141a7	GENUINE_ONTOLOGY_CANDIDATE		10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a			NO_GOVERNED_AUTHORITY	0.000000	hash:sha256:68458d8913c539d9ec2c0e5c5f085f534c3a5d241c2355998fddffa5d5eebf68	false	false
cleaned-output-atom:c69c159bc2a46479c66572b5	assertion-b2:000417b681f08d9c0a925254	source-form:c8b2fae9f5dc3c52c4e22332	cleaned-form:0467255695084cc12ffe0c55	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	concept-cluster:5faaae2d03369d3ceaca9e6d	EXISTING_CANONICAL_EXACT	sensory.plum	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99		sensory.plum	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:5e33d733b8a44d7c29f53a9e25ec4a7c0cef895a03fdc858f55b0147218f2719	false	false
cleaned-output-atom:b3ceae88b1a10984adf3bc13	assertion-b2:000467bc304734688ddb4946	source-form:d9f525e184730d9bfbc27653	cleaned-form:206b5ec743f4c4871bc45ea8	206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14	concept-cluster:81a24d950a1fd3dcf6337854	GENUINE_ONTOLOGY_CANDIDATE		206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14			NO_GOVERNED_AUTHORITY	0.000000	hash:sha256:aca579ef32b078865bf518c21e038fba5dcb7bd056153005ecdb451b2fa5fee9	false	false
cleaned-output-atom:a23e5516ccbb89f5ebe2255e	assertion-b2:0006dfde570ee97fad329164	source-form:b715bbab59100e93b0174122	cleaned-form:5a0e41ccb2772cccff26fa42	5a0e41ccb2772cccff26fa42e821bb81f43f5cecddbb7ffc9106df783563dc9a	concept-cluster:05a9641d70d85a03db2a3a15	UNRESOLVED		fced42d100c52e80f4adae4085c9af5ca730ff9b6d9e099638771500f506a9e9	fc66f021c67d064c1490a12b5a4d4d2f5167ca692a16ca12f1f3a4cda29a6fa9		NO_GOVERNED_AUTHORITY	0.000000	restricted://post20k_extension/assertions/assertion-b2:0006dfde570ee97fad329164	false	false
cleaned-output-atom:1f4d29872dca2845c9c06410	assertion-b2:0006dfde570ee97fad329164	source-form:b715bbab59100e93b0174122	cleaned-form:b9043c16af362f30807deaf6	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	concept-cluster:527fc2be53e4a1f199e90a03	MODIFIER_OF_EXISTING_CONCEPT		b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	sensory.sweet	NO_GOVERNED_AUTHORITY	0.900000	restricted://post20k_extension/assertions/assertion-b2:0006dfde570ee97fad329164	false	false
cleaned-output-atom:3dc85bbb50ae4a8fa4ba8384	assertion-b2:00071e1faee1d91f1f6045af	source-form:dce34e094109d0c0e096b1c3	cleaned-form:dce34e094109d0c0e096b1c3	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	concept-cluster:d2f7359bb44630f029238163	EXISTING_CANONICAL_EXACT	sensory.dark_chocolate	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8		MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:ca702dc9441e70c59b8c72619213e6e92bf49b1a3c585671df1bc8ebda440dbb	false	false
cleaned-output-atom:7223e7a4a2c1ef07bae98df0	assertion-b2:0008b23298aad41e184dea36	source-form:0237742265ea9ac1dba0afa9	cleaned-form:0237742265ea9ac1dba0afa9	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	concept-cluster:5bc504363d2cdbeeb3e0f34d	EXISTING_CANONICAL_EXACT	sensory.salty	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84		sensory.salty	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:f423106fd36c6cc8a749099941bc4513db7377154e15155e6df12615f1d78ead	false	false
cleaned-output-atom:db76a48f5eb373bb5a82deca	assertion-b2:000953e5e639232de557ebf6	source-form:90e62b92a956add6e1c3871b	cleaned-form:90e62b92a956add6e1c3871b	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	concept-cluster:dac57ccd680e685c77c774ec	EXISTING_CANONICAL_EXACT	sensory.almond	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc		sensory.almond	MACHINE_GOVERNED_HIGH_CONFIDENCE	1.000000	hash:sha256:8cbadabdc7f8858521748aacc91471082a3bcbe56d052059196812a973e98d8c	false	false
