concept_cluster_id	cleaned_form_count	cleaned_form_ids	source_native_form_count	source_native_form_ids	source_languages	semantic_classes	base_form_sha256s	modifier_form_sha256s	component_concept_ids	existing_canonical_neighbour_cluster_ids	canonical_concept_ids	mapping_state	mapping_authorities	assertion_support	effective_record_support	coffee_sample_support	source_family_support	source_family_ids	publisher_support	year_support	year_ids	gold_support	silver_support	bronze_support	rights_distribution	review_priority	human_reviewed	sensory_expert_adjudicated	reversible_to_source_assertions
concept-cluster:0009e04da990e3891cf0690a	1	cleaned-form:9093f2bb8d45a4d70a44fdf5	5	source-form:4f1b3e0c66a8beef0d1c7b7d|source-form:5370ee86ff409a7f69c9af68|source-form:9093f2bb8d45a4d70a44fdf5|source-form:e2b26a09da95d2ea0505847c|source-form:e43deaeba6549b70b2a0a524	UNREPORTED	STRICT_FLAVOR	9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe					AMBIGUOUS_CONCEPT_BOUNDARY		130	79	79	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	2	6	year.2008|year.2009|year.2018|year.2024|year.2025|year.2026	110	20	0	AFFIRMATIVE:110|UNKNOWN:20	410	false	false	true
concept-cluster:003ef14842224757ed0f2b64	1	cleaned-form:7eabf66af90e140112977c43	1	source-form:7eabf66af90e140112977c43	UNREPORTED	STRICT_FLAVOR	7eabf66af90e140112977c43730d9cd087c60c7f3529a7957ebe744a3f2e642c					CROSS_LANGUAGE_REVIEW_REQUIRED		3	3	3	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	3	0	0	AFFIRMATIVE:3	183	false	false	true
concept-cluster:004d28a6a9be49e56120a1d8	1	cleaned-form:e91c254ad58860a02c788dfb	4	source-form:11a3360656adc278501a3547|source-form:54185daeef2f12f22d74b91b|source-form:ccbc72775f155f726acf7a31|source-form:e91c254ad58860a02c788dfb	UNREPORTED	DEFECT_OR_NEGATIVE_SENSORY	e91c254ad58860a02c788dfb5c1a65d6a8846ab1dc649631c7db16fef4af2dec					DEFECT_CONCEPT_CANDIDATE		10	10	10	2	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers	2	4	year.2013|year.2017|year.2024|year.2026	1	9	0	AFFIRMATIVE:1|UNKNOWN:9	210	false	false	true
concept-cluster:0081ee2a98a4549ffb6a6d59	1	cleaned-form:d364aba6dd82279412f93d26	1	source-form:f66793edcdfcf6567c0f4430	UNREPORTED	NON_DESCRIPTOR	d364aba6dd82279412f93d26ac4fe05074472583922543e367c08c2b22573bcc		sensory.caramel|sensory.lemon|sensory.orange|sensory.plum	concept-cluster:06f67cbeba73d9732663b7fc|concept-cluster:3c31ec2bbf2411dde9f849eb|concept-cluster:7424e06fa788dd22fbaf4816|concept-cluster:c87d3f24065a3faa6c5c759d|concept-cluster:d8886ae3d768f0a5061b29f3		NON_DESCRIPTOR		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2024	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:009e8497e7647074bf98857b	1	cleaned-form:f21b05f2214b81093bfdbb6c	1	source-form:f21b05f2214b81093bfdbb6c	UNREPORTED	STRICT_FLAVOR	f21b05f2214b81093bfdbb6c757fea2d373b636fac8a9c2d39bc1848e513128f					GENUINE_ONTOLOGY_CANDIDATE		6	6	6	1	family.zenodo_golovinsky_q_grader_dataset	1	1	year.2026	6	0	0	AFFIRMATIVE:6	106	false	false	true
concept-cluster:00b6dba447ce4c22d6cce642	1	cleaned-form:fe2c46884b1ebaac1038e4c3	1	source-form:10f4f3c6a51ddae5e51e00bc	UNREPORTED	STRICT_FLAVOR	fe2c46884b1ebaac1038e4c38771b2cc4afb0651e372d8ad94cd324152929bc3					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.ace_cup_of_excellence	1	1	year.2023	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:00c5baa2554928a6639d5c22	1	cleaned-form:8bb6df0051b62928d600619a	1	source-form:75223f7d73dd3ec471655221	UNREPORTED	STRICT_FLAVOR	8bb6df0051b62928d600619a5d83546178e439a86847572c956dee4e76f6a87e					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2023	0	1	0	UNKNOWN:1	101	false	false	true
concept-cluster:00f75f563873b27da7d56714	1	cleaned-form:5a9fee2cb0e686d7d9022dfc	3	source-form:472c8c9800f7947103a0c937|source-form:5a9fee2cb0e686d7d9022dfc|source-form:8551b08bf690a4101aa11cc8	UNREPORTED	STRICT_FLAVOR	5a9fee2cb0e686d7d9022dfc72ccb160d533c668059d1acfcf5da53d517f2d46					GENUINE_ONTOLOGY_CANDIDATE		9	9	9	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	2	7	year.2014|year.2015|year.2020|year.2021|year.2023|year.2024|year.2026	1	8	0	AFFIRMATIVE:1|UNKNOWN:8	209	false	false	true
concept-cluster:01299d70361219a8b31dda3a	1	cleaned-form:606c17d06c74b636052f5725	1	source-form:eb77c0abce8ba9ef51842617	UNREPORTED	STRICT_FLAVOR	606c17d06c74b636052f57250001df49846fac34430f8ff629e3d320e87e4532					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.ace_cup_of_excellence	1	1	year.2023	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:0133115df9ecc2f5de01021b	1	cleaned-form:14730e32a63bba55c341e109	1	source-form:14730e32a63bba55c341e109	UNREPORTED	STRICT_FLAVOR	14730e32a63bba55c341e1092c60a3cda1ea31262a5c24c29272410099b65065					CROSS_LANGUAGE_REVIEW_REQUIRED		1	1	1	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	1	0	0	AFFIRMATIVE:1	181	false	false	true
