cleaned_pair_id	left_cleaned_descriptor_identity	right_cleaned_descriptor_identity	record_unique_pair_event_count	effective_record_support	year_support	source_family_support	zenodo_sample_consensus_pair_event_count	maximum_single_record_contribution	pair_counted_as_source_assertion
cleaned-pair:615be686bb7873064b745525	cleaned-form:00211591ce366b871a8d3851	cleaned-form:12fad53d7ead16e0de5e2f4e	1	1	1	1	0	1	false
cleaned-pair:7659e4bdfb0bac31c1b35e45	cleaned-form:00211591ce366b871a8d3851	cleaned-form:16483ee69d87406099474176	1	1	1	1	0	1	false
cleaned-pair:1a4b5c821f64318f7c9abf0d	cleaned-form:00211591ce366b871a8d3851	cleaned-form:510e9cd005e362235259c1db	1	1	1	1	0	1	false
cleaned-pair:7ba131e53668368447b6eaa2	cleaned-form:00211591ce366b871a8d3851	cleaned-form:913a4cb91be20332f3559f80	1	1	1	1	0	1	false
cleaned-pair:911e4ca40811ee09fa0f6022	cleaned-form:00211591ce366b871a8d3851	cleaned-form:918f112d100d00dec359dcf5	1	1	1	1	0	1	false
cleaned-pair:c2c388bab58261a1454ef3b3	cleaned-form:00211591ce366b871a8d3851	cleaned-form:98a4f7655958a385a0667bad	1	1	1	1	0	1	false
cleaned-pair:f22591c91efcdb9e90a702c2	cleaned-form:00211591ce366b871a8d3851	cleaned-form:ccfbf54a16301979086b9893	1	1	1	1	0	1	false
cleaned-pair:135f2c387ebd1a729e98f416	cleaned-form:00211591ce366b871a8d3851	cleaned-form:e4afc00c203159704e8a809b	1	1	1	1	0	1	false
cleaned-pair:2967b02d251fe44cf40fb05b	cleaned-form:00211591ce366b871a8d3851	sensory.black_tea	1	1	1	1	0	1	false
cleaned-pair:696160eb195eeb521089d47c	cleaned-form:00211591ce366b871a8d3851	sensory.brown_sugar	1	1	1	1	0	1	false
cleaned-pair:80ad69af11d11df250837401	cleaned-form:00211591ce366b871a8d3851	sensory.cherry	1	1	1	1	0	1	false
cleaned-pair:ce0aeaad793db534446a4960	cleaned-form:00211591ce366b871a8d3851	sensory.dark_chocolate	1	1	1	1	0	1	false
cleaned-pair:a73e5c911b961a5acb232931	cleaned-form:00211591ce366b871a8d3851	sensory.grape	1	1	1	1	0	1	false
cleaned-pair:5433afa1be3163b02c7c65f5	cleaned-form:00211591ce366b871a8d3851	sensory.honey	1	1	1	1	0	1	false
cleaned-pair:5b163cd88e77e139ef3360f4	cleaned-form:00211591ce366b871a8d3851	sensory.plum	1	1	1	1	0	1	false
cleaned-pair:25cfbdbf5809d8a09ab78c38	cleaned-form:00211591ce366b871a8d3851	sensory.vanilla	1	1	1	1	0	1	false
cleaned-pair:bd581bb4ea05f3d31df76421	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:0251056a425aa4d1df2e3b28	1	1	1	1	0	1	false
cleaned-pair:390d96e432e6d713c49fbec3	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:2efe147f807a984572e45054	1	1	1	1	0	1	false
cleaned-pair:5818248eff59ea33b60ff407	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:4e10a4fb82b2a3dd638f3c70	1	1	1	1	0	1	false
cleaned-pair:4ae7c77c7c726fd87dbabcad	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:57f64f1b45572420f70df635	1	1	1	1	0	1	false
cleaned-pair:43f781077f04d94903dd3f9e	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:5c17109d20746ad75bc1bb9d	1	1	1	1	0	1	false
cleaned-pair:637c62434430dbf76766ffa9	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:76fd2a4d87b7b3c5f8500227	1	1	1	1	0	1	false
cleaned-pair:2f66f374ecfd85e808c7abac	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:7d108ddb9255c7f990a9ec23	1	1	1	1	0	1	false
cleaned-pair:f77912e5d0e3e11fadc05132	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:92585bfe24e3f8d73f47b2ed	1	1	1	1	0	1	false
cleaned-pair:ce82a9338238fd8b9d7fccd6	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:a22448c5e38291197e0ac879	1	1	1	1	0	1	false
cleaned-pair:ed3f425835dbba62a135b337	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:a87b3e348ccb598ecb71bb83	1	1	1	1	0	1	false
cleaned-pair:1991c8033e782099fea33bec	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:bbd0cfbe5302a34222fc064f	1	1	1	1	0	1	false
cleaned-pair:5239abb2a4208f62ad80212e	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:d49180f47d2bee04ca53bbe6	1	1	1	1	0	1	false
cleaned-pair:b72c57293e1ed14cbd0ab625	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:d6a371448221ad3ccf146322	1	1	1	1	0	1	false
cleaned-pair:2c394991a29f8c369f7bb17c	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:d776f7cf4e43af5c0bc12b56	1	1	1	1	0	1	false
cleaned-pair:df30ae110f8a15f443410d4d	cleaned-form:0035449412680c15d2fcd33c	cleaned-form:f8e8580ad515d083e68abe24	1	1	1	1	0	1	false
cleaned-pair:e39f559075f1cf0b11af4808	cleaned-form:0035449412680c15d2fcd33c	sensory.apple	1	1	1	1	0	1	false
cleaned-pair:eb23e338cda5bd6f50949cb3	cleaned-form:0035449412680c15d2fcd33c	sensory.brown_sugar	1	1	1	1	0	1	false
cleaned-pair:42730f59a6adf7eb4abb52c7	cleaned-form:0035449412680c15d2fcd33c	sensory.caramel	1	1	1	1	0	1	false
cleaned-pair:e248181cacfefb82e89f8124	cleaned-form:0035449412680c15d2fcd33c	sensory.chamomile	1	1	1	1	0	1	false
cleaned-pair:5e9b6df305690e4a37d23710	cleaned-form:0035449412680c15d2fcd33c	sensory.jasmine	1	1	1	1	0	1	false
cleaned-pair:f9ba21e482bcb62489804f14	cleaned-form:0035449412680c15d2fcd33c	sensory.lemon	2	2	2	1	0	1	false
cleaned-pair:606edb8c9af34f6a3cb97dd3	cleaned-form:0035449412680c15d2fcd33c	sensory.lemongrass	1	1	1	1	0	1	false
cleaned-pair:71a91c0ecdc53770a08cc7d6	cleaned-form:0035449412680c15d2fcd33c	sensory.lime	1	1	1	1	0	1	false
cleaned-pair:51ed4cba8bc2e4761380028e	cleaned-form:0035449412680c15d2fcd33c	sensory.mango	1	1	1	1	0	1	false
cleaned-pair:225a9346275a0e11cdd28eef	cleaned-form:0035449412680c15d2fcd33c	sensory.molasses	1	1	1	1	0	1	false
cleaned-pair:ec9958ee67333d322716ba66	cleaned-form:0035449412680c15d2fcd33c	sensory.orange	1	1	1	1	0	1	false
cleaned-pair:5e60bf861d856bb03af78d98	cleaned-form:0035449412680c15d2fcd33c	sensory.peach	1	1	1	1	0	1	false
cleaned-pair:86266c02718efc8d0795efd7	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:035f9b78b596c80e5f898dcd	1	1	1	1	0	1	false
cleaned-pair:9f87d413acd6218e3c796fec	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:08eaf2eb210725b39f463a45	1	1	1	1	0	1	false
cleaned-pair:d5a8d60d86025461f4fcee53	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:0a74f3353673c6f25d8e5154	1	1	1	1	0	1	false
cleaned-pair:19374eb1f783c3b4734dfe64	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:0ca392b17b6904a3b0b33bc1	1	1	1	1	0	1	false
cleaned-pair:7c3475c73f81328666d71b5d	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:10e9f5602d2492b386b4dc75	1	1	1	1	0	1	false
cleaned-pair:c2f1ba8e20685ac36ad0abd7	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:1220e192481b60ee7b4a3005	1	1	1	1	0	1	false
cleaned-pair:da73274a0b595ae7b8b331fc	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:12fad53d7ead16e0de5e2f4e	1	1	1	1	0	1	false
cleaned-pair:435fbb9dc6cf222bc8cd1fc0	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:1677112c8186198e20d6aeb2	1	1	1	1	0	1	false
cleaned-pair:a1bb2f8c071ccd9f9ac296b5	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:2a4796d53a1ec4dd67daa38b	1	1	1	1	0	1	false
cleaned-pair:20bf672f3042e838663a046b	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:2e7d20bee3bf8af806bf8141	1	1	1	1	0	1	false
cleaned-pair:12cb8958770eb29480038ac6	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:2efe147f807a984572e45054	1	1	1	1	0	1	false
cleaned-pair:d4182d598ceef9b8ab253361	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:315600a556a5376ebaeccc4a	1	1	1	1	0	1	false
cleaned-pair:5e64dcb245951570e04730a7	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:32cdb619196200050ab0af58	1	1	1	1	0	1	false
cleaned-pair:e1c4ed61751ce5be52f6a874	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:3318c8ea66198cdcd16f6800	1	1	1	1	0	1	false
cleaned-pair:1478169658e8c7862a7bde58	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:352f4bbda7934ab3d37850ae	1	1	1	1	0	1	false
cleaned-pair:4f80515de080fe0efa7e3147	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:3609eddbc36b1a391389f1d1	1	1	1	1	0	1	false
cleaned-pair:a528a2128a3642dfefd9b42c	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:4943e60532825f98c4c80c00	1	1	1	1	0	1	false
cleaned-pair:a3f5f2c2286bbb7d2a0ea9d7	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:4c591c30afa436056d0d5936	1	1	1	1	0	1	false
cleaned-pair:47eff6ec84c351f10e7e3dae	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:4d1608c849f1a4968565d501	1	1	1	1	0	1	false
cleaned-pair:271cd3d61113fe3283fc37d7	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:4f682b71153ffa91e608445d	1	1	1	1	0	1	false
cleaned-pair:9e689f658618ec92116ec768	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:50717f32c5e6289ec1015ff4	1	1	1	1	0	1	false
cleaned-pair:5b85ecdfc9037b616ffe6d70	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:545ce787c410276d227955b0	1	1	1	1	0	1	false
cleaned-pair:4b3c1030e2922f6fd7aeac12	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:54c9e847ed79c5c2d4a4b323	1	1	1	1	0	1	false
cleaned-pair:3a9594ce515d35430885ccaf	cleaned-form:007b30c58c7ec5cddea593e6	cleaned-form:5a9fee2cb0e686d7d9022dfc	1	1	1	1	0	1	false
