segmentation_group_id	effective_record_id	source_family_id	publication_layer	source_field_label	source_locator	raw_field_text_or_restricted_pointer	raw_field_text_sha256	first_pass_atom_count	first_pass_atom_sha256s	cleaned_atom_count	cleaned_atom_sha256s	segmentation_decisions	minimum_segmentation_confidence	decision_basis	review_requirement	segmentation_reversible
segmentation-field:0f13adccad99216f3f376055	effective-b2:00422f3943ff08e03324369e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	hash:sha256:4e9b42d6e43c55cb8c20876a814559b3182a19cd6ab21d255bc6cd2f1c40e262	4e9b42d6e43c55cb8c20876a814559b3182a19cd6ab21d255bc6cd2f1c40e262	9	12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0|28d3c517436c34ae3ac9d96427245a3b1fc01c6226321a12e4372ff41a636c42|3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b|4d1608c849f1a4968565d5019e500b9c3541f654c33ac9d096b610d27229499c|85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265|abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f|e97407735e49029c96e5708c724fc9ce57b6335dba804a893320fcb7c0a07953|f5b3c3b8363b7597c80d21f894d7d93a115a925b82f4c7579bc1edd9a898dc15|fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c	9	['12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0']|['28d3c517436c34ae3ac9d96427245a3b1fc01c6226321a12e4372ff41a636c42']|['2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e']|['3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b']|['4d1608c849f1a4968565d5019e500b9c3541f654c33ac9d096b610d27229499c']|['85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265']|['e97407735e49029c96e5708c724fc9ce57b6335dba804a893320fcb7c0a07953']|['f5b3c3b8363b7597c80d21f894d7d93a115a925b82f4c7579bc1edd9a898dc15']|['fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c']	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:530f33a7a395cd62f7fb695f	effective-b2:00422f3943ff08e03324369e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	html:item-attr=Acidity;index=3	hash:sha256:a3e913b6419ccfcb03c1b91e2784deaa439955d1c82835c3d690130012205fe7	a3e913b6419ccfcb03c1b91e2784deaa439955d1c82835c3d690130012205fe7	5	0b61ac5d9426518ad7908a62037255c6881f9a5fa404ef3b99c24baa2111a174|36b481152ba40f4eec67cb63e9f1ad785c164e0fcabda0d296ba956c64e0380f|a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8|a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8|f944444c1d90397d96a0745389714d0b503f4a108b9af83bdcfb0ab444afae56	5	['0b61ac5d9426518ad7908a62037255c6881f9a5fa404ef3b99c24baa2111a174']|['312509a22b3ff5bb91046a9ef60b4a5dfc726862b3d63ba2da55bcc9ba0c85fb']|['36b481152ba40f4eec67cb63e9f1ad785c164e0fcabda0d296ba956c64e0380f']|['a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8']|['a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8']	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:693717289092d8623e2cb82f	effective-b2:00422f3943ff08e03324369e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	hash:sha256:d7575a2ba5663755029969750dcb22b0e38ef71a328d321b87c40161957c3158	d7575a2ba5663755029969750dcb22b0e38ef71a328d321b87c40161957c3158	1	d7575a2ba5663755029969750dcb22b0e38ef71a328d321b87c40161957c3158	2	['d6a98598212ed729f5b9a4d1b7ff4dcc1341bbfc740993325b9107298521422f', '3bafc5c90cd5ac43ef85c2fa386682d17cb5e2eec5bc8d9ac966e6dc16b6c4b8']	SAFE_LIST_SPLIT	0.960000	BOUNDED_COORDINATION_RULE	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:669755520b82063d37cb21f3	effective-b2:00978766a6c58a160fd5bd2f	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	hash:sha256:5def83fa7d95063396717b1ced86d6c8abda611d3d8e18ddb720119f75a5bdd9	5def83fa7d95063396717b1ced86d6c8abda611d3d8e18ddb720119f75a5bdd9	4	0035449412680c15d2fcd33cbdd40e1a361e042d49f718026561045e820bf5ac|57f64f1b45572420f70df63573f4b115970951a20723cd4e8371d88e13dbcea2|71d6a37fa41aba8789868f45be4dfa89f0ad81e93aca9e8b8f1be8abba972ca4|f8e8580ad515d083e68abe24130cf982030495f1bccfb391dcb75e9615cde6f7	4	['0035449412680c15d2fcd33cbdd40e1a361e042d49f718026561045e820bf5ac']|['57f64f1b45572420f70df63573f4b115970951a20723cd4e8371d88e13dbcea2']|['71d6a37fa41aba8789868f45be4dfa89f0ad81e93aca9e8b8f1be8abba972ca4']|['f8e8580ad515d083e68abe24130cf982030495f1bccfb391dcb75e9615cde6f7']	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:9da9ac5f058a22a3d4253b75	effective-b2:00978766a6c58a160fd5bd2f	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	hash:sha256:7bbd5196a613625eed1e401923e88642a3b131de9e3df1c233a8a2de9d4745e7	7bbd5196a613625eed1e401923e88642a3b131de9e3df1c233a8a2de9d4745e7	10	2c74f1d403db57213c16ee769f0384859830f0499cc08d92d37407e6eb55c33e|6815f3c300383519de8e437497e2c3e97852fe8d717a5419d5aafb00cb43c494|6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f|76fd2a4d87b7b3c5f85002272f6180f0bf4a5bf90ba3a96e614c548b64612982|85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265|92585bfe24e3f8d73f47b2ed72d1e0174754f9f658325f9cea4eef18cafee142|abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4|cbbd23cc32c5016b0017c4ec7a98cc82fda6edbaeccf27d72453006067d821cd|d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b|d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2	10	['2c74f1d403db57213c16ee769f0384859830f0499cc08d92d37407e6eb55c33e']|['6815f3c300383519de8e437497e2c3e97852fe8d717a5419d5aafb00cb43c494']|['6d1c5859550824d403d8c31af9ac673b7ba206e6f87e61e096a017299f74d63f']|['76fd2a4d87b7b3c5f85002272f6180f0bf4a5bf90ba3a96e614c548b64612982']|['85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265']|['92585bfe24e3f8d73f47b2ed72d1e0174754f9f658325f9cea4eef18cafee142']|['abe10a7b1ab725a978ccf7e84f2b60cf1d24717c819664a46569099a88e57bc4']|['cbbd23cc32c5016b0017c4ec7a98cc82fda6edbaeccf27d72453006067d821cd']|['d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b']|['d776f7cf4e43af5c0bc12b5634fa50843c0158263f1552540447d3e28e7528a2']	KEEP_AS_ESTABLISHED_COMPOUND|KEEP_ATOMIC	0.920000	GOVERNED_BATCH3_COMPOUND_ALLOWLIST|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:f41856eaa9aeb2986f1c2066	effective-b2:00978766a6c58a160fd5bd2f	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	html:item-attr=Acidity;index=3	hash:sha256:d4084a4538538f7a4c4f7ea65d5f9afe55f8098731f1ab73a0dd5c8157b71edb	d4084a4538538f7a4c4f7ea65d5f9afe55f8098731f1ab73a0dd5c8157b71edb	8	0251056a425aa4d1df2e3b2819cec06d8b94ede333b71777a06e92e8128dd912|2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b|3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b|5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944|a22448c5e38291197e0ac8792eac62e11c70066d1cbdfa2d10d82d02b36388b4|d098ab5e44b9aabb755f76d806598f43573c662b35e4a2eab1e312ec9ad195e2|efbaa8cbfffc1af3afcf8082a3732e4d5111104ae3f6ef8b2545975e50497505|f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	8	['0251056a425aa4d1df2e3b2819cec06d8b94ede333b71777a06e92e8128dd912']|['2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b']|['3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b']|['5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944']|['a22448c5e38291197e0ac8792eac62e11c70066d1cbdfa2d10d82d02b36388b4']|['d098ab5e44b9aabb755f76d806598f43573c662b35e4a2eab1e312ec9ad195e2']|['efbaa8cbfffc1af3afcf8082a3732e4d5111104ae3f6ef8b2545975e50497505']|['f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7']	KEEP_AS_ESTABLISHED_COMPOUND|KEEP_ATOMIC	0.920000	GOVERNED_BATCH3_COMPOUND_ALLOWLIST|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:bd0eb5a003db556fa8481c3f	effective-b2:00f47bf92e37dd6fb813393e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	hash:sha256:42631c128c1e31d20170fcc9b1cbe78ee986d46afa8cf1d0b20e72314add0bc2	42631c128c1e31d20170fcc9b1cbe78ee986d46afa8cf1d0b20e72314add0bc2	6	013da4c1f43be3f8cec09753665921773bb490c443f45945268bdac1f88f7070|0bb2f1d4a251d454cf0847ee77fea019ba7c3184664f47b538b7bba88097e27a|62a622ba100bbae0a9f0622ca004cbf4cab03e9ac803a3d4685a90362f3084eb|7af135fd108713fb9d61ff1be003c46a67e9fafc528804a3e9237afb6a4b51aa|d070fcd7d0f136291ddbd579c5195e17873ebbc45c57f1df860af8c100abf6f7|d5fab6d3de1d6a40c11a2e92f11e78b1656cd09dee7a63f4623906694ff0e3ff	10	['0f151919b9ea8540476cb1e7aaff8c39ffffe133e74eb3162aba2f01e6a71438', 'fc66f021c67d064c1490a12b5a4d4d2f5167ca692a16ca12f1f3a4cda29a6fa9']|['48fb71763d97b54b752aa17694977d1f87c7707415f25ab63ac2ea2495347ae6', 'fc66f021c67d064c1490a12b5a4d4d2f5167ca692a16ca12f1f3a4cda29a6fa9']|['7e73b026cfd1b008c5580cc3d1d65bf7e59e70f8fd934508c40ad473835ea22a', 'ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76']|['8286ee4ea8f54f0276bcd4a125de6fd38a58534eebe24df396f05febeee3a91a']|['b2dc5ac0a8657215a12b481eb1719251a8c7e823c2a5e8f46e118205f30f1409']|['e9100be0e46f2c62a43cc891557d722d6056e98914649ff3bad2a2f96e4a7f4a', 'e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8']	HEAD_PLUS_MODIFIER|KEEP_ATOMIC|SAFE_LIST_SPLIT	0.920000	BOUNDED_COORDINATION_RULE|LEADING_MODIFIER_PRESERVED_SEPARATELY|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:f7911f5728400dbbfcae54c2	effective-b2:00f47bf92e37dd6fb813393e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	html:item-attr=Acidity;index=3	hash:sha256:7b193d96e17b848e727756938d65f81cd823ccbff7ae96459cc8fc2ad97b218d	7b193d96e17b848e727756938d65f81cd823ccbff7ae96459cc8fc2ad97b218d	7	187c72ec86f86dce08f40e7a79a59a7e62efcc01b4946e3280b9857723332557|7a540e19773e0f0454fa2b317b20ccb5bb0180e69ecc448dfcb607b227a393a2|816e742daeb19d24712ffe96fbb8c7bda3ea424605d94db922073e0d5ddf9cc1|ac916c844aae22048e466fe25d3c47c433bddd8abaffe83be909f9ea93afb00c|ac916c844aae22048e466fe25d3c47c433bddd8abaffe83be909f9ea93afb00c|bfa5cf4d471a15c09ab6490492815ba85207a0a5258c1b304cec748159b922ab|df4c335fa54c570c1df9ca7be61c3e189654c4a9648f800c5fc589f600e0e937	9	['07001e8089072aa27db4ede1eb5521b5cf152c8928f88f70bf3129db87b39f6d']|['66e8df28d9fc8e09ed0f9485d3a3109cc16c3e47876dcce941b7fc62b7daab34']|['7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748', '939cdab24ab8e2507ed87ced1fc8c119a04255d1767de1ab72c005300747df3b']|['7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748']|['7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748']|['939cdab24ab8e2507ed87ced1fc8c119a04255d1767de1ab72c005300747df3b', 'b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d']|['fb72c27bd9a59cdc95c9c379ab5eecbb2c05007dae63a47b782ef56825958637']	HEAD_PLUS_MODIFIER|KEEP_ATOMIC|SAFE_LIST_SPLIT	0.920000	BOUNDED_COORDINATION_RULE|LEADING_MODIFIER_PRESERVED_SEPARATELY|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:fd0f7095138105e77e329000	effective-b2:00f47bf92e37dd6fb813393e	family.ace_cup_of_excellence	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	hash:sha256:d64792fef7037decd54642d1f6722daa16f4e21aa8ce5e9e9eacbc50eca2b55c	d64792fef7037decd54642d1f6722daa16f4e21aa8ce5e9e9eacbc50eca2b55c	21	193e5e1cb2367d43d35155afb6af96cb40f76dead96873f853562e62e789c7d7|2595882f54e531dd2327991dc158fb5b752062ba0224356c71ce3c5a14756f78|2b1f3f0b7afa26e4a824521353a48880a0dbb7c6f7a371056fbde0c6ee03f407|387fe3ba020da494f6b919b38f5af6690effc79ed9108c9dee7956db9e269281|43406ca736720fe9e93cc6d9d5d886e9672ce4ba0354a8f87b70a9a935c3684e|527859c0ad13e24ca8c9b65edd36de55aaf1b66a5c4a1419865a5e77a9447184|7e3183f995fa27bdf0e8dd002692545acd93e62de61c3a7026e1989e5ee566c8|80421e0021c50527f28a00a856c834752d5ce3d3071e2c02a00479301975b81b|a223387d250668d1584f9c2ec4df11bfc827ec4918121f3c7de773af1dfc5fdc|abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f|abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f|b05499af697f339a573aad3a35319bd00d7d3dd18a0de1de0d0be8ea2a527ca1|c87d397d764986aa8579420e0aa9b52b19e60dc500f44a4c8afdac95a10db5a6|c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1|cb2ad2f5b06e067fb1e9b486940743520b8a6807944cffa2f3df40c2572c4684|cb2ad2f5b06e067fb1e9b486940743520b8a6807944cffa2f3df40c2572c4684|d4b33a2e35eb8b5cfdbbc851299d03a0007afb1b26aa324019204dda24cda778|dca40757d00d1d85634daa896b0947fc9ef6033fad5a09340c6dd555094f826d|def8407abc1350991d17dd43ffa44761407c406ec9f1a09508cbc6066b1dbbca|ef2a28f03f6eafb0fe030794be2c6714d743f2b28e13b40d022393a0debfaa9f|fe44e8aa82aba92c9d679a6181a608c7ab555d1c9ea0faadcc8da332847053bf	21	['0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99']|['13cbbf995f33eace50efaf52893e23ed473139426576d123a62179fc92d632ef']|['1ad25926af75be80d80a6551f4a80010e7436f774874de6d96a05b61d61493da']|['1ff0938846474bffb82fe6f107422337fd051c1191c9cc3584854fbb1501b276']|['2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e']|['2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e']|['550b8ce3d164393f314eb1ba5a8cc74face29b90f9c94242c7182c448aa6a4c1']|['57f64f1b45572420f70df63573f4b115970951a20723cd4e8371d88e13dbcea2']|['73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9']|['740d9472155d310672c71c284d4b91e751b93f8f0a5a3ed9ee01b30f204bf0a8']|['85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265']|['85f0003242fa30484a1ed830c0f74f7a552a97080d155a4f9bf1734dfd86c0ba']|['98a4f7655958a385a0667bad61bac1b10f31df5f39eb57e06527dc1949acaf18']|['a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a']|['a7ec7f3ae09187df17173620620eb2f2c8a175fe0d6da5221c1109d26f8e29a5']|['b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c']|['c0e5eb15b27d73702d8c713b2eed118c8c4e06ea49fbd878bcff91037b1325a0']|['dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be']|['dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be']|['e13fb53a594fa513afc34fa78b2353690e85fe1ad7414857c99ccfb97c818251']|['e4e1d29fb4cd4b169280068d66e9e5e5c26bed974b53b497d8ea22a4b4025b48']	KEEP_AS_ESTABLISHED_COMPOUND|KEEP_ATOMIC	0.920000	GOVERNED_BATCH3_COMPOUND_ALLOWLIST|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
segmentation-field:50bab57d2c24dbf23383ad9f	effective-b2:0178a01cf1fd3deaafb938ee	family.project_origin	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	Cupping Notes	html:table-row=16;field=Cupping Notes	hash:sha256:c4e810813d574518ffd70b22e530d6d3b04c7fefff50a9c7d2edc608f5d1512a	c4e810813d574518ffd70b22e530d6d3b04c7fefff50a9c7d2edc608f5d1512a	9	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544|01e7c30f7fec479d601b6df8751fece184fdca5327204120f3a5ca0934f98cc5|a25d1a567e4cff8c668e65d4772f56b7d6beb84df661ee1dfd6f07d29da176d8|b3f81d93ef6e7cdaed52d412dffa423519229f3ec2d341d8447995eb08c537d4|c6a8724097f4a7baa3e4338018aacf7ead4d1398409a0e73350bae64d2417729|cd75063b613ddfc661b8908ea0f8736305baffb7b641ccb06c0a67638905a703|d1d87c4717d527df59122a54b04e0ee2768770815d1482e0839e861d6b0575f1|e8067a7fca4ed6678a15aaf5f7129fde2c36c7e43d5f7c7a7c6173c8ffbbb6c2|f8c7eb1abbebeaee7f20c7d8e8c4998ead39b330684102e0c29ad427274f026e	9	['3016569586e87e9985643c40d0b1372e43d286e64a5d5f04473d3013430b4f98']|['7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509']|['7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c']|['907b33786620a78605e92bd31c679c0cc36b47ebca18049cbd4f32dcd0f97952']|['9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773']|['b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d']|['ea4b35e8f83279eab1e670e389d71201b360f291a0dc30c659ed708ac9c67d76']|['fc66f021c67d064c1490a12b5a4d4d2f5167ca692a16ca12f1f3a4cda29a6fa9']|['fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c']	KEEP_AS_ESTABLISHED_COMPOUND|KEEP_ATOMIC	0.920000	GOVERNED_BATCH3_COMPOUND_ALLOWLIST|SINGLE_SEMANTIC_ATOM	MACHINE_PROVISIONAL_REVIEW	true
