semantic_concept_node_id	concept_or_cluster_id	node_kind	canonical_ontology_auto_promotion
semantic-concept:concept-cluster:0009e04da990e3891cf0690a	concept-cluster:0009e04da990e3891cf0690a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:000f0d59fe2236c95919c3c8	concept-cluster:000f0d59fe2236c95919c3c8	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00176d98c056bbbaf8ad36b1	concept-cluster:00176d98c056bbbaf8ad36b1	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:003815596318bfdf617969db	concept-cluster:003815596318bfdf617969db	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:003ef14842224757ed0f2b64	concept-cluster:003ef14842224757ed0f2b64	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:004d28a6a9be49e56120a1d8	concept-cluster:004d28a6a9be49e56120a1d8	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00669f19b369616f35f7e64b	concept-cluster:00669f19b369616f35f7e64b	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:006f3d622a11844c29aeaeaa	concept-cluster:006f3d622a11844c29aeaeaa	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0081ee2a98a4549ffb6a6d59	concept-cluster:0081ee2a98a4549ffb6a6d59	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:008bffe367004c9d5db47003	concept-cluster:008bffe367004c9d5db47003	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:009e8497e7647074bf98857b	concept-cluster:009e8497e7647074bf98857b	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00b47c462a00725333a11846	concept-cluster:00b47c462a00725333a11846	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00b6dba447ce4c22d6cce642	concept-cluster:00b6dba447ce4c22d6cce642	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00bcdf7025f692262a54db4e	concept-cluster:00bcdf7025f692262a54db4e	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00c5baa2554928a6639d5c22	concept-cluster:00c5baa2554928a6639d5c22	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00e75f5ca83f768509369cde	concept-cluster:00e75f5ca83f768509369cde	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00f75f563873b27da7d56714	concept-cluster:00f75f563873b27da7d56714	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:00fcfc52483820a011676b90	concept-cluster:00fcfc52483820a011676b90	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:011b45af48f975b7f68a046f	concept-cluster:011b45af48f975b7f68a046f	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:011f5930e73f4f8b9abc0d4d	concept-cluster:011f5930e73f4f8b9abc0d4d	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01299d70361219a8b31dda3a	concept-cluster:01299d70361219a8b31dda3a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0133115df9ecc2f5de01021b	concept-cluster:0133115df9ecc2f5de01021b	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0134c4847bb76a47ae585f47	concept-cluster:0134c4847bb76a47ae585f47	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:014770f196ccedbdd9d32dcd	concept-cluster:014770f196ccedbdd9d32dcd	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:015ce688af2bf0125492c90a	concept-cluster:015ce688af2bf0125492c90a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:016877c1639049fad5c08e28	concept-cluster:016877c1639049fad5c08e28	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:018c3c4469bbcf9017a96420	concept-cluster:018c3c4469bbcf9017a96420	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:018df1a39e1caccc822d358a	concept-cluster:018df1a39e1caccc822d358a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01b0cb139193c0ca7ca7ec5d	concept-cluster:01b0cb139193c0ca7ca7ec5d	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01b571c20bbf424474843a61	concept-cluster:01b571c20bbf424474843a61	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01b6b6c52ea65ae0218cedf9	concept-cluster:01b6b6c52ea65ae0218cedf9	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01dd00ba13ce5c96f9839e6f	concept-cluster:01dd00ba13ce5c96f9839e6f	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:01ef4f80d0d451637868388a	concept-cluster:01ef4f80d0d451637868388a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0213468d08a08e397397e4b6	concept-cluster:0213468d08a08e397397e4b6	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:02159c044d74a6de5fc98ccc	concept-cluster:02159c044d74a6de5fc98ccc	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:021a37d5fcdab9f7756708ae	concept-cluster:021a37d5fcdab9f7756708ae	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:021db4fc859c090e7463da95	concept-cluster:021db4fc859c090e7463da95	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:02291d557d31d7fa504bbfc7	concept-cluster:02291d557d31d7fa504bbfc7	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:022a83723adecc0c35e4b121	concept-cluster:022a83723adecc0c35e4b121	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:022eb3c68c2efc40f09bcc75	concept-cluster:022eb3c68c2efc40f09bcc75	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:02349741340f78e53a7be5e6	concept-cluster:02349741340f78e53a7be5e6	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:023a282c51ff7d1c78c9999d	concept-cluster:023a282c51ff7d1c78c9999d	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:023fd430391163806c70ce8a	concept-cluster:023fd430391163806c70ce8a	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:024c64ac4e993415e2bf8460	concept-cluster:024c64ac4e993415e2bf8460	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:026c3a641434add4ea400701	concept-cluster:026c3a641434add4ea400701	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0270e7ef3e9dc675f5ed33a4	concept-cluster:0270e7ef3e9dc675f5ed33a4	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:02820e560994e4aeece2c557	concept-cluster:02820e560994e4aeece2c557	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:0286f48c4068167e8464fc55	concept-cluster:0286f48c4068167e8464fc55	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:029fb472bf12efbae6aa4322	concept-cluster:029fb472bf12efbae6aa4322	CONCEPT_CLUSTER	false
semantic-concept:concept-cluster:02a04b7d2f3733d260558ca0	concept-cluster:02a04b7d2f3733d260558ca0	CONCEPT_CLUSTER	false
