review_item_id	review_rank	semantic_relation_id	relation_type	relation_authority	support_occurrence_count	source_locator_or_restricted_pointer	priority_reason	suggested_action	project_owner_decision	decision_reason	reviewer_id	reviewed_at
semantic-owner-review:51ce05bae51f36202eed034c	1	semantic-relation:008708d660fb3f5078d3be45	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-22	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:da632b754019a423799491a4	2	semantic-relation:01b58f0509a0cdc1ca464756	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-1	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:868c795bad7f52e33e345a34	3	semantic-relation:0219c2523baedbad724f0b46	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-22	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:77c9f84bd61df1c1da201071	4	semantic-relation:04c293a37f154de39e061dc8	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-11	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:def93e942b9cfdfe8a7a5e4c	5	semantic-relation:05bbaa1f75ff00fdb64b2dc9	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC6776322#table-2-column-6	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:8aca719351a8cd724cf68ec1	6	semantic-relation:070b7d760c00e8ef8c7de967	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-20	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:729bbbe0979e7251a307ab87	7	semantic-relation:0935d9e8548076a89dd92489	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-5	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:926ab2c8f1d7132a1560e6db	8	semantic-relation:0ad1f33433378711998619f1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-10	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:9d411e22aa6470ecf8f9e2f6	9	semantic-relation:0c1ebba1ac81db0b073dd0c3	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-17	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:2505b48f73acc21e2f471c1a	10	semantic-relation:0cb9b11b2838facf58874cf0	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-8	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:5ead38b9a7aa47e57b4b4ec4	11	semantic-relation:0de90656e9655c6483d21805	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-9	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:2aff5d17c202e76b8e767ebf	12	semantic-relation:1246f4a50040ac8dc51f7a38	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-17	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:5ee973e491b2ba7b4f13f76c	13	semantic-relation:13cd9abf61ed9f3a75eee4a7	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-3	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:426eb70b44303b187a6a738e	14	semantic-relation:13ce5a83ea47e76a964d062b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-13	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:df9b21b16d07b2887b3365a7	15	semantic-relation:1619b5a663f09d105243baf3	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-9	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:a7c0a25501000708e7b78f25	16	semantic-relation:170221d580704015be10a2c1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-7	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:3e63c86e460a008f96eea07c	17	semantic-relation:171b72df3b3461cd3977387e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-12	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:e6dfa00c6d45d2d80db1a5d6	18	semantic-relation:191f56fce40e8d79efe483b9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-15	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:960dc08b6fa2f8c56188e56b	19	semantic-relation:192af97be3309d72dad490cd	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-24	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:255ab3e4516fc38b69deecf0	20	semantic-relation:1e536fc00e812cf842c41327	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-24	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:75489aa0ce6746b2642e7cc9	21	semantic-relation:2aa51fd21346c6c9bc325e4e	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-1	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:589076044ec2a0a85189b362	22	semantic-relation:2b959b948cde31631a3183c5	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13163763#table-2-row-16	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:6a63d3a0983a621e5cf11cfc	23	semantic-relation:3115556fb8e8cf29b0aaa1fb	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC8774372#table-3-row-22	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:d7d5e03f48bead6492a149e2	24	semantic-relation:336c7df551166ad0986db1a1	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC11675256#table-1-row-28	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
semantic-owner-review:4a4c5475cb72c96e071a447e	25	semantic-relation:36300eabdfb577f2e4ac9c0b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	1	PMC13279845#table-1-row-8	S2_SUPPORTED_CANDIDATE_RELATION	REVIEW_RELATION_AND_BOUNDARY				
