split_group_id	primary_grouping_key_id	cleaned_output_atom_count	strict_output_atom_count	gold_output_atom_count	rights_permitted_output_atom_count	machine_governed_output_atom_count	source_family_ids	publisher_ids	year_ids	coffee_identity_ids	effective_record_ids	judge_observation_ids_sha256	publication_layers	duplicate_group_ids	mirror_group_ids	source_assertion_ids	concept_target_ids	source_assertion_count	concept_target_count	deterministic_feasibility_bucket	grouping_contract_version	actual_train_evaluation_assignment
split-group:00484e053b942e1ae9c0046e	coffee-b2:9a7c0977a413e33945079723	39	36	0	0	12	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2021	coffee-b2:9a7c0977a413e33945079723	effective-b2:a248424c0138b3896e8e243b		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:01fa41c41061b6a0142b57fb|assertion-b2:0af62f15b23f456907188375|assertion-b2:19007d5b5a5f1cbef14398c7|assertion-b2:1a879ca470b94a1da0f71282|assertion-b2:1ce58877c27740d90b33449c|assertion-b2:1f4ad378a44bbab714d54d34|assertion-b2:2a47ee4961c28c9ea658a23e|assertion-b2:30f36bd12e2a737ee9bbeda5|assertion-b2:33535206476d39f43fdfb07d|assertion-b2:439d53a4e16ad4479af1cf55|assertion-b2:49aa5669005ef5323b1b0101|assertion-b2:4f11fe3014e0b3142562b472|assertion-b2:50d53855b54482b76d71c104|assertion-b2:5325e16f67368b6ec560d27f|assertion-b2:53b328bb9e2725be696e2e0c|assertion-b2:57f3dba2dc96bad91cdcc990|assertion-b2:58477cdfc86d35c795994396|assertion-b2:60c5c112575b60e2b75b690b|assertion-b2:62021a3538a502416c209556|assertion-b2:660ecb8a65f00578ee33d0a1|assertion-b2:6dc6a1ae4629b5d90d4239ef|assertion-b2:74cd2fd6a47dd50d4bbf0f15|assertion-b2:7a5614cb66213c91ddbec6a5|assertion-b2:80ce92515528b03ba9a7fd3c|assertion-b2:8fb809ca3c481a1b140b546e|assertion-b2:9e50cb7903f9038260591171|assertion-b2:a500b8d209c19b9e68beb6c0|assertion-b2:b588b2000f030a3a6e57a52b|assertion-b2:b7c89c04821cbca1c125dd38|assertion-b2:c761b59ea6842f19bf0997ef|assertion-b2:d073cebfe73615cf5e1d8de4|assertion-b2:d32c145909d8302b69ce85e7|assertion-b2:d500c13a06c88b74ed675715|assertion-b2:d8d026fcdacfb604b1db8c29|assertion-b2:d9e3ef3d82a0879181f5b453|assertion-b2:db030ef56270504ffd7e04c0|assertion-b2:e1a68330bb535f52fba045e6|assertion-b2:f2b708e5941ec3c895cba395|assertion-b2:f6bfe4def91a02cf8e796886	concept-cluster:14f760b79815e92a0aaa2089|concept-cluster:1cf4ad68098d2f4eaf42026e|concept-cluster:310ae85de8afdd412208a43e|concept-cluster:325eb8ff8fef8d814895f31b|concept-cluster:3efeb5625d37739b90fc2053|concept-cluster:473fb1f15d8b4300ae7ec566|concept-cluster:548764ea8c0caf43d9c955b2|concept-cluster:5d7963dd237f20c8ddaa0ad2|concept-cluster:664b88cd2d59e38ee55df406|concept-cluster:7d382c675acffc56cbab8eb4|concept-cluster:89815ab731cb2c2b38bd3f75|concept-cluster:8eea051c30900ab429f97e1f|concept-cluster:ba0c345b7f69637370916b5c|concept-cluster:c167028914190fcf5060f318|concept-cluster:c240060f928a7b34fbb7164f|concept-cluster:cd14f3c4fa05350bce589141|concept-cluster:cf06d9dc3cdf43dc497ae9c1|concept-cluster:e6e4df5714990d2c9c16934c|concept-cluster:e95400549c6b9614e217ac96|concept-cluster:fff4e8ec42c9fca16e65d7ee|sensory.apple|sensory.bergamot|sensory.blackberry|sensory.blackcurrant|sensory.blueberry|sensory.cedar|sensory.cherry|sensory.dark_chocolate|sensory.grapefruit|sensory.mango|sensory.molasses|sensory.orange|sensory.orange_blossom|sensory.rose|sensory.sweet	39	35	0	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:0070a5bfecfebc0c0f3b31e2	coffee-b2:f915011b722e55ed8cf8a47d	59	54	59	59	20	family.zenodo_golovinsky_q_grader_dataset	publisher:8ac960a303a6d7ae8e4f9f3a	year.2026	coffee-b2:f915011b722e55ed8cf8a47d	effective-b2:1e94612c7f0e1813d12c3dfe	3b4bc5f50374933598f3cf2606c5fe8712158cb0e4b7e531b029d5208ba5d107|77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398|96ed759a58ead5fcb842f01e97bcebbc5ce84fc2ab29abeac8eec52dc7fce528|eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	JUDGE_LEVEL_OBSERVATION			assertion-b2:00f967057958065c8793be31|assertion-b2:025c7522921a06e168d45446|assertion-b2:0833cc1e35d60b0291d1147b|assertion-b2:0b02f7e44150dd788edb626c|assertion-b2:11b9c58a67e0f403832d8b96|assertion-b2:1baf97046fe457f1c736652a|assertion-b2:1ce774af23d039b40797d66a|assertion-b2:1d6a52e8bef76c3aae58e87d|assertion-b2:202245df37166d25b922b969|assertion-b2:20db56add7c49518766c0ef3|assertion-b2:2512ffab3dfb7f643d835bd2|assertion-b2:280ee5d8a09d272a25f4807d|assertion-b2:2bbdcde34d5e8de361d99825|assertion-b2:2bc0339e50056bf7cec4fd03|assertion-b2:2daac3c39e8a163b52d156fd|assertion-b2:3061b5522660bb4baf5a4147|assertion-b2:3c7f9df763ca0e84e92b2eaa|assertion-b2:430656191aba63410eb656f1|assertion-b2:449593fd99a97b007f79cde8|assertion-b2:4620a07d0352d5c21ac84227|assertion-b2:4b07de504eea36b893674a4e|assertion-b2:55b0bc65a7514badae4c6379|assertion-b2:56542465d73f77a8ca94859a|assertion-b2:5df2d97562357ec4de085416|assertion-b2:5f2ae28918856909533fd19c|assertion-b2:673b96b86b151acb73365917|assertion-b2:6d95fbba111e4cdaa0a7e63b|assertion-b2:74b200629c80dba32ea98e89|assertion-b2:75e0928cb06ef06727bdfa0e|assertion-b2:7817d89f343726f031063f15|assertion-b2:7b3e56b6a4abcf580e03277c|assertion-b2:7dc0ef6be3b60c1810198439|assertion-b2:80a5843d9378f6050f006312|assertion-b2:8ad7e5431b526eea1e7bb4ed|assertion-b2:8b9273142ea8692d494c0bc4|assertion-b2:8c3d27c5e946670dad0a4c03|assertion-b2:91cbe5f3eb7bb82d54da3b4e|assertion-b2:9790b49f57775c452b387b30|assertion-b2:9f3ab83e5745f91a14087623|assertion-b2:a0c60cc03e319a576ac7e13d|assertion-b2:a413d7020622692b652113c0|assertion-b2:a67a22dbd3bc3634761eda4b|assertion-b2:a80e186161e0c043a021ac8d|assertion-b2:a86d6e1081eecc7f5a51411b|assertion-b2:ad596265806a8a2dafb08319|assertion-b2:b9b0186041cc0017f7bb267c|assertion-b2:c3a2110b5e8d06d6d1894fc7|assertion-b2:c3dc90d2be8f777899cb754f|assertion-b2:c55e2ff59b95ad13a5f4ff45|assertion-b2:cb077eb2d24eabb38b7688d3|assertion-b2:d035b06caa81037fe62afb7e|assertion-b2:e23cd890fbbcec015eaf56db|assertion-b2:e39207db16f1ec7ff9216cbe|assertion-b2:e410738745c713ab56f760ce|assertion-b2:e6c0539b9de84a125568d373|assertion-b2:eb880793b54b5046e2fe83d0|assertion-b2:ebf6173835105c7600283f34|assertion-b2:ec7f2557be9bbe5b7e099314|assertion-b2:f0e0faa45497c6f92b990087	concept-cluster:10ac6495952bc906af51d4a8|concept-cluster:10b83ef52026973d5abef7b6|concept-cluster:15436c2c16f538a6b9243567|concept-cluster:15934ed2061e6683cfaf6bd0|concept-cluster:167da33277fe419d4f62243d|concept-cluster:1bbe75434eceb735c8a8ee29|concept-cluster:2361cdc7ff662bc3102ca511|concept-cluster:2429fbb8491792b575243119|concept-cluster:310ae85de8afdd412208a43e|concept-cluster:357590a2af0dbde1d4dc5ab9|concept-cluster:3a6e444bd5b0db5c2d0814d7|concept-cluster:48928da03de1f347430af911|concept-cluster:49f8e0988cd90670bd9579a1|concept-cluster:608ad7874c634b2d8498aeec|concept-cluster:6a82cf00d14b64eaa987ebe3|concept-cluster:82c756a8fbc42cd508483204|concept-cluster:89815ab731cb2c2b38bd3f75|concept-cluster:8eea051c30900ab429f97e1f|concept-cluster:9e5d5d7a8c97ee4071468b15|concept-cluster:a4a52534827dbd0ba544ed04|concept-cluster:aca4366bea6523cd4300ef6c|concept-cluster:b6d22fb19f4d4a68da6eba65|concept-cluster:bbb103332ab8e39e7f16b014|concept-cluster:c997702f89b15f24e5c90620|concept-cluster:cf06d9dc3cdf43dc497ae9c1|concept-cluster:db5a6c2c53e93cb98c1713b6|concept-cluster:e67a90b99d9d57acd9702565|concept-cluster:ed0afd8ec04406364e214123|concept-cluster:fa9d4dce1ed206864d17544a|concept-cluster:fbd7aceb4b719a2b29975b69|sensory.apple|sensory.caramel|sensory.cherry|sensory.cocoa|sensory.grape|sensory.green_tea|sensory.honey|sensory.mango|sensory.peach|sensory.raisin|sensory.strawberry|sensory.sweet|sensory.vanilla|sensory.walnut	59	44	8	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:00a7c15d2bd2577db2e61bbd	coffee-b2:2b73c82fa853593ba74a778e	20	18	0	0	10	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2015	coffee-b2:2b73c82fa853593ba74a778e	effective-b2:a589fd99b458743911a43de4		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:078483700c12d25fe1f812a6|assertion-b2:0cf22a13cf60e236e3cede18|assertion-b2:3bfca5e24d20a15024a0a28a|assertion-b2:3daf625b87a6afdefd909de1|assertion-b2:3f12ad285b58a85d3b1b7f6d|assertion-b2:44a9dcfa849ff5697bf5ad20|assertion-b2:5804e9bb440149c826ddcfb4|assertion-b2:7aab56d1a1eaf095693f6956|assertion-b2:88b1a6c507f54a12e8fd2e09|assertion-b2:a09dea9ea1e3c573bf8643b1|assertion-b2:b6b391c078d7dfa61108e456|assertion-b2:b73ac753f90f3d94d09519cd|assertion-b2:c0301e5e9bdeffc869a3ff5d|assertion-b2:d693073e3bcf21a8e2e121b7|assertion-b2:d7bc828fa13b88630627629d|assertion-b2:da7973604d1aeea032ed60b2|assertion-b2:dbf5cb04f8a2dfea6ca63198|assertion-b2:e158f47a8045e3b6945c8a67|assertion-b2:ea282ef284db7701b9778a47|assertion-b2:f10fc8376b05cda01ba77c0a	concept-cluster:0a209bcbf67fdca448e5dd90|concept-cluster:0ba585f2350dbc70439179e7|concept-cluster:15436c2c16f538a6b9243567|concept-cluster:181749c29cd8760f06933e32|concept-cluster:387227b0ee0ed3845bb6bd33|concept-cluster:61bddc2f68697d5469d89be5|concept-cluster:89815ab731cb2c2b38bd3f75|concept-cluster:9f993f5ff6139d33e80cbe32|concept-cluster:d2a02036a6fdc7327e403e8f|sensory.brown_sugar|sensory.caramel|sensory.cherry|sensory.dark_chocolate|sensory.hazelnut|sensory.honey|sensory.molasses|sensory.orange|sensory.peach|sensory.vanilla	20	19	2	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:0105450a79c86fdc992f1913	coffee-b2:011f558ae5273f7b8f1fdfd9	21	20	0	0	9	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2017	coffee-b2:011f558ae5273f7b8f1fdfd9	effective-b2:e997dc55f17c0fcc646551b1		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:029650c1d84da0eaa4fe167c|assertion-b2:2ceabfa2a55e7108fb4407be|assertion-b2:33e52f304957f1cab49d8fec|assertion-b2:3fb9ab69213b8ac44b36bb52|assertion-b2:3fd82c77646691b3f1b6727f|assertion-b2:5397fe9fc8ee3b600ec4e45b|assertion-b2:5a236e7d5e81985b3af1b044|assertion-b2:5aac469b1225d48d40a62403|assertion-b2:64b2e759e46b7a077a5b9aea|assertion-b2:709d041e126df83f11c25ff6|assertion-b2:87e536d06a145e045d6fb8be|assertion-b2:a046ad5a93dfdc140bd30c6d|assertion-b2:a18625001d272bb15734a67b|assertion-b2:b812b1e62d4fbdc01564e27c|assertion-b2:c578f04b1c08195d63ccfef2|assertion-b2:d2d7f76c5a72e449ba5dba86|assertion-b2:d94904602258649333d534ff|assertion-b2:dcc33a283813ab3a7fe3bf9d|assertion-b2:ea8fb41004fe5a13bb7806d0|assertion-b2:ebc8087e15088d92f475109b|assertion-b2:f6741f2120367c49b75e0d4b	concept-cluster:425e306ac48df7540aee4687|concept-cluster:5445e5ca3defec69c220ad05|concept-cluster:7039aedffc129f0eabf823ec|concept-cluster:7597581001c6a981c5bd75af|concept-cluster:911dd0c9f47bbd3efef4349b|concept-cluster:a0ac7c6e29a0efb3109cff8d|concept-cluster:a4a52534827dbd0ba544ed04|concept-cluster:cf06d9dc3cdf43dc497ae9c1|concept-cluster:f20b3d8f4c10370fc271d9dc|concept-cluster:fa6b621a4b163496e225d7a1|sensory.bergamot|sensory.chamomile|sensory.cherry|sensory.grape|sensory.hazelnut|sensory.lemon|sensory.mango|sensory.mouth_coating|sensory.orange|sensory.peach|sensory.pear	21	21	6	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:0126f365e0b93d659a2c4c8a	coffee-b2:4070b3cc667dc3ddcdb0a80b	19	17	0	0	9	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2014	coffee-b2:4070b3cc667dc3ddcdb0a80b	effective-b2:e99c8fe0b72006012b9a01a3		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:16e522ac672067bac649cd5a|assertion-b2:21b7ac3eda7f595517bedaa3|assertion-b2:24a86416ef0f0816c884c29e|assertion-b2:26d9be7aef276e1acf26b70b|assertion-b2:2f565f711615780e8db55cfa|assertion-b2:355ec2a078e45bf8cc7a0a6f|assertion-b2:3e19a7d4fc65c05c534cd1b2|assertion-b2:5d58eac0fad4f0e16ad50ad9|assertion-b2:6131f40932028d27d464beda|assertion-b2:72a3dbd597d607c557244987|assertion-b2:76f297b14718a9264de6c700|assertion-b2:7bc6039e366b86b932e61d70|assertion-b2:7c1584c9ffc3564f711b9099|assertion-b2:7d3586a7aadbf2aeb2bef7e4|assertion-b2:9d18d061c7d2a4ad94a990de|assertion-b2:b4d9052634046bb384736426|assertion-b2:ba7874d9229067809cb5c2e1|assertion-b2:d5c6270509c448811c90e7eb|assertion-b2:d8d6a6fe0ef49ff72f930bdb	concept-cluster:3a103fb0d4b6531b7f7e7dcc|concept-cluster:82c770dc95c80374ce894646|concept-cluster:85a01358939418c9214457ae|concept-cluster:8847395bd23be299df6e6d9a|concept-cluster:8eea051c30900ab429f97e1f|concept-cluster:aca4366bea6523cd4300ef6c|concept-cluster:c79b4b426236e461988aaaec|concept-cluster:d2a02036a6fdc7327e403e8f|concept-cluster:e9ab5b692e49469eecd68d34|sensory.apple|sensory.brown_sugar|sensory.caramel|sensory.honey|sensory.lemon|sensory.mango|sensory.orange|sensory.vanilla|sensory.wine_like_character	19	18	1	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:014cc48ae97551ffae3d9f5a	coffee-b2:fe8ddfadec4b7cd88feed034	20	19	0	0	8	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2026	coffee-b2:fe8ddfadec4b7cd88feed034	effective-b2:9c77f775e5d4988852ce165f		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:1e04db8b0dab076082e3c5f6|assertion-b2:202a7df5e966b9fc00566579|assertion-b2:2062c7105a8678f14a70ce94|assertion-b2:22ea56b0730ed5306c97142e|assertion-b2:2fa61f1aa0f1e0f391e992f8|assertion-b2:35cd759c703fd530607b176e|assertion-b2:3c02e43a74631761cf5321d0|assertion-b2:6834a22104d62ff8ba3a32d0|assertion-b2:72e3c0a95a1a2571ea791024|assertion-b2:846005eda2d2ef9a5653f1fa|assertion-b2:8deebd006268d20ea2aa5f5d|assertion-b2:966179b3ba581e6cbc9a8860|assertion-b2:b2ac761b46310e0c392b1e0b|assertion-b2:bfe946912ff302e4bf7df299|assertion-b2:d54ed2b11c19bfaab68e7e47|assertion-b2:f1a91f960222c81ceb33f5ad|assertion-b2:f5456a9d7b1f3cfcc1138f4b|assertion-b2:f8b71c6a7aadab17cfae2ff7|assertion-b2:fad3dae7b3836c8300e16765	concept-cluster:15436c2c16f538a6b9243567|concept-cluster:89815ab731cb2c2b38bd3f75|concept-cluster:8eea051c30900ab429f97e1f|concept-cluster:a32acdb1594e67871549980e|concept-cluster:cf06d9dc3cdf43dc497ae9c1|concept-cluster:d51ba18d0c950dcf95f3c17d|sensory.apple|sensory.baked_bread|sensory.brown_sugar|sensory.caramel|sensory.cherry|sensory.lemon|sensory.lime|sensory.orange|sensory.plum	19	15	6	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:01b1f1db1c53ccf7ac405ba3	coffee-b2:979d04972d354f2ae3f859e3	13	10	0	0	4	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2025	coffee-b2:979d04972d354f2ae3f859e3	effective-b2:5e0304de81c972dbedd85296		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:10cc3a69221d5b266158d3ce|assertion-b2:30ec15edf9a3e92c9d270da0|assertion-b2:3321596e6297c3e574461a88|assertion-b2:4920c68ac58e3e051e625f89|assertion-b2:5b207243f26b7a43af76a88c|assertion-b2:7e729dbf696a550626adc157|assertion-b2:8570755953c5519284258a63|assertion-b2:998e8207438f9d7d5f9d09d5|assertion-b2:9fdf4cb4dc017d9f53a0f337|assertion-b2:a341cb136384f548594a526a|assertion-b2:cab0f9cb4e33d97fca691f5d|assertion-b2:ed50f8a4a9876688a978177b|assertion-b2:fbf017abfee9c9e21e27bc10	concept-cluster:82c770dc95c80374ce894646|concept-cluster:85a01358939418c9214457ae|concept-cluster:89815ab731cb2c2b38bd3f75|concept-cluster:900225f42c2564473c021e14|concept-cluster:a32acdb1594e67871549980e|concept-cluster:c79b4b426236e461988aaaec|concept-cluster:d2a02036a6fdc7327e403e8f|concept-cluster:da3b82696e03173c3f16fa14|sensory.almond|sensory.apple|sensory.brown_sugar|sensory.caramel	13	12	8	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:01c90cbf7933b3c6aa483d0d	coffee-b2:51993499c0ee48484ed072fa	21	19	0	0	10	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2018	coffee-b2:51993499c0ee48484ed072fa	effective-b2:ba6ef6491819c9f67967f5af		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:0242f9bbbbef45e7d739dc60|assertion-b2:0d7e1e37d006da159023e075|assertion-b2:13aa9636e8c0af4386523d8d|assertion-b2:2467bf9b3f38c3b030f2a4ba|assertion-b2:270f4cf17714686c82a7bac7|assertion-b2:2c59c5c5c084c2268c520a29|assertion-b2:355c83c8e164df9bd81faf01|assertion-b2:3a9cfd09fa8542808c7e5b82|assertion-b2:631405e390c7b7719dd3cd84|assertion-b2:7150dfa6571e8fb673f33357|assertion-b2:8130bcb755187b7bd87da5d9|assertion-b2:8158fca416f5d1230133de09|assertion-b2:9463933c6e9dd8d6d7f0d68b|assertion-b2:a9f05ee36c77abc55ea0dcb5|assertion-b2:b57bec77786f5bf3a9471d28|assertion-b2:b890a6cc559ba7ef452b1a2c|assertion-b2:c1d18c14f1f045b4ecec7ee6|assertion-b2:daddf05eee6f1b27930bca56|assertion-b2:e127e7577507d4995b128ed0|assertion-b2:ed8afad68e51707baf03a7b3|assertion-b2:ede67e1caedc514c08bc5b41	concept-cluster:12d8ac2ccbbbda2088d9a602|concept-cluster:15436c2c16f538a6b9243567|concept-cluster:46c98227fcdfe17e552d84c2|concept-cluster:85a01358939418c9214457ae|concept-cluster:a58a482b52a88d797eea8958|concept-cluster:c79b4b426236e461988aaaec|concept-cluster:d2a02036a6fdc7327e403e8f|concept-cluster:ff4d15bb059fd4f732ea4d13|concept-cluster:fff4e8ec42c9fca16e65d7ee|sensory.apple|sensory.brown_sugar|sensory.caramel|sensory.grape|sensory.honey|sensory.lemon|sensory.molasses|sensory.orange|sensory.peach|sensory.plum	21	19	1	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:01e3ea0a23ae6f9838ad785f	coffee-b2:580c8a30f0ec9e012bd6b825	15	12	0	0	6	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2010	coffee-b2:580c8a30f0ec9e012bd6b825	effective-b2:5eca168ef0595e4f2994b760		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:30feaf1a89e98d50bf645569|assertion-b2:34f665e35dc31fbcb8f4205d|assertion-b2:3fb0337280dd0f768ac78ba9|assertion-b2:41a35872da3dbca23ffe5910|assertion-b2:44ea7be41ef8ebdebc152407|assertion-b2:5e3808ac9fd54cbfde019017|assertion-b2:5ec7e2769c269e34b7b67924|assertion-b2:80af78d32da8047d2937fb17|assertion-b2:8bdf2c6309be5551309cb8d6|assertion-b2:9abf662fa34eac3ae53c574f|assertion-b2:d671fbb57f8f6b48ff551871|assertion-b2:dd4309c2d77b6af2f1cb6953|assertion-b2:e69693acd8f3b813031f5a75|assertion-b2:eb851c50d34a8a5f453719c0|assertion-b2:fa4c3a02a918cba06134819c	concept-cluster:15436c2c16f538a6b9243567|concept-cluster:46c98227fcdfe17e552d84c2|concept-cluster:7d382c675acffc56cbab8eb4|concept-cluster:82c756a8fbc42cd508483204|concept-cluster:95e2c3361361ac44d72e1bce|concept-cluster:9f993f5ff6139d33e80cbe32|sensory.apple|sensory.caramel|sensory.cherry|sensory.dark_chocolate|sensory.honey|sensory.lime|sensory.orange|sensory.peach|sensory.pineapple	15	15	7	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
split-group:01e8963ccfd36a3d44ef531f	coffee-b2:8c02eeb73fb4b311d5b67b2f	68	63	0	0	28	family.ace_cup_of_excellence	publisher:ce51521ee85097dc9bfca03b	year.2023	coffee-b2:8c02eeb73fb4b311d5b67b2f	effective-b2:a67f7044afeee62f20649664		GENERIC_ORGANIZER_SENSORY_FIELD			assertion-b2:093dfb19fdb85b5e16841dbd|assertion-b2:097632165a7274e85d75fc25|assertion-b2:126c9eb813994337c1880852|assertion-b2:2259b7177232ccec34b0e834|assertion-b2:2654ba7976296892e8cb10f8|assertion-b2:28049ddd361c10d060335c6d|assertion-b2:2a08d925d9b14b12e677a4e7|assertion-b2:2c4290e2c319b8cbe3cddc74|assertion-b2:3408c59294c958dc19d92be5|assertion-b2:3b1bdbb88f0241b660df6f44|assertion-b2:42314035389adba31974f5f6|assertion-b2:42e7cc5727a3dcb99b5324be|assertion-b2:4470c55c15ca0525172ed28a|assertion-b2:44b932a141c092618df036a1|assertion-b2:4ac03845e85ad231bd469534|assertion-b2:4f48ff680970f3497c8cef3d|assertion-b2:4f6905d8eec640420f3092bf|assertion-b2:5273dc1342d11bb9e7ba1385|assertion-b2:5d99f06e471c6f9d7dc68986|assertion-b2:6342daafd8795849bc5c1b0b|assertion-b2:68d0462d0c209c5cbe41ca41|assertion-b2:690194c0f3b2a8f96f2e0594|assertion-b2:6db57bcd3a76f44358c9b250|assertion-b2:7181017fa0de32379d60d21b|assertion-b2:72d968c39740da945ed04a18|assertion-b2:75ff34669d59fc21c68e2685|assertion-b2:7f9e723375041bc83fae97ac|assertion-b2:82c9f04c3267a93626a479fc|assertion-b2:84fa8264a0ed0f6bfd6b186f|assertion-b2:87732f7cd85cb3ae2ecd5ac6|assertion-b2:8909dd132b8986b217313440|assertion-b2:91bcfa9571d382f3201e57dc|assertion-b2:93c48fdab4b7e87585bd6f7d|assertion-b2:97bbb1d64f7d23db1ad618b8|assertion-b2:a1af6ec2927aa5fd071737d3|assertion-b2:a1e4714acf80a4f12667a61b|assertion-b2:a34b0f56c19041334ce207fe|assertion-b2:a38ad42e2372f94f737ad1ed|assertion-b2:add8a2e16c503ca7ba638956|assertion-b2:b1963f9c4fa1b22b2569438f|assertion-b2:bc6f3b35b7c2ce87115c5bd0|assertion-b2:c02946d72b1185ab3b8efc55|assertion-b2:c15dc35229cf59706069456d|assertion-b2:cb8eb3bb8751d9aff1cee1ff|assertion-b2:cedf6f54fb90686ffc358d5a|assertion-b2:d398b768fcfe75486f9f9368|assertion-b2:d3c399af16823731ac8d1b39|assertion-b2:d67e8006fb6c3f0cb52f899e|assertion-b2:d913daf0f066b4cdd7b80977|assertion-b2:d981a38a717930715eda306f|assertion-b2:dbc2c692371468cc42360eb1|assertion-b2:dd0db8e0019514c120d4467d|assertion-b2:df19599e4793c7cf43a9cc26|assertion-b2:e35872025abd70011fd736d7|assertion-b2:e5375ac90f1794f3b133d2a1|assertion-b2:e7d3491442fe54fcabff9975|assertion-b2:e8b83b662ce75d8947e98af1|assertion-b2:e9e674d69b7facd496a4f046|assertion-b2:eb739da7a856081b65db85a6|assertion-b2:ed794619ae05da8af42feb14|assertion-b2:ee6066a0b07bc9bf81b1407b|assertion-b2:effc6005a81fed320885a79a|assertion-b2:f3a0d91d05871e08870519c1|assertion-b2:f895ca6336d6d7beaab77536|assertion-b2:fab246147c3d91b255b12569|assertion-b2:fb08234a04db983c139c98f5|assertion-b2:ffdd39a48055feef3273ed0f	concept-cluster:1199b9ff2cbf52ce7fbac416|concept-cluster:14f760b79815e92a0aaa2089|concept-cluster:15436c2c16f538a6b9243567|concept-cluster:1bbe75434eceb735c8a8ee29|concept-cluster:310ae85de8afdd412208a43e|concept-cluster:3e6b5dcd64d4aaa9bbb47a98|concept-cluster:4bc61a7581d3938fbe380c56|concept-cluster:5e3505ae5600c4d4a675f5fb|concept-cluster:5f39032223690bcaa3a10e9a|concept-cluster:7039aedffc129f0eabf823ec|concept-cluster:82c770dc95c80374ce894646|concept-cluster:85a01358939418c9214457ae|concept-cluster:8dab303fa66c0499cbce3d9b|concept-cluster:8eea051c30900ab429f97e1f|concept-cluster:a41ca2fdaceeb91c614bc988|concept-cluster:aca4366bea6523cd4300ef6c|concept-cluster:c167028914190fcf5060f318|concept-cluster:c240060f928a7b34fbb7164f|concept-cluster:c79b4b426236e461988aaaec|concept-cluster:cf06d9dc3cdf43dc497ae9c1|concept-cluster:e082d767214258ee18afdb4b|concept-cluster:e1bfb84a6b6d5a815d81d342|concept-cluster:e6e4df5714990d2c9c16934c|concept-cluster:fff4e8ec42c9fca16e65d7ee|sensory.almond|sensory.apple|sensory.black_tea|sensory.blackcurrant|sensory.brown_sugar|sensory.caramel|sensory.cherry|sensory.dark_chocolate|sensory.grape|sensory.honey|sensory.jasmine|sensory.lemon|sensory.lime|sensory.orange|sensory.peach|sensory.pear|sensory.pineapple|sensory.raisin|sensory.sweet	67	43	9	batch4.grouped-split-feasibility.v1	NOT_CREATED_NO_TRAINING_AUTHORIZATION
