concept_cluster_id	cleaned_form_count	cleaned_form_ids	source_native_form_count	source_native_form_ids	source_languages	semantic_classes	base_form_sha256s	modifier_form_sha256s	component_concept_ids	existing_canonical_neighbour_cluster_ids	canonical_concept_ids	mapping_state	mapping_authorities	assertion_support	effective_record_support	coffee_sample_support	source_family_support	source_family_ids	publisher_support	year_support	year_ids	gold_support	silver_support	bronze_support	rights_distribution	review_priority	human_reviewed	sensory_expert_adjudicated	reversible_to_source_assertions
concept-cluster:0009e04da990e3891cf0690a	1	cleaned-form:9093f2bb8d45a4d70a44fdf5	12	source-form:2dc3c3e0ed5e277a082d42d8|source-form:4f1b3e0c66a8beef0d1c7b7d|source-form:5370ee86ff409a7f69c9af68|source-form:621115dd7257a5802a128e2d|source-form:786043b1474dcdd96c7f2935|source-form:9093f2bb8d45a4d70a44fdf5|source-form:acf4077542c1f1c80379c961|source-form:ad005647589bded2355fd414|source-form:d3a8762336e145a605214c20|source-form:e2b26a09da95d2ea0505847c|source-form:e43deaeba6549b70b2a0a524|source-form:eb19ebc49cc74ca854b21e79	UNREPORTED	STRICT_FLAVOR	9093f2bb8d45a4d70a44fdf56e0b62f7d6c9d7cb0748093b0cf3ff9d35b3ebbe			concept-cluster:dbe90458cf7cb58a37c297bb		AMBIGUOUS_CONCEPT_BOUNDARY		145	93	93	3	family.ace_cup_of_excellence|family.coffeereview_kaggle_parsed|family.zenodo_golovinsky_q_grader_dataset	3	11	year.2003|year.2005|year.2006|year.2008|year.2009|year.2017|year.2018|year.2023|year.2024|year.2025|year.2026	110	35	0	AFFIRMATIVE:110|AFFIRMATIVE_WITH_CONDITIONS:14|UNKNOWN:21	525	false	false	true
concept-cluster:000f0d59fe2236c95919c3c8	1	cleaned-form:a8bfacf3bcd75164698d9d70	1	source-form:dce083a2c47ffdc449823154	UNREPORTED	STRICT_FLAVOR	a8bfacf3bcd75164698d9d70aacd2ce5a5bb0993f5a9badf2e37b396fe5986d9					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.ace_cup_of_excellence	1	1	year.2023	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:00176d98c056bbbaf8ad36b1	1	cleaned-form:de0a28cf632a9f4d5b061415	1	source-form:de0a28cf632a9f4d5b061415	UNREPORTED	STRICT_FLAVOR	de0a28cf632a9f4d5b0614154e54b9f1555d9d905b7f7eae2997d6cf65ecfd16					GENUINE_ONTOLOGY_CANDIDATE		8	8	8	1	family.coffeereview_kaggle_parsed	1	4	year.2020|year.2022|year.2023|year.2024	0	8	0	AFFIRMATIVE_WITH_CONDITIONS:8	108	false	false	true
concept-cluster:001e23190db94706c61797c2	1	cleaned-form:77362553ca8b85918172c4d9	1	source-form:77362553ca8b85918172c4d9	UNREPORTED	STRICT_FLAVOR	77362553ca8b85918172c4d914fbfcfb740fc2972c9615765d5dd57b2f960475			concept-cluster:dbe90458cf7cb58a37c297bb		GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.coffeereview_kaggle_parsed	1	1	year.2007	0	1	0	AFFIRMATIVE_WITH_CONDITIONS:1	101	false	false	true
concept-cluster:003815596318bfdf617969db	1	cleaned-form:adf04285895223f6ae6537b5	1	source-form:a800e7890753e8ec7fe50376	UNREPORTED	STRICT_FLAVOR	adf04285895223f6ae6537b57e5e0fb962c914feceb38e1a30acd13d40f057f7					GENUINE_ONTOLOGY_CANDIDATE		1	1	1	1	family.coffeereview_kaggle_parsed	1	1	year.2009	0	1	0	AFFIRMATIVE_WITH_CONDITIONS:1	101	false	false	true
concept-cluster:003ef14842224757ed0f2b64	1	cleaned-form:7eabf66af90e140112977c43	1	source-form:7eabf66af90e140112977c43	UNREPORTED	STRICT_FLAVOR	7eabf66af90e140112977c43730d9cd087c60c7f3529a7957ebe744a3f2e642c					CROSS_LANGUAGE_REVIEW_REQUIRED		3	3	3	1	family.mdpi_certified_q_grader_storage_panel	1	1	year.2026	3	0	0	AFFIRMATIVE:3	183	false	false	true
concept-cluster:004d28a6a9be49e56120a1d8	1	cleaned-form:e91c254ad58860a02c788dfb	5	source-form:11a3360656adc278501a3547|source-form:54185daeef2f12f22d74b91b|source-form:6d61374da4b4df53c6f8fbf4|source-form:ccbc72775f155f726acf7a31|source-form:e91c254ad58860a02c788dfb	UNREPORTED	DEFECT_OR_NEGATIVE_SENSORY	e91c254ad58860a02c788dfb5c1a65d6a8846ab1dc649631c7db16fef4af2dec					DEFECT_CONCEPT_CANDIDATE		12	12	12	3	family.ace_cup_of_excellence|family.coffeereview_kaggle_parsed|family.frontiers_cenicafe_lengupa_trained_cuppers	3	6	year.2007|year.2013|year.2017|year.2022|year.2024|year.2026	1	11	0	AFFIRMATIVE:1|AFFIRMATIVE_WITH_CONDITIONS:1|UNKNOWN:10	312	false	false	true
concept-cluster:00669f19b369616f35f7e64b	1	cleaned-form:5d3583e280fc5177817db7fb	1	source-form:5d3583e280fc5177817db7fb	UNREPORTED	STRICT_FLAVOR	5d3583e280fc5177817db7fb38522fb6d2ac932d444a4868b4c478fac3beadce					GENUINE_ONTOLOGY_CANDIDATE		2	2	2	1	family.coffeereview_kaggle_parsed	1	2	year.2018|year.2020	0	2	0	AFFIRMATIVE_WITH_CONDITIONS:2	102	false	false	true
concept-cluster:006f3d622a11844c29aeaeaa	1	cleaned-form:d691b6829ad0b74f55ed7701	1	source-form:42c6963a330582568b22220a	UNREPORTED	STRICT_FLAVOR	d691b6829ad0b74f55ed7701d0cb3ce5a2a2c21c9d522ff0f2fd81cb35f45127					GENUINE_ONTOLOGY_CANDIDATE		2	1	1	1	family.ace_cup_of_excellence	1	1	year.2023	0	2	0	UNKNOWN:2	102	false	false	true
concept-cluster:0081ee2a98a4549ffb6a6d59	1	cleaned-form:d364aba6dd82279412f93d26	1	source-form:f66793edcdfcf6567c0f4430	UNREPORTED	NON_DESCRIPTOR	d364aba6dd82279412f93d26ac4fe05074472583922543e367c08c2b22573bcc		sensory.caramel|sensory.lemon|sensory.orange|sensory.plum	concept-cluster:06f67cbeba73d9732663b7fc|concept-cluster:3c31ec2bbf2411dde9f849eb|concept-cluster:7424e06fa788dd22fbaf4816|concept-cluster:c87d3f24065a3faa6c5c759d|concept-cluster:d8886ae3d768f0a5061b29f3		NON_DESCRIPTOR		1	1	1	1	family.ace_cup_of_excellence	1	1	year.2024	0	1	0	UNKNOWN:1	101	false	false	true
