dataset_id	dataset_name	source_round_or_batch	source_branch	source_commit_sha	repository_path_or_restricted_locator	file_sha256	file_size	row_count	descriptor_candidate_row_count	effective_record_count	data_role	evidence_tiers_present	rights_state	review_state	contains_raw_source_text	public_commit_allowed	overlap_expected_with	current_disposition
round3m-live-assertions	Round 3M live-pilot descriptor assertions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_ASSERTION_LEDGER.tsv	a54e81b1a5359fc00ccc5bdbbb45ea6dd105ab7a91d7be27973beb52a10df03a	207379	140	140	8	ROW_LEVEL_PRIMARY	P2|UNRESOLVED	PENDING|UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round4a-professional-reference|round4a-pair-edge	CANONICAL_ROW_LEVEL_INPUT
round3m-effective-records	Round 3M public-safe effective records	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/adapters/round3m/generated/PUBLIC_SAFE_EFFECTIVE_RECORDS.tsv	df06019e5c9b659b21b9279f344f8f0c076b6d4497049d3015ca257aad94c32c	4914	8	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions	IDENTITY_BRIDGE
round3m-review-queue	Round 3M merged review queue	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_REVIEW_QUEUE.tsv	4fd07e78f515ef66d390ddc55bed60e25bc13bed7ac8fabb658b65eded1a5499	471750	516	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	REJECTED_NON_DESCRIPTOR|HUMAN_REVIEW_REQUIRED	false	true	round3m-live-assertions|round3m-legacy-376	REVIEW_LINEAGE
round3m-provisional-decisions	Round 3M provisional decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_PROVISIONAL_DECISIONS.tsv	9b7e83f202fa4ae4633e3900f53b02b72feaa50736af17dc4c22b39122206863	359041	516	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	CODEX_SOURCE_AUDIT_ONLY	false	true	round3m-review-queue	REVIEW_LINEAGE
round3m-normalization	Round 3M normalization decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_NORMALIZATION_DECISION.tsv	3e183d3fb5f25d28d9fa14c165715e4a36105dedabc7ab3f629f0a04fcf0f761	132627	516	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	UNMAPPED_HASH_ONLY	false	true	round3m-live-assertions	NORMALIZATION_LINEAGE
round3m-provenance	Round 3M provenance decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_PROVENANCE_DECISION.tsv	3710109e1db546df35f43b4a0bee5dd8cbc5b51ee6cb430acb6a185807cbf18a	369638	516	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	CODEX_SOURCE_AUDIT_ONLY	false	true	round3m-live-assertions	PROVENANCE_LINEAGE
round3m-rights	Round 3M purpose-specific rights decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DESCRIPTOR_RIGHTS_DECISION.tsv	fa460cb74ea5f63e81c7f8a2dc7f1c680a6bda49b8348431e322421673856a3e	1150671	3096	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	CODEX_SOURCE_AUDIT_ONLY	false	true	round3m-live-assertions	RIGHTS_LINEAGE
round3m-duplicate	Round 3M duplicate and repeat decisions	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/DUPLICATE_REPEAT_DECISION.tsv	808b906fd551f32d9c18a359349e9bb8be80db0e6c401739baf3fda7ac521453	137590	516	140	8	ROW_LEVEL_DERIVED	P2|UNRESOLVED	PENDING|UNKNOWN	CODEX_SOURCE_AUDIT_ONLY	false	true	round3m-live-assertions	DEINFLATION_LINEAGE
round3m-pairs	Round 3M co-assertion pair events	ROUND3M	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3m/COASSERTION_EVENT.tsv	a69b1550a73632cc9383fa138e29d66230c903590c87a3aed39d84ffc2c7daa7	304197	508	508	5	ROW_LEVEL_DERIVED	P2	PENDING	PROVISIONAL_MACHINE_CLASSIFIED	false	true	round3m-live-assertions|round4a-pair-edge	PAIR_EVENT_DERIVATION
round3l-restricted-receipt	Round 3L restricted ledger receipt	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3l/public/RESTRICTED_LEDGER_RECEIPT.json	895817cb590d77176e32cda75a4e75008d2c220ed7137f48ccc588b460ab475c	10050	NA_NOT_TABULAR	11801	20994	AGGREGATE_RECEIPT_ONLY	MIXED	MIXED	STAGED	false	true	round3m-review-queue	RESTRICTED_DATA_NOT_IMPORTED
round3l-public-checkpoint	Round 3L public checkpoint	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3l/public/PUBLIC_CHECKPOINT.json	7c3c1f9e625bf3fa1636dd16536e6e402ea39506eabdf1fe9f98df8dc3e1a982	9007	NA_NOT_TABULAR	376	26515	AGGREGATE_RECEIPT_ONLY	UNRESOLVED	MIXED	STAGED	false	true	round3m-legacy-376	AGGREGATE_LINEAGE_ONLY
round3l-source-attempts	Round 3L public source-attempt receipts	ROUND3L	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3l/public/SOURCE_ATTEMPTS_PUBLIC.tsv	e4c39091f2a23692143cbcb0d75d48eb6381e9abdb5701ed28dc7c90fb4e067a	355333	851	376	NA_ATTEMPT_ROWS_NOT_COFFEE_RECORDS	ROW_LEVEL_DERIVED	MIXED	MIXED	SOURCE_AUDITED	false	true	round3m-source-census	ACQUISITION_LINEAGE
round3m-normalized-language-reference	Existing normalized expression assets	ROUND3I	origin/main	21d04f50952ac30ee13010ee26bae8a224ea9f71	db/data/round3i/evaluation/language_expressions.tsv	4bd7b824ee461ca6043c5546e8f3a242a0983bbbc38d3c01b6fbb5d83e51a174	11147	37	0	0	REFERENCE_ONLY	REFERENCE_ONLY	SOURCE_SPECIFIC	HISTORICAL_FROZEN	false	true	round3m-normalization	NO_OBSERVATION_MERGE
