cleaned_descriptor_assertion_id	source_descriptor_assertion_id	snapshot_version	source_dataset_id	source_family_id	source_route_id	source_artifact_id	source_file_sha256	source_locator	effective_record_id	coffee_identity_id	edition_year	preparation_service_id	publication_layer	source_field_label	source_field_text_sha256	atomic_source_text_sha256	source_native_form_or_restricted_pointer	cleaned_lexical_form_or_restricted_pointer	cleaned_lexical_form_sha256	semantic_class	canonical_mapping_state	canonical_concept_id	cleaned_descriptor_identity	mapping_confidence	segmentation_decision	evidence_tier	rights_state	panelist_identity_sha256	panelist_sample_observation_sha256	roast_evidence_sha256_or_state	counts_as_cleaned_assertion	counts_as_record_unique_cleaned_descriptor	publication_duplicate_suppressed	human_reviewed	expert_adjudicated	model_eligible	cleaner_version
cleaned-assertion:0001a652a63b3f17f6c35a86	assertion-b2:9e21090f267a39cae1829b45	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.zenodo_golovinsky_q_grader_dataset	route.zenodo.20840464.panelist-descriptions	artifact-b2:85df699ea18f5849ef310410	85df699ea18f5849ef3104100a20570d5df13e7d6cc7ce53e20c3df8a5219150	sheet:All Panelists#row=293;column=5	effective-b2:51095fb25e821a34bb49ae51	coffee-b2:53e088465b764cd58f29e826	2026	CUPPING	JUDGE_LEVEL_OBSERVATION	Aroma description	3d66e17bf0e43be43b4a8d830afe5c1804a1f8eb03dbb4ada18602984dd2c796	7dfd8928a4a3162bbd66beb10987e7640f1de3230dd1bef92b5ee9a1c751ab28	hash:sha256:7dfd8928a4a3162bbd66beb10987e7640f1de3230dd1bef92b5ee9a1c751ab28	hash:sha256:7dfd8928a4a3162bbd66beb10987e7640f1de3230dd1bef92b5ee9a1c751ab28	7dfd8928a4a3162bbd66beb10987e7640f1de3230dd1bef92b5ee9a1c751ab28	STRICT_FLAVOR	AMBIGUOUS_MAPPING		cleaned-form:7dfd8928a4a3162bbd66beb1	0.000000	KEEP_ATOMIC	P1	AFFIRMATIVE	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	af331ad9e1915acd37b32f06bc1884fa1f5f81f1cec7e99f2a2af648811f31f2	hash:sha256:894c832511279894398bdc36dc951806ca2db3bc976ac65c4719e1f197278dba	true	false	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:0001b53ce8f095c5e2d11149	assertion-b2:7f294d49701bbef88840d30e	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:59605d731b05fbccf8f95a4f	59605d731b05fbccf8f95a4fddccdd248054f2c8dffa00fef7dacbf414595779	html:item-attr=Aroma / Flavor;index=2	effective-b2:f84c16bfe5c5ab4d1fe0dc94	coffee-b2:3bbeb5209919a71891f1a068	2015	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	21297441d035de3d46ef580b281b524b646982eb5ad6d65eb8cc2db7f1b27341	d3dc88ae24a3be59843285c31e59c42286e0724f6698aad5e14217416ab05c25	hash:sha256:d3dc88ae24a3be59843285c31e59c42286e0724f6698aad5e14217416ab05c25	hash:sha256:d3dc88ae24a3be59843285c31e59c42286e0724f6698aad5e14217416ab05c25	d3dc88ae24a3be59843285c31e59c42286e0724f6698aad5e14217416ab05c25	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		cleaned-form:d3dc88ae24a3be59843285c3	0.000000	KEEP_ATOMIC	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:000458545ce1d44602b48529	assertion-b2:19559ee9aa7e8ea3ca13fad2	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:9b08ff0726e8b5cefafc2b78	9b08ff0726e8b5cefafc2b788fbd4854b1ff973920f406e2f0a88af1b4a40e1a	html:item-attr=Aroma / Flavor;index=2	effective-b2:d08818c6852939ecb4b98cee	coffee-b2:1c4ecbfd68e6cdcae3f39895	2023	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	16f90c02929c1b50f6cc24948d6c92b5e9768f7f244af4ce228325cc61edda8e	9b1b8c9a1c9239e8ca19745715b317768aca94d57ddf810ea29e9bdb590e246c	hash:sha256:9b1b8c9a1c9239e8ca19745715b317768aca94d57ddf810ea29e9bdb590e246c	hash:sha256:a73860a05ec07cb9ce86d8022312d6e32e5048f44e33e3386cf1ce8a6dc4fe27	a73860a05ec07cb9ce86d8022312d6e32e5048f44e33e3386cf1ce8a6dc4fe27	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		cleaned-form:a73860a05ec07cb9ce86d802	0.000000	KEEP_ATOMIC	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:001665ac8018f4e42a1395a4	assertion-b2:91d404bb1947017450bf0573	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.zenodo_golovinsky_q_grader_dataset	route.zenodo.20840464.panelist-descriptions	artifact-b2:85df699ea18f5849ef310410	85df699ea18f5849ef3104100a20570d5df13e7d6cc7ce53e20c3df8a5219150	sheet:All Panelists#row=317;column=7	effective-b2:e7105ff063a2e45ce5c9feb7	coffee-b2:29357427895568fb12a1b95d	2026	CUPPING	JUDGE_LEVEL_OBSERVATION	Bouquet description	ccbff6ed3f9c4348dbcfe9830417a60fd5fc839272a444f9a1b27958e4cc7676	b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c	hash:sha256:b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c	hash:sha256:b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c	b0fef621727ff82a7d334d9f1f047dc662ed0e27e05aa8fd1aefd19b0fff312c	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.pineapple	sensory.pineapple	1.000000	KEEP_ATOMIC	P1	AFFIRMATIVE	eeee7d0a469eec1639e33e02a1a098aa15d27bc81a52710d2f379bfd994b5514	b588c76df7de1d08cae2f5c41fa442ac09c14038257a8e1a43803b6087b1352b	hash:sha256:b9b9cee26642b955bccca076de3a96bc55330133f8f3a3605762827990bde3d8	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:001772f78a268583c31dc261	assertion-b2:1c8c8fe194c0af993391208d	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:c735a3f5a20230be26c80daf	c735a3f5a20230be26c80daf181f3ae4975014dbb07e783f9e097e756f355abf	html:item-attr=Acidity;index=3	effective-b2:4080acdb82a803ccc69cf305	coffee-b2:b32e592b54e589cc41c0341f	2025	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	a6e0f3dcfe137edc029356aec3fda6348be7a0d4d36f5278fb7e8df463558aeb	4c71d89a97c1b2a60765b35fd85f5c9d32eeec7c3bf89acaf5f341ae0e21fa66	hash:sha256:4c71d89a97c1b2a60765b35fd85f5c9d32eeec7c3bf89acaf5f341ae0e21fa66	hash:sha256:f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.lemon	sensory.lemon	1.000000	SAFE_LIST_SPLIT	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:0019f6f2eedee10cad3eae15	assertion-b2:8bd5aa090cd3fc5eaef812da	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:9aa41feffcb09e295b480138	9aa41feffcb09e295b48013852e7ef0414b9f6e8e4b7bfb1758b076af07428df	html:item-attr=Aroma / Flavor;index=2	effective-b2:a0ecd336244e1a5d085fd56d	coffee-b2:b09b2cde5325054145f1f996	2021	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	dc42c6c94a10093257cc4813d7cc3fc9682ac0b0247b2d98df33137e2ff2cbc4	07a81f02b607fa1ad8dda6bb8e95fd65d07db46f5c44f88d0b63790781d8e697	hash:sha256:07a81f02b607fa1ad8dda6bb8e95fd65d07db46f5c44f88d0b63790781d8e697	hash:sha256:c877647d1eef4e2a539597841d24963407bb2d32fde8cb5cff82f19d9e973d8f	c877647d1eef4e2a539597841d24963407bb2d32fde8cb5cff82f19d9e973d8f	STRICT_FLAVOR	AMBIGUOUS_MAPPING		cleaned-form:c877647d1eef4e2a53959784	0.000000	KEEP_ATOMIC	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:001a9f3e71aa9a53fcf7e3bc	assertion-b2:d44656ebc73ac1ed2e0a9b85	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:330b8406c7a52419959bd884	330b8406c7a52419959bd8842ecb1d1ec28f22f86a412adef6a7ed82b97b25dd	html:item-attr=Aroma / Flavor;index=2	effective-b2:6dd921e0b8790b37e950c6e2	coffee-b2:ca9a262797fe2fd2e9040965	2017	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	216e57d6c8e2740c097d7bade3b041fa0aae386724ec7222b9751ba98a3b488e	d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b	hash:sha256:d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b	hash:sha256:d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b	d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.brown_sugar	sensory.brown_sugar	1.000000	KEEP_AS_ESTABLISHED_COMPOUND	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:0028acc4c44e2083a5749371	assertion-b2:f9826e9fe5f3d69340c1814b	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:b1d160296f653d2d3e98ae67	b1d160296f653d2d3e98ae67584ff922a297475294395faf95e6e0256446e2b8	html:item-attr=Aroma / Flavor;index=2	effective-b2:db6427fef20e14a0372dfe4a	coffee-b2:702084e32dca832a6b2010f2	2023	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	12ce6fda8fb205a478f23a52e516816a7fca82d4876f0a6dd3a5d4bd26e6243d	ae7c23c05aa9063f79168c285fc0d99cf97c83ca3e39c87607e8070bcb2ebda3	hash:sha256:ae7c23c05aa9063f79168c285fc0d99cf97c83ca3e39c87607e8070bcb2ebda3	hash:sha256:d037e316bcc269c4768e68d70f1553c225c33c052810d83e84096f0168e8c31b	d037e316bcc269c4768e68d70f1553c225c33c052810d83e84096f0168e8c31b	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		cleaned-form:d037e316bcc269c4768e68d7	0.000000	KEEP_ATOMIC	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:002c1f1b68279299035ecda7	assertion-b2:fb722519d65f881ad6ef3bce	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.zenodo_golovinsky_q_grader_dataset	route.zenodo.20840464.panelist-descriptions	artifact-b2:85df699ea18f5849ef310410	85df699ea18f5849ef3104100a20570d5df13e7d6cc7ce53e20c3df8a5219150	sheet:All Panelists#row=102;column=11	effective-b2:c601a11376ce73da899cd795	coffee-b2:812718bedb5aec14ed3d3460	2026	CUPPING	JUDGE_LEVEL_OBSERVATION	Acidity description	20bb8365d6c3d3fa2aaaa83dfa56a83d1945f4c2bf51544dad9de3e6aeac5f16	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	hash:sha256:73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	hash:sha256:73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	STRICT_FLAVOR	AMBIGUOUS_MAPPING		cleaned-form:73cce42f1f0e9099688b8eb6	0.000000	KEEP_ATOMIC	P1	AFFIRMATIVE	77bca2769d9e667d2379a532d10b6e65504e7068c60a112cbff2bf5134783398	5e3219df130007958d764bd6707219bfe65dbf08957045b5dcff6f92ece9fade	hash:sha256:894c832511279894398bdc36dc951806ca2db3bc976ac65c4719e1f197278dba	true	false	false	false	false	false	batch3.restricted-semantic-cleaner.v1
cleaned-assertion:00399d28cea95816e178b78f	assertion-b2:6a281d00aa2b4e9894992372	professional-descriptor-candidate-v0-20k	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	artifact-b2:679b8737f253965a0e9228b8	679b8737f253965a0e9228b8b3159eef02d26f93a6df088929085360170b9604	html:item-attr=Aroma / Flavor;index=2	effective-b2:fa3696fd619dcf54c14fdd00	coffee-b2:888632bb8101a96d8ec2e8bd	2021	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	9ba537e31f810752ed9cfa3f27c04f66c91070269d993be1c35438608a6ecc4e	2b1f3f0b7afa26e4a824521353a48880a0dbb7c6f7a371056fbde0c6ee03f407	hash:sha256:2b1f3f0b7afa26e4a824521353a48880a0dbb7c6f7a371056fbde0c6ee03f407	hash:sha256:85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.peach	sensory.peach	1.000000	KEEP_ATOMIC	UNRESOLVED	UNKNOWN			UNREPORTED	true	true	false	false	false	false	batch3.restricted-semantic-cleaner.v1
