descriptor_assertion_id	source_dataset_id	source_family_id	source_route_id	effective_record_id	coffee_identity_id	edition_year	preparation_service_id	publication_layer	source_field_label	source_locator	source_field_text_sha256	atomic_source_text_sha256	source_native_form_sha256	source_language	original_descriptor_class	segmentation_decision	segmentation_confidence	segmentation_basis	cleaned_atom_count	cleaned_lexical_form_sha256s	semantic_classes	mapping_states	canonical_concept_ids	decision_methods	mapping_confidences	semantic_cleaning_disposition	review_requirement	evidence_tier	rights_state	counts_as_assertion	counts_as_record_unique_descriptor	human_reviewed	expert_adjudicated	model_eligible	panelist_identity_sha256	panelist_sample_observation_sha256	roast_evidence_sha256_or_state	restricted_text_available_for_cleaning	cleaner_version
assertion-b2:00027c1605fb6305bf2c86b0	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:429327e7cf5d500c2fc8ba1a	coffee-b2:ef442dd7cfd6d643ca13b41c	2024	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	b1b601efe9dfb24fca650df3e48362ec275beae6494aca8ba96d7d2e0d2c4c92	c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1	c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.plum	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:00034a1df3120a9fcc6a2bf6	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:84441267d5e8de7f465332de	coffee-b2:5664d4a40a68f3668c47c6d3	2017	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	a600abfd7df3cc51f5d8d7d9302e6efd4fa4b0729aed696a88c8979e8214c3be	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	f6c544f14cf432eb80745e9637ace25e460f06a74b85acfa1b235f0404c09f4a	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0003d39d95eb41d207f4e8a9	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:a4b790215daf80b74c53c35f	coffee-b2:5f4d9d06ab5a819bd167f6f6	2022	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	68458d8913c539d9ec2c0e5c5f085f534c3a5d241c2355998fddffa5d5eebf68	aac7e89fcd0eec2dcec673320d8c1f6378a59affaf1bd4d16686a039014d6ed4	aac7e89fcd0eec2dcec673320d8c1f6378a59affaf1bd4d16686a039014d6ed4	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	10e9f5602d2492b386b4dc750c3b0f9a5d2e55df2855637d7a485144177ab21a	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:000417b681f08d9c0a925254	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:3d4029c7819353c57775f957	coffee-b2:8b133a8ef8aa1bfb536a3370	2025	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	5e33d733b8a44d7c29f53a9e25ec4a7c0cef895a03fdc858f55b0147218f2719	c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1	c8b2fae9f5dc3c52c4e223323f26f5c5e5726210c2da7f7cd3370bce461836a1	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	0467255695084cc12ffe0c55105907f74a9c189314b9fe87b878eb6fee787b99	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.plum	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:000467bc304734688ddb4946	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:64be95bf4d989d5e30ec85eb	coffee-b2:d19070f09936254f35a86b8b	2022	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Overall	html:item-attr=Overall;index=1	aca579ef32b078865bf518c21e038fba5dcb7bd056153005ecdb451b2fa5fee9	d9f525e184730d9bfbc276533e20a5f31df0965f501c490397defdebc968d9cc	d9f525e184730d9bfbc276533e20a5f31df0965f501c490397defdebc968d9cc	en	BROAD_SENSORY	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	206b5ec743f4c4871bc45ea8f93272fe162d8a1aaad6c684299ccdf813183c14	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:00071e1faee1d91f1f6045af	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:9d3dc35443ce05b0a7aa5c9f	coffee-b2:f8ac3fb9559bc021bf7e3e2d	2018	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	ca702dc9441e70c59b8c72619213e6e92bf49b1a3c585671df1bc8ebda440dbb	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	en	STRICT_FLAVOR	KEEP_AS_ESTABLISHED_COMPOUND	1.000000	GOVERNED_BATCH3_COMPOUND_ALLOWLIST	1	dce34e094109d0c0e096b1c304b8053a1aab66e9ae09916faf3e0e8a3000c4be	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.dark_chocolate	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:0008b23298aad41e184dea36	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:ebe3b9e677f1bdd4401085b6	coffee-b2:5ebac02f2ca1a34579f25539	2017	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Acidity	html:item-attr=Acidity;index=3	f423106fd36c6cc8a749099941bc4513db7377154e15155e6df12615f1d78ead	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	0237742265ea9ac1dba0afa9410bec9d562c9eeb60dc327d1f9ae13ddcf87c84	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.salty	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:000953e5e639232de557ebf6	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:fa9d658c6dbf0bd5014b72ef	coffee-b2:0ff215e909d3adb17378a0b7	2012	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	8cbadabdc7f8858521748aacc91471082a3bcbe56d052059196812a973e98d8c	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	90e62b92a956add6e1c3871b7f592616665e610f12c6468eaad9533ef50834bc	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.almond	AUTOMATED_SAFE_RULE	1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:000a4351bca711cdefc4e745	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:e52eb8288949e51c8d0890f2	coffee-b2:b996ca8b1dfc60e8777ed75a	2008	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	4651a54a4facc5ddc6aaedb513da39c3e3fd86101d4414975b7a07ca291c6391	2901721ac6fc0e2056f6cc779c876a150b57a5513bc02278e3b8afd8b4efd7cf	2901721ac6fc0e2056f6cc779c876a150b57a5513bc02278e3b8afd8b4efd7cf	en	STRICT_FLAVOR	HEAD_PLUS_MODIFIER	0.940000	LEADING_MODIFIER_PRESERVED_SEPARATELY	2	c6de72fbfb89efcf82e78393d9b7736ebc531f493a9902bd120202101d35925c|e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	STRICT_FLAVOR|INTENSITY_OR_QUALITY_MODIFIER	AUTO_MORPHOLOGICAL|NON_DESCRIPTOR	sensory.cherry|	AUTOMATED_SAFE_RULE|AUTOMATED_SAFE_RULE	0.980000|1.000000	SEMANTICALLY_VALID	AUTOMATED_SAFE_RULE	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
assertion-b2:000d61c86d98f7f3d5f6e65b	professional-descriptor-scaleup-batch2-public-safe	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	effective-b2:d3667aa499308209621f4804	coffee-b2:ff7594cf8588f6116bbaab39	2020	CUPPING	GENERIC_ORGANIZER_SENSORY_FIELD	Aroma / Flavor	html:item-attr=Aroma / Flavor;index=2	13e5a9731341678d6c3bee79a52284b2f99f32774eac5abbac3748c7eab97a14	258e5f076bba687259266eff447874e0b66b48a26bedef2624fdf929f0f17e23	258e5f076bba687259266eff447874e0b66b48a26bedef2624fdf929f0f17e23	en	STRICT_FLAVOR	KEEP_ATOMIC	0.920000	SINGLE_SEMANTIC_ATOM	1	2a4796d53a1ec4dd67daa38b92994c579e7ebe071ae5ceab870c5fc5736f2311	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		MACHINE_PROVISIONAL_REVIEW	0.000000	SEMANTICALLY_VALID	MACHINE_PROVISIONAL_REVIEW	UNRESOLVED	UNKNOWN	true	true	false	false	false			UNREPORTED	true	batch3.restricted-semantic-cleaner.v1
