cleaned_output_atom_id	base_form_sha256	modifier_form_sha256	relation_type	evidence_authority	review_required
cleaned-output-atom:00129e52725e9e53384d8f6b	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0025c9c0bca9ad87cbcc86e3	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:005a71c91783639b77e83e32	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	447f7f5c325ea17e635bef91bac42e27c55490450f38f1815d8d6c0bb36687ac	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0070038d630be100527501b2	f5f445528f4a0134354c891fbd95fd0734d25cb2c9206c4684545ae49b14d29b	f5f445528f4a0134354c891fbd95fd0734d25cb2c9206c4684545ae49b14d29b	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:007c708350cefbebd76ba248	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:007de99230de535e997c4abb	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0095b7b1586347b4d83b135f	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00976dc2ef86556a12a70c32	c082456a7766e23a18db084cd34b6ff510baef506548b897cc80e9b7d3e121c8	c082456a7766e23a18db084cd34b6ff510baef506548b897cc80e9b7d3e121c8	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00a1686aaa02ce09d10a69a5	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00a2c5fe6cb2bbbe08936e39	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00a3d007e76e067b412a158c	4c6a4839f83d20d276e7ba94bde38eed7e8495fcefcea6222fb5d2ff5b60fc4b	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00d1a50155a08538b657156a	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:00da4e1b81ae00924d5f6921	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0108fb23fafb2142148e8503	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:012824707f3a04e029ca7c11	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:012eecc053f2bc674aaf9e3c	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	b9043c16af362f30807deaf692025d61c3c803bba1efc43fe2f63dc8b507418d	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:01371ec095be3adfc82b98ff	7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	e6bb5689beec52c4672bd4df92c3613d128d30cdc2b704f76953fe43d89c4ae8	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:0157ba9c7774bc22e1284d23	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:015b0feeb30a8399c7544335	d0d092b83d4aefab43b6c1ba0d766d7e1a0d2677ab9abe374d6d5fe83a1ee641	d0d092b83d4aefab43b6c1ba0d766d7e1a0d2677ab9abe374d6d5fe83a1ee641	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
cleaned-output-atom:016194a77a5951d367b72000	d098ab5e44b9aabb755f76d806598f43573c662b35e4a2eab1e312ec9ad195e2	d098ab5e44b9aabb755f76d806598f43573c662b35e4a2eab1e312ec9ad195e2	MODIFIES	S3_MULTI_SOURCE_MACHINE_CANDIDATE	true
