semantic_form_node_id	cleaned_form_id	cleaned_lexical_form_sha256	source_languages	semantic_classes	source_native_form_ids	source_families	records	assertion_support	source_language_count	source_native_form_count	source_family_count	effective_record_support
semantic-form:000ac144744b6299a777f131	cleaned-form:000ac144744b6299a777f131	000ac144744b6299a777f131502add7c3288d209557e17a8133f48a9c88e714a	UNREPORTED	STRICT_FLAVOR	source-form:151cc805ae61791812016c03	family.coffeereview_kaggle_parsed	effective-b2:85d41b10bc61bcb36614196e	1	1	1	1	1
semantic-form:000b8d8113077270913b8e7e	cleaned-form:000b8d8113077270913b8e7e	000b8d8113077270913b8e7e690a15127a42c7a5e521d032fc5bfc881ade7396	UNREPORTED	STRICT_FLAVOR	source-form:000b8d8113077270913b8e7e|source-form:9a2b40252e30acf36d174dfa	family.coffeereview_kaggle_parsed	effective-b2:2224ae0374f050236ecb0f35|effective-b2:c9231580651b65da0bcae244	2	1	2	1	2
semantic-form:001e8fcc3aa0fe52b1a73dd9	cleaned-form:001e8fcc3aa0fe52b1a73dd9	001e8fcc3aa0fe52b1a73dd9f8a25973358e7f01dd5c571ab18287e84970d950	UNREPORTED	STRICT_FLAVOR	source-form:001e8fcc3aa0fe52b1a73dd9	family.coffeereview_kaggle_parsed	effective-b2:5dc1b310702f666039137574	1	1	1	1	1
semantic-form:00211591ce366b871a8d3851	cleaned-form:00211591ce366b871a8d3851	00211591ce366b871a8d3851499f9441d8c41e944e0f9bf18087b1f343e2d56d	UNREPORTED	STRICT_FLAVOR	source-form:aaf2d054d5f750cbf297a4ec	family.ace_cup_of_excellence	effective-b2:0918031d963a38db29679982|effective-b2:621e3bac0a1e3c8507072cc3|effective-b2:c6bdd91579065563f3b6f627	3	1	1	1	3
semantic-form:00234025c7c2670eb6e86553	cleaned-form:00234025c7c2670eb6e86553	00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	UNREPORTED	STRICT_FLAVOR	source-form:00234025c7c2670eb6e86553	family.coffeereview_kaggle_parsed	effective-b2:90b5dc24c1cc6d0c75053e91	1	1	1	1	1
semantic-form:0024dd9ffa0bc9236755313c	cleaned-form:0024dd9ffa0bc9236755313c	0024dd9ffa0bc9236755313c84915ea934243d314f469fb8591b91161c15ba68	UNREPORTED	STRICT_FLAVOR	source-form:7722f9955b40993407256e60	family.coffeereview_kaggle_parsed	effective-b2:a737a1ff8780908112917e0d	1	1	1	1	1
semantic-form:002cec3353ceb7764bc0ffb9	cleaned-form:002cec3353ceb7764bc0ffb9	002cec3353ceb7764bc0ffb925908109e1f31d054e9d938905c167de18d2a1b2	UNREPORTED	STRICT_FLAVOR	source-form:002cec3353ceb7764bc0ffb9	family.coffeereview_kaggle_parsed	effective-b2:4869d99a902f183ba3cbc182	1	1	1	1	1
semantic-form:002f02e20253ccb5884db75a	cleaned-form:002f02e20253ccb5884db75a	002f02e20253ccb5884db75adf7b15d29ee7a1047f49e6ee8df92abf5cc54d56	UNREPORTED	STRICT_FLAVOR	source-form:22accdc41624c19fd56b2a86	family.ace_cup_of_excellence	effective-b2:2cc66886988fedbd3beec65e|effective-b2:e0d12ca4f1b0b96a7e116ded	2	1	1	1	2
semantic-form:0035449412680c15d2fcd33c	cleaned-form:0035449412680c15d2fcd33c	0035449412680c15d2fcd33cbdd40e1a361e042d49f718026561045e820bf5ac	UNREPORTED	STRICT_FLAVOR	source-form:0035449412680c15d2fcd33c	family.ace_cup_of_excellence	effective-b2:00978766a6c58a160fd5bd2f|effective-b2:1dbb85ea60ca24e9d72e98e1|effective-b2:3d9fe3e460fa7b7888b2fd18	3	1	1	1	3
semantic-form:0036ab106c6afae772502c0c	cleaned-form:0036ab106c6afae772502c0c	0036ab106c6afae772502c0c449c8b1015dabe20c9b4e422f9275cc908cdd806	UNREPORTED	STRICT_FLAVOR	source-form:9f7d67c7f1f1f11a45e011a1	family.coffeereview_kaggle_parsed	effective-b2:4963302d5a102f411ae68562	1	1	1	1	1
semantic-form:0043a78b6c76f7b20bd19e9d	cleaned-form:0043a78b6c76f7b20bd19e9d	0043a78b6c76f7b20bd19e9d3685330e552f5c6f36a23179229bce610b3c371b	UNREPORTED	STRICT_FLAVOR	source-form:0043a78b6c76f7b20bd19e9d	family.coffeereview_kaggle_parsed	effective-b2:7f982a986b015556b199a38e	1	1	1	1	1
semantic-form:0048cd93a9126a1115dc1371	cleaned-form:0048cd93a9126a1115dc1371	0048cd93a9126a1115dc1371339400bc004d8b5c06c232d1873ca77cd2c92f06	UNREPORTED	STRICT_FLAVOR	source-form:0048cd93a9126a1115dc1371	family.coffeereview_kaggle_parsed	effective-b2:567a342819f8e58f70815e67	1	1	1	1	1
semantic-form:004bcb11298d86dbb28d8bdc	cleaned-form:004bcb11298d86dbb28d8bdc	004bcb11298d86dbb28d8bdc692eb0966d8cc2e1382bbd895692256e84505e7f	UNREPORTED	STRICT_FLAVOR	source-form:004bcb11298d86dbb28d8bdc	family.ace_cup_of_excellence	effective-b2:8c58ddd2b200cc245d07a4fa	1	1	1	1	1
semantic-form:004c9296a1db68840bac6fba	cleaned-form:004c9296a1db68840bac6fba	004c9296a1db68840bac6fba49cf73b4927c0fd928c6609a1e56a1cf951e2e9e	UNREPORTED	STRICT_FLAVOR	source-form:6878ae789c36bd9a5023ef1d	family.ace_cup_of_excellence	effective-b2:6722c6657bc3298c10b6d92d|effective-b2:924709142abc6036aa44c864	2	1	1	1	2
