corpus_view	normalized_descriptor_candidate_id	assertion_count	effective_record_count	coffee_identity_count	source_family_count	source_route_count	edition_count	year_count	preparation_service_count	c0_family_count	direct_source_roast_count	reviewed_c1_count	p1_count	p2_count	p3_count	p4_count	unresolved_count	rights_affirmative_count	rights_pending_count	rights_unknown_count	human_reviewed_count	gold_candidate_count	silver_candidate_count	bronze_candidate_count	multi_target_record_count	supported_pair_event_count
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00211591ce366b871a8d3851	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	18
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0035449412680c15d2fcd33c	3	3	3	1	1	3	3	1	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	3	32
ALL_PROFESSIONAL_CANDIDATES	provisional-form:007b30c58c7ec5cddea593e6	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	77
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00971891d0a3c857d5d9da31	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	43
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00bf2a71bb491c2c412609a4	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	31
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00c1bfc25e3f420f698eb4e4	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	26
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00d11132a27be6114cece180	4	4	4	2	2	3	4	1	0	0	0	0	0	0	2	2	0	0	4	0	0	2	2	4	54
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00d2064db061fbc29e714b94	99	87	87	3	3	17	15	1	0	2	0	3	0	0	1	95	3	0	96	0	3	95	1	87	2869
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00dd4700a8e6b3aba2e4bf04	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	18
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00e9e032c730e844bfd4b87e	11	11	11	1	1	5	5	1	0	0	0	0	0	0	0	11	0	0	11	0	0	11	0	11	386
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00f42b36508dbff43354e9e8	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	41
ALL_PROFESSIONAL_CANDIDATES	provisional-form:00f7f5e01c7c1b3572666d67	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	15
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01024deec75e9c0eb827d664	11	11	11	2	2	5	5	1	0	6	0	6	0	0	0	5	6	0	5	0	6	5	0	11	324
ALL_PROFESSIONAL_CANDIDATES	provisional-form:011804ce39302447e5307f7e	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	24
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0141e43ea3311b1a6a7736b6	3	3	3	1	1	2	2	1	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	3	42
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0147b30e460c829b75fd161a	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	18
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01551b23992df410e1dd7c52	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	16
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0166c656bcbdb629c7137901	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	44
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0178759a92574eed8a50482c	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	26
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0178fa91fd0fe5bdd059ffec	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	52
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01a9d45489b2279d7f0f5af6	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	55
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01ace5cb07864605cda2e38c	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	10
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01bce3153df843f03a7a8e2e	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01ee04964b9364efb1de5627	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	11
ALL_PROFESSIONAL_CANDIDATES	provisional-form:01f278db00b52bd783889556	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	27
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0237742265ea9ac1dba0afa9	5	5	5	1	1	3	3	1	0	0	0	0	0	0	0	5	0	0	5	0	0	5	0	5	177
ALL_PROFESSIONAL_CANDIDATES	provisional-form:02467488c095a66bec4812c9	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	39
ALL_PROFESSIONAL_CANDIDATES	provisional-form:025005b61199b5cdaf60d0fe	3	3	3	1	1	1	1	1	0	0	0	0	0	0	0	3	0	0	3	0	0	3	0	3	196
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0251056a425aa4d1df2e3b28	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	21
ALL_PROFESSIONAL_CANDIDATES	provisional-form:02517a175e65db85d4468b5b	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	22
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0267c63d718c9d786ac15930	4	4	4	1	1	1	1	1	0	3	0	4	0	0	0	0	4	0	0	0	4	0	0	4	145
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0267e12d74a1390e1c032fe8	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	24
ALL_PROFESSIONAL_CANDIDATES	provisional-form:02a8445237f66aff1331ca00	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	23
ALL_PROFESSIONAL_CANDIDATES	provisional-form:02bd1234bc95029f37f9195d	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	29
ALL_PROFESSIONAL_CANDIDATES	provisional-form:02cf1cce1b9414df96996756	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	19
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0304e0a5c2b92b3a531ad8ae	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	22
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0310af5dc09767fa699e82d2	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	78
ALL_PROFESSIONAL_CANDIDATES	provisional-form:03190bc6ba0a2e2a866cad96	2	2	2	1	1	1	1	1	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	2	94
ALL_PROFESSIONAL_CANDIDATES	provisional-form:032607ed6cd3a9ce942dbe7e	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	19
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0349463d850d4d3e07afbf40	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	19
ALL_PROFESSIONAL_CANDIDATES	provisional-form:03688820a0300a8a71d130bb	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	20
ALL_PROFESSIONAL_CANDIDATES	provisional-form:036bd2e2d500ea3d9d4257f8	2	2	2	1	1	1	1	1	0	2	0	2	0	0	0	0	2	0	0	0	2	0	0	2	74
ALL_PROFESSIONAL_CANDIDATES	provisional-form:0392394420fbd286a0ea785b	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	22
ALL_PROFESSIONAL_CANDIDATES	provisional-form:03a5831160202f312da3decd	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	14
ALL_PROFESSIONAL_CANDIDATES	provisional-form:03c462e9f184f9ce9395e4b9	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	9
ALL_PROFESSIONAL_CANDIDATES	provisional-form:03cdf3e00e74fb35b47208a6	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	58
ALL_PROFESSIONAL_CANDIDATES	provisional-form:040de795d869a122599a3ae0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	24
ALL_PROFESSIONAL_CANDIDATES	provisional-form:041e7e9af05c63e5c94b2133	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	28
