cleaned_descriptor_identity	canonical_concept_id	semantic_class	mapping_state	cleaned_assertion_support	effective_record_support	source_family_support	year_support	gold_support	silver_support	bronze_support	rights_affirmative_support	rights_pending_support	rights_unknown_support
sensory.caramel	sensory.caramel	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	461	346	3	19	168	286	7	165	3	293
cleaned-form:9738eaf312d761a8ae49f777		STRICT_FLAVOR	AMBIGUOUS_MAPPING	387	238	3	17	215	166	6	214	1	172
cleaned-form:7499aced43869b27f505701e		STRICT_FLAVOR	AMBIGUOUS_MAPPING	358	268	4	19	137	211	10	137	0	221
sensory.orange	sensory.orange	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	315	263	3	19	43	262	10	39	4	272
cleaned-form:12fad53d7ead16e0de5e2f4e		STRICT_FLAVOR	AMBIGUOUS_MAPPING	290	251	3	19	1	281	8	1	0	289
cleaned-form:a87b3e348ccb598ecb71bb83		BROAD_SENSORY	ONTOLOGY_CANDIDATE	281	265	3	19	22	252	7	15	7	259
sensory.lemon	sensory.lemon	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	274	208	2	19	25	249	0	23	2	249
sensory.peach	sensory.peach	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	269	247	3	18	25	237	7	17	8	244
sensory.honey	sensory.honey	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	265	249	3	19	16	248	1	11	5	249
cleaned-form:918f112d100d00dec359dcf5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	230	200	3	18	29	194	7	26	3	201
cleaned-form:5c17109d20746ad75bc1bb9d		BROAD_SENSORY	ONTOLOGY_CANDIDATE	225	195	3	19	18	194	13	16	2	207
sensory.brown_sugar	sensory.brown_sugar	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	220	201	2	19	0	212	8	0	0	220
sensory.lime	sensory.lime	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	210	155	3	19	12	195	3	9	3	198
sensory.cherry	sensory.cherry	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	209	196	3	19	27	175	7	26	1	182
sensory.apple	sensory.apple	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	203	160	2	17	73	130	0	71	2	130
sensory.black_tea	sensory.black_tea	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	198	175	3	14	53	141	4	51	2	145
cleaned-form:73cce42f1f0e9099688b8eb6		STRICT_FLAVOR	AMBIGUOUS_MAPPING	196	158	4	14	75	120	1	75	0	121
cleaned-form:7d108ddb9255c7f990a9ec23		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	195	188	1	18	4	191	0	0	4	191
sensory.dark_chocolate	sensory.dark_chocolate	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	191	159	4	18	73	115	3	73	0	118
sensory.plum	sensory.plum	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	189	163	3	17	4	181	4	2	2	185
sensory.grape	sensory.grape	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	185	158	3	18	22	156	7	22	0	163
sensory.jasmine	sensory.jasmine	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	183	174	3	19	21	158	4	14	7	162
cleaned-form:c0f1779c16d26bac92c4e32f		BROAD_SENSORY	ONTOLOGY_CANDIDATE	174	160	2	18	71	103	0	71	0	103
cleaned-form:510e9cd005e362235259c1db		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	169	150	3	17	25	143	1	24	1	144
sensory.vanilla	sensory.vanilla	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	159	150	2	19	11	148	0	10	1	148
sensory.mango	sensory.mango	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	155	150	4	17	4	146	5	4	0	151
sensory.grapefruit	sensory.grapefruit	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	147	132	3	18	20	124	3	17	3	127
sensory.strawberry	sensory.strawberry	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	145	128	3	16	21	116	8	19	2	124
cleaned-form:4c591c30afa436056d0d5936		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	143	135	1	8	0	143	0	0	0	143
cleaned-form:1b35cfba043c1d10319eaf83		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	141	75	2	10	129	12	0	129	0	12
cleaned-form:2efe147f807a984572e45054		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	140	128	3	18	15	120	5	10	5	125
cleaned-form:7f18041501a6073856a11aec		BROAD_SENSORY	ONTOLOGY_CANDIDATE	133	132	3	18	3	126	4	1	2	130
cleaned-form:7073ba391f6781ee969ea9b3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	127	119	3	18	32	93	2	32	0	95
cleaned-form:043d97d69419bd79f3b5c1d8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	126	125	1	16	3	123	0	0	3	123
cleaned-form:c877647d1eef4e2a53959784		STRICT_FLAVOR	AMBIGUOUS_MAPPING	124	95	3	14	69	55	0	69	0	55
cleaned-form:00d2064db061fbc29e714b94		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	121	105	3	16	3	117	1	3	0	118
sensory.cocoa	sensory.cocoa	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	119	100	3	15	68	50	1	66	2	51
sensory.raspberry	sensory.raspberry	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	118	111	3	16	16	94	8	14	2	102
sensory.pineapple	sensory.pineapple	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	117	108	4	16	8	107	2	8	0	109
cleaned-form:9093f2bb8d45a4d70a44fdf5		STRICT_FLAVOR	AMBIGUOUS_MAPPING	115	64	2	5	110	5	0	110	0	5
sensory.blueberry	sensory.blueberry	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	115	105	4	16	6	103	6	6	0	109
cleaned-form:c371578fdc5ddc302a761f00		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	112	109	1	8	0	112	0	0	0	112
cleaned-form:a97b0931730e83fbf9284ff0		BROAD_SENSORY	ONTOLOGY_CANDIDATE	110	103	3	17	40	69	1	35	5	70
cleaned-form:939cdab24ab8e2507ed87ced		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	102	101	1	17	2	100	0	0	2	100
sensory.blackcurrant	sensory.blackcurrant	STRICT_FLAVOR	AUTO_APPROVED_ALIAS	100	98	3	14	9	87	4	9	0	91
cleaned-form:0a74f3353673c6f25d8e5154		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	99	89	2	12	1	98	0	1	0	98
cleaned-form:70329b1c2fb2a364d806e0cc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	99	88	3	15	9	89	1	7	2	90
cleaned-form:06df90ccef78b5002bf5d2b2		BROAD_SENSORY	ONTOLOGY_CANDIDATE	97	93	1	17	6	91	0	0	6	91
cleaned-form:e13fb53a594fa513afc34fa7		STRICT_FLAVOR	AMBIGUOUS_MAPPING	96	77	3	15	51	42	3	51	0	45
sensory.molasses	sensory.molasses	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	93	89	3	16	7	85	1	5	2	86
cleaned-form:a73860a05ec07cb9ce86d802		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	91	86	2	16	5	86	0	1	4	86
cleaned-form:728a07126ea01d49ac050b9a		BROAD_SENSORY	ONTOLOGY_CANDIDATE	88	87	3	15	17	68	3	16	1	71
sensory.cinnamon	sensory.cinnamon	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	86	85	2	17	6	80	0	3	3	80
sensory.raisin	sensory.raisin	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	85	83	3	16	19	62	4	17	2	66
cleaned-form:cb48108ea0d1b87a515dc3d6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	84	81	2	15	8	76	0	6	2	76
cleaned-form:d037e316bcc269c4768e68d7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	83	77	3	12	5	75	3	5	0	78
sensory.almond	sensory.almond	STRICT_FLAVOR	AUTO_MORPHOLOGICAL	81	79	2	17	9	72	0	7	2	72
sensory.blackberry	sensory.blackberry	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	80	74	3	15	3	71	6	3	0	77
cleaned-form:545ce787c410276d227955b0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	79	72	2	16	0	78	1	0	0	79
cleaned-form:0a2562424d97b71d9d8acc0e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	78	64	1	7	0	78	0	0	0	78
cleaned-form:ba7ad46689f94dc14c1a456c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	78	69	1	10	2	76	0	0	2	76
cleaned-form:3bbd81ca7735640cb5a7f837		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	74	68	3	12	42	32	0	42	0	32
sensory.bergamot	sensory.bergamot	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	70	61	3	12	21	48	1	18	3	49
cleaned-form:48fb71763d97b54b752aa176		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	68	57	2	8	58	10	0	58	0	10
cleaned-form:9209526aaa61b0709dbb838e		STRICT_FLAVOR	AMBIGUOUS_MAPPING	68	60	3	14	7	61	0	7	0	61
cleaned-form:2a4796d53a1ec4dd67daa38b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	67	62	2	7	0	66	1	0	0	67
cleaned-form:36b481152ba40f4eec67cb63		BROAD_SENSORY	ONTOLOGY_CANDIDATE	66	65	1	18	2	64	0	0	2	64
cleaned-form:f811eb5c56eeb90a48b9dfc0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	66	46	2	2	65	1	0	65	0	1
cleaned-form:d6a98598212ed729f5b9a4d1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	62	53	2	9	49	13	0	49	0	13
sensory.hazelnut	sensory.hazelnut	STRICT_FLAVOR	AUTO_MORPHOLOGICAL	61	57	2	16	19	42	0	19	0	42
