review_item_id	review_rank	concept_cluster_id	mapping_state	assertion_support	effective_record_support	source_family_ids	year_ids	suggested_action	restricted_pointer	project_owner_decision	decision_reason	reviewer_id	reviewed_at
cross-form-review:0509f536d76610c3b9ded8f1	1	concept-cluster:527fc2be53e4a1f199e90a03	MODIFIER_OF_EXISTING_CONCEPT	868	668	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.frontiers_inera_robusta_q_grader_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:0509f536d76610c3b9ded8f1				
cross-form-review:63c5e9b0acc27aee922a6b75	2	concept-cluster:82c770dc95c80374ce894646	AMBIGUOUS_CONCEPT_BOUNDARY	680	564	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:63c5e9b0acc27aee922a6b75				
cross-form-review:cd2cd43ecc77558c9d974577	3	concept-cluster:550c354ca9f3411d5b5fe931	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	1261	743	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:cd2cd43ecc77558c9d974577				
cross-form-review:89450ba58710bfda543c2a5d	4	concept-cluster:7e2cab11be5e3b34887e4d2a	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	1013	666	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:89450ba58710bfda543c2a5d				
cross-form-review:6d245b44f1d6c2251d9237e2	5	concept-cluster:021a37d5fcdab9f7756708ae	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	898	675	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:6d245b44f1d6c2251d9237e2				
cross-form-review:2da6d6b71d3ef381379bbfe5	6	concept-cluster:fff4e8ec42c9fca16e65d7ee	AMBIGUOUS_CONCEPT_BOUNDARY	697	586	family.ace_cup_of_excellence|family.frontiers_inera_robusta_q_grader_panel|family.mdpi_certified_q_grader_storage_panel|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:2da6d6b71d3ef381379bbfe5				
cross-form-review:5ea4f113857ee957c76c9f8a	7	concept-cluster:92bac7e710e58049970d1da9	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	680	552	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:5ea4f113857ee957c76c9f8a				
cross-form-review:522c2878080730704f915899	8	concept-cluster:cf06d9dc3cdf43dc497ae9c1	AMBIGUOUS_CONCEPT_BOUNDARY	684	469	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	DEFER_TO_SENSORY_EXPERT	restricted://batch6_semantic_review/cross-form-review:522c2878080730704f915899				
cross-form-review:84639a94d04930d1f47d2fd1	9	concept-cluster:e02f9c8ddc5d774d0a65608d	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	859	581	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:84639a94d04930d1f47d2fd1				
cross-form-review:984d3027afae9bc84e13db60	10	concept-cluster:08f3a3dfb648c5f643d502b8	EXISTING_CANONICAL_CHILD_OR_SPECIFIC_FORM	689	512	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	MAP_TO_EXISTING	restricted://batch6_semantic_review/cross-form-review:984d3027afae9bc84e13db60				
