target_concept_id	train_output_count	test_output_count	historical_support_status	corrected_status	classification_basis
sensory.almond	5	3	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.apple	55	9	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.bergamot	15	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.bitter	3	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.black_tea	37	5	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.blackcurrant	8	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.blueberry	5	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.caramel	119	22	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.cardamom	4	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.cherry	20	4	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.clove	0	1	LOW_SUPPORT_TARGET	TRAIN_UNSUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.cocoa	108	26	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.dark_chocolate	45	17	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.grape	18	3	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.grapefruit	12	2	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.green_tea	15	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.hay	0	1	LOW_SUPPORT_TARGET	TRAIN_UNSUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.hazelnut	15	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.lemon	20	2	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.nutmeg	1	1	LOW_SUPPORT_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.orange	29	5	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.peach	10	2	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.peanut	1	1	LOW_SUPPORT_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.pear	8	3	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.prune	6	2	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.tobacco	27	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.vanilla	2	8	LOW_SUPPORT_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.walnut	9	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
sensory.woody	4	1	SUPPORTED_TARGET	TRAIN_SUPPORTED_TARGET	BATCH6_TARGET_TRAIN_TEST_RECONCILIATION
