gate_id	criterion	observed	required	gap	pass	data_blocker	review_blocker	rights_blocker	distribution_blocker	feasibility_assessment
GATE_500_EVALUATION	candidate_corpus_assertions	20003	500	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	candidate_effective_records	792	100	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	reviewed_p1_p2_strict_assertions	0	500	500	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	reviewed_normalized_forms	0	75	75	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	eligible_source_families	0	3	3	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	complete_provenance_rate	0	1	1	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_500_EVALUATION	ALL_CRITERIA	0	6	6	false	true	true	true	true	FAIL_CANDIDATE_VOLUME_DOES_NOT_OVERRIDE_REVIEW_RIGHTS_OR_DISTRIBUTION_GATES
GATE_2000_NORMALIZATION	candidate_corpus_assertions	20003	2000	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	provisional_mapping_coverage_percent	99	80	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	reviewed_p1_p2_strict_assertions	0	2000	2000	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	eligible_descriptor_records	0	500	500	false	true	false	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	reviewed_normalized_forms	0	100	100	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	minimum_records_per_output_label	0	20	20	false	true	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	eligible_source_families	0	3	3	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_2000_NORMALIZATION	ALL_CRITERIA	0	7	7	false	true	true	true	true	FAIL_CANDIDATE_VOLUME_DOES_NOT_OVERRIDE_REVIEW_RIGHTS_OR_DISTRIBUTION_GATES
GATE_5000_RANKING	candidate_corpus_assertions	20003	5000	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	reviewed_p1_p2_strict_assertions	0	5000	5000	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	eligible_descriptor_records	0	1000	1000	false	true	false	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	multi_target_records	0	500	500	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	eligible_supported_pair_events	0	2500	2500	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	eligible_source_families	0	4	4	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	held_out_years	0	1	1	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_5000_RANKING	ALL_CRITERIA	0	7	7	false	true	true	true	true	FAIL_CANDIDATE_VOLUME_DOES_NOT_OVERRIDE_REVIEW_RIGHTS_OR_DISTRIBUTION_GATES
GATE_10000_RESEARCH_NORMALIZATION	candidate_corpus_assertions	20003	10000	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	reviewed_p1_p2_strict_assertions	0	10000	10000	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	eligible_descriptor_records	0	2500	2500	false	true	false	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	reviewed_normalized_forms	0	200	200	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	minimum_records_per_output_label	0	50	50	false	true	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	eligible_source_families	0	5	5	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	held_out_source_families	0	2	2	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	held_out_years	0	2	2	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_10000_RESEARCH_NORMALIZATION	ALL_CRITERIA	0	8	8	false	true	true	true	true	FAIL_CANDIDATE_VOLUME_DOES_NOT_OVERRIDE_REVIEW_RIGHTS_OR_DISTRIBUTION_GATES
GATE_20000_RESEARCH_RANKING	candidate_corpus_assertions	20003	20000	0	true	false	false	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	reviewed_p1_p2_strict_assertions	0	20000	20000	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	eligible_descriptor_records	0	4000	4000	false	true	false	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	multi_target_records	0	2000	2000	false	false	true	false	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	eligible_supported_pair_events	0	15000	15000	false	false	true	true	false	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	eligible_source_families	0	6	6	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	held_out_source_families	0	2	2	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	held_out_years	0	2	2	false	false	false	true	true	FAIL_CURRENT_OPEN_REVIEWED_RIGHTS_CLEARED_CORPUS_INSUFFICIENT
GATE_20000_RESEARCH_RANKING	ALL_CRITERIA	0	8	8	false	true	true	true	true	FAIL_CANDIDATE_VOLUME_DOES_NOT_OVERRIDE_REVIEW_RIGHTS_OR_DISTRIBUTION_GATES
