review_cluster_id	cleaned_lexical_form_or_restricted_pointer	source_language	semantic_class	mapping_state	canonical_concept_id	assertion_support	effective_record_support	source_family_count	year_count	gold_support	silver_support	selection_reasons	codex_decision_type	review_state	human_reviewed	expert_adjudicated
cleaning-cluster:49b9eec79f9eb27cd501f51d	hash:sha256:a40010d6046616915d64e2b0c761a63858860ef38d35a3a19193d6e42ed14d1a	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.caramel	460	345	3	19	168	285	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:6d026974e421b4c8b5462197	hash:sha256:9738eaf312d761a8ae49f777128dd19f894ee7b03d7b1d2fc04e890d6888f014	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		387	238	3	17	215	166	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:cccbc88bb2ddc47343645a78	hash:sha256:7499aced43869b27f505701e4edc737f0cc346add1240d4ba86fbfa251e0fc35	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		358	268	4	19	137	211	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:b9d60ab260c6711383288e3a	hash:sha256:1b4c9133da73a711322404314402765ab0d23fd362a167d6f0c65bb215113d94	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.orange	314	263	3	19	43	261	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:d9ea5eed32d84c7e2c03db24	hash:sha256:12fad53d7ead16e0de5e2f4ecf70102a8f1971916c5a1bd7dbf7360f5d5ac1b0	en	STRICT_FLAVOR	AMBIGUOUS_MAPPING		290	251	3	19	1	281	AMBIGUOUS_GOLD|CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:ac6ad6be092475b1b77b13f9	hash:sha256:a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		281	265	3	19	22	252	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:920c3e73fb1189e0d6ff63e5	hash:sha256:f464d7d71c06e47a535ce441aa202aa717cddeab902a45b0c283aac7a9a090d7	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.lemon	271	208	2	19	25	246	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:b9197562f6ce7f7bb37fbe63	hash:sha256:a55e2e3846a51f6ad0abfdfbdea2ba0e5e0c76b5ccfa8a920895fedeae89a8b6	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.honey	265	249	3	19	16	248	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:3c11fca659e1856cb0340b62	hash:sha256:85356064d03872ac4bed179b8bbe8318ab67a9626be55d0d72288ee14e165265	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.peach	263	243	3	18	25	231	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:d5d53fb97403a81593275aef	hash:sha256:918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	en	STRICT_FLAVOR	ONTOLOGY_CANDIDATE		230	200	3	18	29	194	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:5689acf78f202f0074bcd75e	hash:sha256:5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	en	BROAD_SENSORY	ONTOLOGY_CANDIDATE		225	195	3	19	18	194	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	MACHINE_PROVISIONAL_REVIEW	MACHINE_PROVISIONAL_REVIEW	false	false
cleaning-cluster:dd5e9bec2007d1ccdb6cc64d	hash:sha256:d751ccb2237a8c78679d94d57d2713690958a34b440e7a141bc0aaedabde095b	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.brown_sugar	220	201	2	19	0	212	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:f6b980fb305dac33106d89d4	hash:sha256:efbaa8cbfffc1af3afcf8082a3732e4d5111104ae3f6ef8b2545975e50497505	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.lime	210	155	3	19	12	195	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
cleaning-cluster:ef884a460da0e7731fdbf2a0	hash:sha256:3a7bd3e2360a3d29eea436fcfb7e44c735d117c42d1c1835420b6b9942dd4f1b	en	STRICT_FLAVOR	AUTO_EXACT_CANONICAL	sensory.apple	198	158	2	17	69	129	CURRENT_TOP_200|SUPPORT_AT_LEAST_20|TOP_COVERAGE_80_PERCENT	AUTOMATED_SAFE_RULE	AUTOMATED_SAFE_RULE	false	false
