ontology_gap_id	candidate_preferred_label_or_restricted_pointer	source_native_forms_or_restricted_pointers	language	semantic_class	definition_evidence	source_family_count	source_family_ids	effective_record_support	year_count	years	nearest_existing_concepts	reason_not_merged	review_requirement	canonical_ontology_modified
ontology-gap:ac6ad6be092475b1b77b13f9	hash:sha256:a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8	hash-set:sha256:a87b3e348ccb598ecb71bb83300a2bf8d91b780d0717aec6c91fb46ce6fbe3d8	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	265	19	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:d5d53fb97403a81593275aef	hash:sha256:918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	hash-set:sha256:918f112d100d00dec359dcf58c5be7052076c0f47bc5752bae153c0e92eafda0	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	200	18	2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:5689acf78f202f0074bcd75e	hash:sha256:5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	hash-set:sha256:5c17109d20746ad75bc1bb9d345b114adc6dca927bd8ed3980c2aa8b1f37d944	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	195	19	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:e4ddf7fa74caf8fa0409285f	hash:sha256:7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	hash-set:sha256:7d108ddb9255c7f990a9ec23453aea2b99ac06e5150c1e70e804e64dc22ee748	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	188	18	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:82b30ff086c90cdd7cb324de	hash:sha256:c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed	hash-set:sha256:c0f1779c16d26bac92c4e32fe385d4214da39e7bd6f87aa7a4ce2bef8fb669ed	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	2	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	160	18	2008|2009|2010|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:4f7d1328e561795a8c5a6861	hash:sha256:510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	hash-set:sha256:510e9cd005e362235259c1dbb49fe549fa788a63b29535195f9d396f79e9a05b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	150	17	2009|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:f8c13331a36445c8cf45ddaa	hash:sha256:4c591c30afa436056d0d59362b5c864479846245074291849b51a982300dd1d5	hash-set:sha256:4c591c30afa436056d0d59362b5c864479846245074291849b51a982300dd1d5	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	135	8	2011|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:e6e84c91931e9c675e047943	hash:sha256:7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c	hash-set:sha256:7f18041501a6073856a11aeccde8725cb9fe20ddefe45b5772ae880290fb0f2c	en	BROAD_SENSORY	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	132	18	2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:234705f46bde62843c36f25b	hash:sha256:2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	hash-set:sha256:2efe147f807a984572e45054d5d16169d9b8bdf4fcc0d45d12fb269a8be12f5b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	128	18	2008|2009|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:20c2bf048919e26ca03ba691	hash:sha256:043d97d69419bd79f3b5c1d8acd900cdc8364cdfe2b1f6657c4e9de2580f594b	hash-set:sha256:043d97d69419bd79f3b5c1d8acd900cdc8364cdfe2b1f6657c4e9de2580f594b	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	1	family.ace_cup_of_excellence	125	16	2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2022|2023|2024|2025	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
ontology-gap:ac2943ae46ce835ef36c8b24	hash:sha256:7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509	hash-set:sha256:7073ba391f6781ee969ea9b37004effb0c0d9c9718e167f1c806e7ece89d8509	en	STRICT_FLAVOR	NA_NO_GOVERNED_DEFINITION_EVIDENCE_IN_BATCH3;LEXICAL_SUPPORT_ONLY	3	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	119	18	2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023|2024|2025|2026	NA_SEMANTIC_SIMILARITY_NOT_RUN_NO_FORCED_MERGE	VALID_PROFESSIONAL_SENSORY_FORM_HAS_NO_EXACT_APPROVED_ALIAS_OR_MORPHOLOGICAL_MATCH	MACHINE_PROVISIONAL_REVIEW	false
