pair_surface	source_family_id	record_count	pair_event_count	p50_pair_events_per_record	p90_pair_events_per_record	p95_pair_events_per_record	p99_pair_events_per_record	max_pair_events_generated_by_one_record	top_10_record_pair_event_share	top_1_percent_record_pair_event_share	maximum_duplicate_credit_per_record_per_pair	weighting_view
ALL_RECORD_UNIQUE	ALL_SOURCE_FAMILIES	1242	301648	153	528	903	1485	2346	0.061568	0.07652	1	RECORD_NORMALIZED
ALL_RECORD_UNIQUE	family.ace_cup_of_excellence	957	263294	190	595	1035	1596	2346	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.coffee_board_of_india_fine_cup	18	80	3	10	15	15	15	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.frontiers_cenicafe_lengupa_trained_cuppers	21	181	10	15	28	28	28	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.frontiers_inera_robusta_q_grader_panel	95	1477	15	28	28	36	36	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.project_origin	33	1040	28	55	66	78	78	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.sheba_coffee_yemen_auction	6	15	1	10	10	10	10	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
ALL_RECORD_UNIQUE	family.zenodo_golovinsky_q_grader_dataset	112	35561	253	595	666	820	946	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
GOLD_RECORD_UNIQUE	ALL_SOURCE_FAMILIES	246	38843	66	465	561	780	946	0.187576	0.065546	1	RECORD_NORMALIZED
GOLD_RECORD_UNIQUE	family.ace_cup_of_excellence	18	1624	78	153	171	171	171	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
GOLD_RECORD_UNIQUE	family.frontiers_cenicafe_lengupa_trained_cuppers	21	181	10	15	28	28	28	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
GOLD_RECORD_UNIQUE	family.frontiers_inera_robusta_q_grader_panel	95	1477	15	28	28	36	36	NA_FAMILY_DISTRIBUTION_ROW	NA_FAMILY_DISTRIBUTION_ROW	1	SOURCE_FAMILY_DISTRIBUTION
