review_packet_rank	concept_cluster_id	source_native_form_ids	cleaned_form_ids	mapping_state	canonical_concept_ids	semantic_classes	assertion_support	effective_record_support	source_family_ids	year_ids	gold_assertion_count	review_reason	suggested_action_set	project_owner_decision	project_owner_canonical_concept_id	project_owner_reason	project_owner_reviewed_at	sensory_expert_decision	sensory_expert_evidence_locator
1	concept-cluster:cf06d9dc3cdf43dc497ae9c1	source-form:01b3807c52692c7978adbc5b|source-form:045d12120d45f16e9fee396c|source-form:16eddf1578aee94c7b526373|source-form:1dfa45f638585c9d8c267d79|source-form:360bbfa8b828f6d0fa91ee38|source-form:44f040ac065e609f8f66d3a8|source-form:62d1b0c14ae0bd3e6fca4956|source-form:7515e01b0ace5cafab597917|source-form:9738eaf312d761a8ae49f777|source-form:986d22ed457d1fb144ac64d9|source-form:9f08a49a7b666463a9b2931f|source-form:a99492eee5f9257c1fc62fa6|source-form:b10725f86540019296102eae|source-form:b9570e8f91b26fb706343636|source-form:d11af3ef10acf1bd2fb8978c|source-form:fd1db9d684e2df9feafb9ab9	cleaned-form:9738eaf312d761a8ae49f777	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	581	381	family.ace_cup_of_excellence|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	220	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
2	concept-cluster:82c770dc95c80374ce894646	source-form:3f431d54fb6c5e43595ed48a|source-form:4f028eaa74c9923401aaa40e|source-form:5a3e047ea1b39a745e257ba8|source-form:7499aced43869b27f505701e|source-form:806ecacea84cafda53994f80|source-form:83374dceca45fef022cc7719|source-form:9b9b2ffa43e9a3ae40132c8f|source-form:a61c254e6f4e5fe86e90ac52|source-form:b5af7c77c7a2765386b5defe|source-form:ba4607e92dbec48bf242d1c5|source-form:d20e830ea21e4a72d1f5bcd9|source-form:da4e069f3a3cc2b814ca1eaa|source-form:f66296e938093565e16640ec	cleaned-form:7499aced43869b27f505701e	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	513	413	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2013|year.2014|year.2015|year.2016|year.2017|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	152	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
3	concept-cluster:9e5d5d7a8c97ee4071468b15	source-form:07a81f02b607fa1ad8dda6bb|source-form:2759ae96b2cd0bf9704bc6e3|source-form:45e10c414310cad10a6cf3ec|source-form:4db564214b52f7146d0e21ce|source-form:8090342c36ff5ef666fa005a|source-form:9f95912da92004b74cc7cb14|source-form:b4205812cdac261cd66b2670|source-form:c877647d1eef4e2a53959784|source-form:c8ccf6cfcd1cbe573d463c18|source-form:f93e2fd0bbfb7544b3cc0839	cleaned-form:c877647d1eef4e2a53959784	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	276	243	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.frontiers_cenicafe_lengupa_trained_cuppers|family.frontiers_inera_robusta_q_grader_panel|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2014|year.2015|year.2017|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	147	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
4	concept-cluster:0009e04da990e3891cf0690a	source-form:5370ee86ff409a7f69c9af68|source-form:9093f2bb8d45a4d70a44fdf5|source-form:e2b26a09da95d2ea0505847c|source-form:e43deaeba6549b70b2a0a524	cleaned-form:9093f2bb8d45a4d70a44fdf5	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	123	72	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2018|year.2024|year.2025|year.2026	110	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
5	concept-cluster:8eea051c30900ab429f97e1f	source-form:095052af33c3d5a67bf191ff|source-form:1b9884011cdca4ae624a20c0|source-form:29685c9190225dd667a334a6|source-form:388180f3cc6ba5bbf4f16bf9|source-form:3a6abdb5b9afb88c53f77125|source-form:73cce42f1f0e9099688b8eb6|source-form:7eb7d3df6b26857c2397e70e|source-form:afc3284962d7678fdd94d702|source-form:b10725f86540019296102eae|source-form:c6fd848bc63eec0a6bfe2a2c|source-form:e30a0c4ad7a8f2ed13803ee5|source-form:e960192fd7b7541b35287ad1|source-form:ee2b9ba7892946c352e1ede4|source-form:ef2a28f03f6eafb0fe030794	cleaned-form:73cce42f1f0e9099688b8eb6	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	312	259	family.ace_cup_of_excellence|family.coffee_board_of_india_fine_cup|family.sheba_coffee_yemen_auction|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2014|year.2015|year.2016|year.2018|year.2019|year.2020|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	75	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
6	concept-cluster:d8f5bf3545e22241cc971a44	source-form:1408707da3683ced616bc0bc|source-form:3f910450fc21219fd02ace92|source-form:42890ccc9f2f54cadde36b75|source-form:6619a61f89d41087964f9e23|source-form:69d642db4850278d091b6f4b|source-form:6bd1954d00c03e392621d5c3|source-form:6ce942ba5656171930587f99|source-form:c3e05536745a06158bf12fbb|source-form:d4b33a2e35eb8b5cfdbbc851|source-form:e13fb53a594fa513afc34fa7	cleaned-form:e13fb53a594fa513afc34fa7	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	106	87	family.ace_cup_of_excellence|family.project_origin|family.zenodo_golovinsky_q_grader_dataset	year.2008|year.2009|year.2010|year.2011|year.2012|year.2014|year.2016|year.2017|year.2018|year.2019|year.2020|year.2022|year.2023|year.2024|year.2025|year.2026	51	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
7	concept-cluster:1bb601d8132af920463d75dc	source-form:32c4feed996880bc92a062dc|source-form:3889e6c049489fc3c748b912|source-form:88a00533c84033a060e2971c|source-form:d063b3ac99e4140d65e1948a	cleaned-form:32c4feed996880bc92a062dc	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	58	51	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	year.2009|year.2010|year.2012|year.2013|year.2015|year.2016|year.2018|year.2023|year.2024|year.2025|year.2026	37	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
8	concept-cluster:924f31483d0d4b13b5de4bd0	source-form:017979e8299034d8c481af1f|source-form:1d5da793eb1024091fea1a54|source-form:2177e891a8a6cc17608d8653|source-form:51f16b6b1d3c6d80e29e1948|source-form:55960b5b4c69a65bfb87acfc|source-form:7e76bb39237363bca5d3f4c0|source-form:a9f74d1ec36ebdeb2da3f6e5|source-form:e8c3d961080d4595d71ec0d8	cleaned-form:a9f74d1ec36ebdeb2da3f6e5	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	54	45	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	year.2014|year.2021|year.2022|year.2023|year.2024|year.2025|year.2026	36	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
9	concept-cluster:1ef6c6de60c28009f8576dd6	source-form:67c45877753fc1f552a4f072|source-form:7dfd8928a4a3162bbd66beb1	cleaned-form:7dfd8928a4a3162bbd66beb1	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	35	28	family.ace_cup_of_excellence|family.zenodo_golovinsky_q_grader_dataset	year.2012|year.2015|year.2016|year.2020|year.2021|year.2023|year.2024|year.2025|year.2026	23	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
10	concept-cluster:e3623ab2f4160cf7e0a5f5bd	source-form:846d124b6785689c70bc65cf	cleaned-form:846d124b6785689c70bc65cf	AMBIGUOUS_CONCEPT_BOUNDARY		STRICT_FLAVOR	17	16	family.zenodo_golovinsky_q_grader_dataset	year.2026	17	AMBIGUOUS_OR_UNRESOLVED_BOUNDARY	MAP_EXISTING|CONFIRM_CANDIDATE|MERGE_CLUSTER|SPLIT_CLUSTER|REJECT_NON_DESCRIPTOR|DEFER_EXPERT						
