language_occurrence_key	language_document_key	language_expression_key	raw_source_phrase	source_locator	observed_value
language.occurrence.firstbloom.sha256_fcbf4521de49bb45f70c2d46c67768ced998b7c87b1e5f5888f9fa453cb6d810	document.firstbloom.release_1037	language.expression.en.sha256_608d02e51f4f41a78b8942b6cfb89245a1d4117b9473585df497abd819b22d5a	Dried cranberry	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_1aa1ed4043744b64a4a6abe9b814179cc01054a7393027c4c4fde99c562b5d89	document.firstbloom.release_1043	language.expression.en.sha256_aec28e68553c281bc2f2f54de3546d8af8fa3152ab059956d4ca652907ed1c6b	Marmelade	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_0121da6d179d1c68e2bf7f052d1839e92ae40427b60223d42d18116e78cfec9f	document.firstbloom.release_1043	language.expression.en.sha256_281b5a58513bef487bd410752701f7d0b9c561e2dd9d1af624b471b83d92ef06	Dried fig and Caramelized pecans	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_0ed6f7e5bcb4ef5d73842f6151b2337731df187cdfa1949ab4a4875299a173ba	document.firstbloom.release_1060	language.expression.en.sha256_7597259308badfcdb16484dc03e2776e504a511449eaad56efa31adc25f69963	Sweet Pastry	tasting_note.fragment.003.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_747769be4a3a40fca6f7b7cbd1c7ab766aacd426094f1c938c7d052eb0197ed4	document.firstbloom.release_1061	language.expression.en.sha256_38cdd38b71fd85fe21097006f8795d72a4d9c0a824d8905a1b60a779a574921c	Sweet Peach	tasting_note.fragment.001.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_8c25905b0d050c4bd3798653275a703db2e42b34f14637a25ec5298d7891b389	document.firstbloom.release_1061	language.expression.en.sha256_d7ec52cc6faf3e5744638a147d0570247a56014cfd81990ff33f5f01f8ae6fde	Black Tea and Juicy Grapefruit	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_a29dc2e6d0bb6075a1349a16af7391daa65010ad7e40e2186192a1fda695b715	document.firstbloom.release_1064	language.expression.en.sha256_cd3468c67cc9a59eb45eb31b20c1b9c61662eefa2e4cea9388e2543a38060a97	Nashi Pear and Cola	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_3fc2fec936d6e27c83db57bd33aef1edb3f423fc1bf89d0cc545ccb247c1d2bf	document.firstbloom.release_1069	language.expression.en.sha256_f8957d87602f177774ab071900a294da6ff379a35822079a342a7f4a1e5b647c	Red Apple and Silky	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_ae0c6378129355f98981d5178c1160e2dfac26ff16604623ad804b0d2dec53c1	document.firstbloom.release_1070	language.expression.en.sha256_d880af66f5f1822bcfc0ed94201afef9d1e119287f03fb3fa98f03980248f5d6	Vanilla and Creamy	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
language.occurrence.firstbloom.sha256_4df3185b56b7f924367102d317c9085f047ccdf9c3ee13412fd1abb10bc78edf	document.firstbloom.release_1073	language.expression.en.sha256_d2dcc703e48e68e9860421e7f4341dc360279170d21452134079bf3273fb7e7c	Brown Sugar and Bergamote	tasting_note.fragment.002.occurrence.001	"{""admission"":""dual-review-consensus"",""normalization"":""round2b-v1""}"
