language_document_key	language_source_key	language_source_family_key	source_revision	source_date	source_row_locator	language_code	document_type	source_content_sha256	content	raw_text_public_export_allowed	counts_as_new_contemporary_document	counts_as_zh_hans_document	source_authored	machine_translated	artificial_variant	privacy_state	public_export_state	frozen_snapshot
document.firstbloom.release_1037	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-23	product_release_id=1037	en	TASTING_NOTE	6a448d799f11b825e35b63f8571741af6224410760472c05ae257fbe009e06f7	"{""external_release_key"":""1037"",""product_id"":""1017"",""raw_field_sha256"":""6a448d799f11b825e35b63f8571741af6224410760472c05ae257fbe009e06f7"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1043	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-23	product_release_id=1043	en	TASTING_NOTE	796cad85fc6c7c1e24e6e23adff1636dd34daef28a8f4b2736c50cb75ea813c5	"{""external_release_key"":""1043"",""product_id"":""70"",""raw_field_sha256"":""796cad85fc6c7c1e24e6e23adff1636dd34daef28a8f4b2736c50cb75ea813c5"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1060	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-24	product_release_id=1060	en	TASTING_NOTE	996ecbdf0099bfd4edf31fdde277dc23f78cd6f69bfe1524fa490aeec85c0ecf	"{""external_release_key"":""1060"",""product_id"":""1040"",""raw_field_sha256"":""996ecbdf0099bfd4edf31fdde277dc23f78cd6f69bfe1524fa490aeec85c0ecf"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1061	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-24	product_release_id=1061	en	TASTING_NOTE	d29b68a21ad5c27b8c9d3e174659ddb9ca2bf394c5779420f7fb872b56267642	"{""external_release_key"":""1061"",""product_id"":""1041"",""raw_field_sha256"":""d29b68a21ad5c27b8c9d3e174659ddb9ca2bf394c5779420f7fb872b56267642"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1064	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-24	product_release_id=1064	en	TASTING_NOTE	b91f0476b837522e12acf54a6b9b2f1ba53b374ceb95ba8fae492fe39e938d6f	"{""external_release_key"":""1064"",""product_id"":""1044"",""raw_field_sha256"":""b91f0476b837522e12acf54a6b9b2f1ba53b374ceb95ba8fae492fe39e938d6f"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1069	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-25	product_release_id=1069	en	TASTING_NOTE	0fa5afaa909e5e1018e08ebab7a570da24f1dc97862b11aaffbc5ba5be95882a	"{""external_release_key"":""1069"",""product_id"":""1049"",""raw_field_sha256"":""0fa5afaa909e5e1018e08ebab7a570da24f1dc97862b11aaffbc5ba5be95882a"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1070	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-25	product_release_id=1070	en	TASTING_NOTE	51f23eadf234138919b8eefef5347cfad96be36c32feca9940ee51deecd855c9	"{""external_release_key"":""1070"",""product_id"":""1050"",""raw_field_sha256"":""51f23eadf234138919b8eefef5347cfad96be36c32feca9940ee51deecd855c9"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1073	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-28	product_release_id=1073	en	TASTING_NOTE	80972a7c6eb2f037ea6d6dcb161308a96d8d9ba4b0fe1b51dcef0fe125057105	"{""external_release_key"":""1073"",""product_id"":""1053"",""raw_field_sha256"":""80972a7c6eb2f037ea6d6dcb161308a96d8d9ba4b0fe1b51dcef0fe125057105"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1074	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-30	product_release_id=1074	en	TASTING_NOTE	f3b55d071d61f33b75529ee0ff8bfdc1d7dd6fe0695fdcaec26056d77ed797df	"{""external_release_key"":""1074"",""product_id"":""1054"",""raw_field_sha256"":""f3b55d071d61f33b75529ee0ff8bfdc1d7dd6fe0695fdcaec26056d77ed797df"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1088	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-01-31	product_release_id=1088	en	TASTING_NOTE	65d411fa8d8647d6f8701fdde70cdc1e06cc70fd592b71a8d8dbae416ab2a849	"{""external_release_key"":""1088"",""product_id"":""1068"",""raw_field_sha256"":""65d411fa8d8647d6f8701fdde70cdc1e06cc70fd592b71a8d8dbae416ab2a849"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1090	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-02-03	product_release_id=1090	en	TASTING_NOTE	38715b175c70010a29ecb1b6e7f245e7ac18a7269ca322649ccc141eddfead76	"{""external_release_key"":""1090"",""product_id"":""1070"",""raw_field_sha256"":""38715b175c70010a29ecb1b6e7f245e7ac18a7269ca322649ccc141eddfead76"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1105	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-02-06	product_release_id=1105	en	TASTING_NOTE	3dd74764c38aa27368444f53a5a5ce61a7ffa82d8431831e409db209fc082449	"{""external_release_key"":""1105"",""product_id"":""1085"",""raw_field_sha256"":""3dd74764c38aa27368444f53a5a5ce61a7ffa82d8431831e409db209fc082449"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_1109	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2019-02-06	product_release_id=1109	en	TASTING_NOTE	e2ae144b8074fde25d0b6842daafcc557d9a2b3b1850a5faeecc137ab32c38eb	"{""external_release_key"":""1109"",""product_id"":""1089"",""raw_field_sha256"":""e2ae144b8074fde25d0b6842daafcc557d9a2b3b1850a5faeecc137ab32c38eb"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
document.firstbloom.release_112	github.firstbloom-data.a6cb0026	family.baseline.firstbloom-industry	a6cb0026d1af9642724793c799bbc48dc189ba35	2018-01-04	product_release_id=112	en	TASTING_NOTE	6ef0384b97361853f517e00e9c6baf7f8c1beff4b99fb4132e597004b53f27d9	"{""external_release_key"":""112"",""product_id"":""141"",""raw_field_sha256"":""6ef0384b97361853f517e00e9c6baf7f8c1beff4b99fb4132e597004b53f27d9"",""retention"":""dual-reviewed-short-phrases-only""}"	false	false	false	true	false	false	NO_PERSONAL_DATA	PUBLIC_DERIVED_ONLY	true
