candidate_key	pass_a_decision	pass_a_reason	pass_b_decision	pass_b_reason	consensus_admitted
round3i.firstbloom.sha256_00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	ADMIT_SENSORY_LANGUAGE	sensory_language	REJECT_NON_SENSORY	incomplete_fragment	false
round3i.firstbloom.sha256_002b30937679830f0183fafcb37634908a8566db053b54c13a95a6e57928fbe4	REJECT_NON_SENSORY	non_sensory_or_product_name	REJECT_UNCERTAIN	ambiguous_product_or_emotion	false
round3i.firstbloom.sha256_005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_02979a67c5cb594c7711fe7cfc7cc6f242cc0589c0cc5b302c10aa1b591faa78	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
round3i.firstbloom.sha256_02b2dedc9bf400171b9a8fade1e6cd7cdaa8ba6eeddaf42b1a4658218f624c4e	ADMIT_SENSORY_LANGUAGE	sensory_language	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	true
