candidate_review_key	candidate_key	reviewer_key	review_pass	candidate_inventory_sha256	decision_code	reason_code	reviewed_on	human_review	automatic_language_detection
review.round3i.firstbloom.a.00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	round3i.firstbloom.sha256_00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	round3i.firstbloom.sha256_00234025c7c2670eb6e86553fabc7bb4fcd4ff5efda271d133b8915e81cd29fe	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	REJECT_NON_SENSORY	incomplete_fragment	2026-08-26	false	false
review.round3i.firstbloom.a.002b30937679830f0183fafcb37634908a8566db053b54c13a95a6e57928fbe4	round3i.firstbloom.sha256_002b30937679830f0183fafcb37634908a8566db053b54c13a95a6e57928fbe4	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	REJECT_NON_SENSORY	non_sensory_or_product_name	2026-08-26	false	false
review.round3i.firstbloom.b.002b30937679830f0183fafcb37634908a8566db053b54c13a95a6e57928fbe4	round3i.firstbloom.sha256_002b30937679830f0183fafcb37634908a8566db053b54c13a95a6e57928fbe4	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	REJECT_UNCERTAIN	ambiguous_product_or_emotion	2026-08-26	false	false
review.round3i.firstbloom.a.005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	round3i.firstbloom.sha256_005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	round3i.firstbloom.sha256_005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	round3i.firstbloom.sha256_00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	round3i.firstbloom.sha256_00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	round3i.firstbloom.sha256_00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	round3i.firstbloom.sha256_00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	round3i.firstbloom.sha256_011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	round3i.firstbloom.sha256_011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	round3i.firstbloom.sha256_016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	round3i.firstbloom.sha256_016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	round3i.firstbloom.sha256_0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	round3i.firstbloom.sha256_0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	round3i.firstbloom.sha256_0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	round3i.firstbloom.sha256_0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	round3i.firstbloom.sha256_021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	round3i.firstbloom.sha256_021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	round3i.firstbloom.sha256_02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	round3i.firstbloom.sha256_02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
review.round3i.firstbloom.a.02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	round3i.firstbloom.sha256_02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	codex.round3i.review.pass_a	A	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	sensory_language	2026-08-26	false	false
review.round3i.firstbloom.b.02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	round3i.firstbloom.sha256_02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	codex.round3i.review.pass_b	B	51f65a21fa2e5d29e129d398eec6394541fb8b2b1c058eeaa9a4a6a31365e7a1	ADMIT_SENSORY_LANGUAGE	observed_sensory_phrase	2026-08-26	false	false
