transition_id	timestamp	source_route_id	previous_state	new_state	reason	artifact_cursor	commit_sha	operator_type
route-transition:8da3628c9040a275a6cb717c	2026-08-31T00:00:00+10:00	route.epmc.pmc8774372.brewed-black-coffee		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC8774372 Table 3 and Table 4	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:8d9a0c3b0b8a062bbbfe9569	2026-08-31T01:00:00+10:00	route.epmc.pmc8774372.brewed-black-coffee	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC8774372 Table 3 and Table 4	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:012b75e9f970ab28163db0ab	2026-08-31T00:00:00+10:00	route.epmc.pmc13163763.cafe-latte-lexicon		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC13163763 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:2545344a2a0c0f7b396052b4	2026-08-31T01:00:00+10:00	route.epmc.pmc13163763.cafe-latte-lexicon	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC13163763 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:0b68498f006852d35a459e49	2026-08-31T00:00:00+10:00	route.epmc.pmc6776322.retronasal-aroma		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC6776322 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:7c876627928ca0250715b57e	2026-08-31T01:00:00+10:00	route.epmc.pmc6776322.retronasal-aroma	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC6776322 Table 2	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:37bca03944e0b329bf62b9b1	2026-08-31T00:00:00+10:00	route.epmc.pmc11675256.storage-temperature-lexicon		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC11675256 Table 1	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:eae13bacd2b8765c8d6e7e0d	2026-08-31T01:00:00+10:00	route.epmc.pmc11675256.storage-temperature-lexicon	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC11675256 Table 1	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:88723e1d05bee6c10a608360	2026-08-31T00:00:00+10:00	route.epmc.pmc13279845.espresso-lexicon		DISCOVERED	ROUTE_DECLARED_IN_BATCH7_MANIFEST	PMC13279845 Table 1	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
route-transition:cec65f178a30641d03520c3c	2026-08-31T01:00:00+10:00	route.epmc.pmc13279845.espresso-lexicon	DISCOVERED	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC13279845 Table 1	afde62ba0e957de959fd6127fc1e8b900814cbf4	CODEX_OWNER_AUTHORIZED_AUTOMATION
