source_family_id	source_classes	languages	route_count	identity_policy	model_eligible
family.ace_cup_of_excellence	COE_ANCHOR_CONTINUATION	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.coffee_board_india_fine_cup_2026	OFFICIAL_COMPETITION	en|hi-context	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.iso_18794_2025	STANDARD_OR_LEXICON	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc11675256_storage_temperature	TRAINED_PANEL_RESEARCH	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc13163763_cafe_latte	TRAINED_PANEL_RESEARCH	en|ko-context	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc13279845_espresso	TRAINED_PANEL_RESEARCH	en|pt-context	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc3951592_storage_sensory	TRAINED_PANEL_RESEARCH	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc6776322_retronasal_aroma	TRAINED_PANEL_RESEARCH	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc8774372_brewed_black_coffee	TRAINED_PANEL_RESEARCH	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.pmc9386398_yunnan	TRAINED_PANEL_RESEARCH	en|zh-context	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.sca_cva_glossaries	STANDARD_OR_LEXICON	en|es|fr|ko|pt|zh-Hans|zh-Hant	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.wcc_wcrc_2026	PROFESSIONAL_ROASTING_COMPETITION	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
family.zenodo_golovinsky_q_grader_dataset	Q_GRADER_DATASET	en	1	MANIFEST_DECLARED_STABLE_SOURCE_FAMILY	false
